ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_en,CodeFigure_SubCentres,Name_SubCentres_en,Status,translation_source
C12/148/1,148,Brazilian Department of Airspace Control - DECEA,1,Integrated Centre of Aeronautical Meteorology - CIMAER,Operational,NA
C12//5,,REGION IV,,,Operational,NA
C12/7/1,7,"US National Weather Service, NCEP",1,NCEP Reanalysis Project,Operational,NA
C12/7/2,7,"US National Weather Service, NCEP",2,NCEP Ensemble Products,Operational,NA
C12/7/3,7,"US National Weather Service, NCEP",3,NCEP Central Operations,Operational,NA
C12/7/4,7,"US National Weather Service, NCEP",4,Environmental Modeling Center,Operational,NA
C12/7/5,7,"US National Weather Service, NCEP",5,Weather Prediction Center,Operational,NA
C12/7/6,7,"US National Weather Service, NCEP",6,Ocean Prediction Center,Operational,NA
C12/7/7,7,"US National Weather Service, NCEP",7,Climate Prediction Center,Operational,NA
C12/7/8,7,"US National Weather Service, NCEP",8,Aviation Weather Center,Operational,NA
C12/7/9,7,"US National Weather Service, NCEP",9,Storm Prediction Center,Operational,NA
C12/7/10,7,"US National Weather Service, NCEP",10,National Hurricane Center,Operational,NA
C12/7/11,7,"US National Weather Service, NCEP",11,NWS Techniques Development Laboratory,Operational,NA
C12/7/12,7,"US National Weather Service, NCEP",12,NESDIS Office of Research and Applications,Operational,NA
C12/7/13,7,"US National Weather Service, NCEP",13,Federal Aviation Administration,Operational,NA
C12/7/14,7,"US National Weather Service, NCEP",14,NWS Meteorological Development Laboratory,Operational,NA
C12/7/15,7,"US National Weather Service, NCEP",15,North American Regional Reanalysis Project,Operational,NA
C12/7/16,7,"US National Weather Service, NCEP",16,Space Weather Prediction Center,Operational,NA
C12/7/17,7,"US National Weather Service, NCEP",17,ESRL Global Systems Division,Operational,NA
C12/160/1,160,United States NOAA/NESDIS,1,National Climatic Data Center,Operational,NA
C12/160/2,160,United States NOAA/NESDIS,2,National Geophysical Data Center,Operational,NA
C12/160/3,160,United States NOAA/NESDIS,3,National Oceanographic Data Center,Operational,NA
C12/160/4,160,United States NOAA/NESDIS,4,Center for Satellite Applications and Research (STAR),Operational,NA
C12/160/5,160,United States NOAA/NESDIS,5,Joint Polar Satellite System,Operational,NA
C12/160/10,160,United States NOAA/NESDIS,10,Tromso (Norway),Operational,NA
C12/160/11,160,United States NOAA/NESDIS,11,McMurdo (Antarctica),Operational,NA
C12/161/1,161,United States NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR),1,Great Lakes Environmental Research Laboratory,Operational,NA
C12/161/2,161,United States NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR),2,Earth System Research Laboratory,Operational,NA
C12/161/3,161,United States NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR),3,Atlantic Oceanographic and Meteorological Laboratory,Operational,NA
C12/161/4,161,United States NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR),4,Pacific Marine Environmental Laboratory,Operational,NA
C12/161/5,161,United States NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR),5,Air Resources Laboratory,Operational,NA
C12/161/6,161,United States NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR),6,Geophysical Fluid Dynamics Laboratory,Operational,NA
C12/161/7,161,United States NOAA Office of Oceanic and Atmospheric Research (NOAA/OAR),7,National Severe Storms Laboratory,Operational,NA
C12/173/1,173,United States National Aeronautics and Space Administration (NASA),1,Ames Research Center,Operational,NA
C12/173/2,173,United States National Aeronautics and Space Administration (NASA),2,Dryden Flight Research Center,Operational,NA
C12/173/3,173,United States National Aeronautics and Space Administration (NASA),3,Glenn Research Center,Operational,NA
C12/173/4,173,United States National Aeronautics and Space Administration (NASA),4,Goddard Space Flight Center,Operational,NA
C12/173/5,173,United States National Aeronautics and Space Administration (NASA),5,Jet Propulsion Laboratory,Operational,NA
C12/173/6,173,United States National Aeronautics and Space Administration (NASA),6,Johnson Space Center,Operational,NA
C12/173/7,173,United States National Aeronautics and Space Administration (NASA),7,Kennedy Space Center,Operational,NA
C12/173/8,173,United States National Aeronautics and Space Administration (NASA),8,Langley Research Center,Operational,NA
C12/173/9,173,United States National Aeronautics and Space Administration (NASA),9,Marshall Space Flight Center,Operational,NA
C12/173/10,173,United States National Aeronautics and Space Administration (NASA),10,Stennis Space Center,Operational,NA
C12/173/11,173,United States National Aeronautics and Space Administration (NASA),11,Goddard Institute for Space Studies,Operational,NA
C12/173/12,173,United States National Aeronautics and Space Administration (NASA),12,Independent Verification and Validation Facility,Operational,NA
C12/173/13,173,United States National Aeronautics and Space Administration (NASA),13,NASA Shared Service Center,Operational,NA
C12/173/14,173,United States National Aeronautics and Space Administration (NASA),14,Wallops Flight Facility,Operational,NA
C12/176/10,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,10,Tromso (Norway),Operational,NA
C12/176/11,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,11,McMurdo (Antarctica),Operational,NA
C12/176/12,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,12,Sodankyla (Finland),Operational,NA
C12/176/13,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,13,Fairbanks (United States),Operational,NA
C12/176/14,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,14,Barrow (United States),Operational,NA
C12/176/15,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,15,Rothera (Antarctica),Operational,NA
C12/176/20,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,20,Honolulu (United States),Operational,NA
C12/176/21,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,21,Gilmore Creek (United States),Operational,NA
C12/176/22,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,22,Madison (United States),Operational,NA
C12/176/23,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,23,Miami (United States),Operational,NA
C12/176/24,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,24,Mayaguez (Puerto Rico),Operational,NA
C12/176/25,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,25,Monterey (United States),Operational,NA
C12/176/26,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,26,Guam,Operational,NA
C12/176/27,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,27,Corvallis (United States),Operational,NA
C12/176/28,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,28,Hampton (United States),Operational,NA
C12/176/29,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,29,New York City (United States),Operational,NA
C12/177/1,177,NOAA National Ocean Service - United States,1,Center for Operational Oceanographic Products and Services,Operational,NA
C12/177/2,177,NOAA National Ocean Service - United States,2,Coast Survey Development Laboratory,Operational,NA
C12/183/1,183,Scripps Institute of Oceanography (UC San Diego - United States),1,Center for Western Weather and Water Extremes,Operational,NA
C12/183/2,183,Scripps Institute of Oceanography (UC San Diego - United States),2,Global Drifter Program,Operational,NA
C12//6,,REGION V,,,Operational,NA
C12/2/201,2,Melbourne,201,Casey,Operational,NA
C12/2/203,2,Melbourne,203,Davis,Operational,NA
C12/2/210,2,Melbourne,210,Alice Springs,Operational,NA
C12/2/211,2,Melbourne,211,Melbourne Crib Point 1,Operational,NA
C12/2/214,2,Melbourne,214,Darwin,Operational,NA
C12/2/217,2,Melbourne,217,Perth,Operational,NA
C12/2/219,2,Melbourne,219,Townsville,Operational,NA
C12/2/232,2,Melbourne,232,Fiji,Operational,NA
C12/2/235,2,Melbourne,235,Noumea,Operational,NA
C12/2/237,2,Melbourne,237,Papeete,Operational,NA
C12/2/250,2,Melbourne,250,Vladivostock,Operational,NA
C12/2/251,2,Melbourne,251,Guam,Operational,NA
