ID,CodeFigure,UnitType_en,Meaning_en,conventional,IA5-ASCII,ITA2,SIDefinition,Note,NoteID,Status,translation_source
C06/620,620,Other units,grams per kilogram,g kg^-1,g/kg,G/KG,,,,Operational,NA
C06/621,621,Other units,grams per kilogram per second,g kg^-1 s^-1,g kg-1 s-1,,,,,Operational,NA
C06/622,622,Other units,kilograms per kilogram,kg kg^-1,kg/kg,KG/KG,,,,Operational,NA
C06/623,623,Other units,kilograms per kilogram per second,kg kg^-1 s^-1,kg kg-1 s-1,,,,,Operational,NA
C06/624,624,Other units,kilograms per square metre,kg m^-2,kg m-2,,,,,Operational,NA
C06/630,630,Other units,acceleration due to gravity,g,g,,,,,Operational,NA
C06/631,631,Other units,geopotential metre,gpm,gpm,,,,,Operational,NA
C06/710,710,Other units,millimetre,mm,mm,MM,,,,Operational,NA
C06/711,711,Other units,millimetres per seconds,mm s^-1,mm/s,MM/S,,,,Operational,NA
C06/712,712,Other units,millimetres per hour,mm h^-1,mm/h,MM/HR,,,,Operational,NA
C06/713,713,Other units,millimetres to the sixth power per cubic metre,mm^6 m^-3,mm6 m-3,,,,,Operational,NA
C06/715,715,Other units,centimetre,cm,cm,CM,,,,Operational,NA
C06/716,716,Other units,centimetres per second,cm s^-1,cm/s,CM/S,,,,Operational,NA
C06/717,717,Other units,centimetres per hour,cm h^-1,cm/h,CM/HR,,,,Operational,NA
C06/720,720,Other units,decimetre,dm,dm,DM,,,,Operational,NA
C06/731,731,Other units,metres per second,m s^-1,m/s,M/S,,,,Operational,NA
C06/732,732,Other units,metres per second per metre,m s^-1/m,m s-1/m,,,,,Operational,NA
C06/733,733,Other units,metres per second per 1000 metres,m s^-1/1000 m,m s-1/km,,,,,Operational,NA
C06/734,734,Other units,square metres,m^2,m2,M2,,,,Operational,NA
C06/735,735,Other units,square metres per second,m^2 s^-1,m2/s,M2/S,,,,Operational,NA
C06/740,740,Other units,kilometre,km,km,KM,,,,Operational,NA
C06/741,741,Other units,kilometres per hour,km h^-1,km/h,KM/HR,,,,Operational,NA
C06/742,742,Other units,kilometres per day,km/d,km/d,KM/D,,,,Operational,NA
C06/743,743,Other units,per metre,m^-1,m-1,/M,,,,Operational,NA
C06/750,750,Other units,becquerels per litre,Bq l^-1,Bq/l,BQ/L,,,,Operational,NA
C06/751,751,Other units,becquerels per square metre,Bq m^-2,Bq m-2,BQ/M2,,,,Operational,NA
C06/752,752,Other units,becquerels per cubic metre,Bq m^-3,Bq m-3,BQ/M3,,,,Operational,NA
C06/753,753,Other units,millisievert,mSv,mSv,MSV,,,,Operational,NA
C06/760,760,Other units,metres per second squared,m s^-2,m s-2,,,,,Operational,NA
C06/761,761,Other units,square metres second,m^2 s,m2 s,,,,,Operational,NA
C06/762,762,Other units,square metres per second squared,m^2 s^-2,m2 s-2,,,,,Operational,NA
C06/763,763,Other units,square metres per radian second,m^2 rad^-1 s,m2 rad-1 s,,,,,Operational,NA
