ID,CodeFigureForIXIIXIX,CodeFigureForBUFR,InstrumentMakeAndType_en,EquationCoefficients_a,EquationCoefficients_b,Status,translation_source
C03/781,781,781,Sea-Bird SBE45 MicroTSG Thermosalinograph,Not applicable,Not applicable,Operational,NA
C03/800,800,800,Mechanical BT,Not applicable,Not applicable,Operational,NA
C03/810,810,810,Hydrocast,Not applicable,Not applicable,Operational,NA
C03/820,820,820,Thermistor chain,Not applicable,Not applicable,Operational,NA
C03/825,825,825,Temperature (sonic) and pressure probes,Not applicable,Not applicable,Operational,NA
C03/830,830,830,CTD,Not applicable,Not applicable,Operational,NA
C03/831,831,831,CTD-P-ALACE float,Not applicable,Not applicable,Operational,NA
C03/834,834,834,PROVOR V SBE,Not applicable,Not applicable,Operational,NA
C03/835,835,835,PROVOR IV,Not applicable,Not applicable,Operational,NA
C03/836,836,836,PROVOR III,Not applicable,Not applicable,Operational,NA
C03/837,837,837,"ARVOR_C, SBE conductivity sensor",,,Operational,NA
C03/838,838,838,"ARVOR_D, SBE conductivity sensor",,,Operational,NA
C03/839,839,839,"PROVOR-II, SBE conductivity sensor",,,Operational,NA
C03/840,840,840,"PROVOR, no conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/841,841,841,"PROVOR, Sea-Bird conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/842,842,842,"PROVOR, FSI conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/843,843,843,"Polar Ocean Profiling System (POPS), PROVOR, SBE CTD",,,Operational,NA
C03/844,844,844,"Profiling float, ARVOR, Sea-Bird conductivity sensor",,,Operational,NA
C03/845,845,845,"Webb Research, no conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/846,846,846,"Webb Research, Sea-Bird conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/847,847,847,"Webb Research, FSI conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/848,848,848,"APEX-EM, SBE conductivity sensor",,,Operational,NA
C03/849,849,849,"APEX_D, SBE conductivity sensor",,,Operational,NA
C03/850,850,850,"SOLO, no conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/851,851,851,"SOLO, Sea-Bird conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/852,852,852,"SOLO, FSI conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/853,853,853,"Profiling float, SOLO2 (SCRIPPS), Sea-Bird conductivity sensor",,,Operational,NA
C03/854,854,854,"S2A, SBE conductivity sensor",,,Operational,NA
C03/855,855,855,"Profiling float, NINJA, no conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/856,856,856,"Profiling float, NINJA, SBE conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/857,857,857,"Profiling float, NINJA, FSI conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/858,858,858,"Profiling float, NINJA, TSK conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/859,859,859,"Profiling float, NEMO, no conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/860,860,860,"Profiling float, NEMO, SBE conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/861,861,861,"Profiling float, NEMO, FSI conductivity sensor",Not applicable,Not applicable,Operational,NA
C03/862,862,862,"SOLO_D, SBE conductivity sensor",,,Operational,NA
C03/863,863,863,"NAVIS-A, SBE conductivity sensor",,,Operational,NA
C03/864,864,864,"NINJA_D, SBE conductivity sensor",,,Operational,NA
C03/865,865,865,"NOVA, SBE conductivity sensor",,,Operational,NA
C03/866,866,866,"ALAMO, no conductivity sensor",,,Operational,NA
C03/867,867,867,"ALAMO, RBR conductivity sensor",,,Operational,NA
C03/868,868,868,"ALAMO, SBE conductivity sensor",,,Operational,NA
C03/869,869,869,"NAVIS_EBR, SBE conductivity sensor",,,Operational,NA
C03/870,870,870,HM2000,Not applicable,Not applicable,Operational,NA
C03/871,871,871,COPEX,Not applicable,Not applicable,Operational,NA
C03/872,872,872,S2X,Not applicable,Not applicable,Operational,NA
C03/873,873,873,ALTO,Not applicable,Not applicable,Operational,NA
C03/874,874,874,SOLO_D_MRV,Not applicable,Not applicable,Operational,NA
C03/875,875,875,ALTO RBR,Not applicable,Not applicable,Operational,NA
C03/876,876,876,ALTO SBE,Not applicable,Not applicable,Operational,NA
C03/877,877,877,APEX RBR,Not applicable,Not applicable,Operational,NA
C03/878,878,878,ARVOR RBR,Not applicable,Not applicable,Operational,NA
C03/879,879,879,SOLO II RBR,Not applicable,Not applicable,Operational,NA
C03/880,880,880,S2A RBR,Not applicable,Not applicable,Operational,NA
C03/881,881,881,HM4000 SBE,Not applicable,Not applicable,Operational,NA
C03/882,882,882,HM6000 SBE,Not applicable,Not applicable,Operational,NA
C03/883,883,883,APEX_D RBR,Not applicable,Not applicable,Operational,NA
C03/884,884,884,"SOLO_BGC, SBE",Not applicable,Not applicable,Operational,NA
C03/885,885,885,"SOLO_BGC, RBR",Not applicable,Not applicable,Operational,NA
C03/886,886,886,"SOLO_BGC_MRV, SBE",Not applicable,Not applicable,Operational,NA
C03/887,887,887,"SOLO_BGC_MRV, RBR",Not applicable,Not applicable,Operational,NA
C03/888,888,888,"PROVOR_V - Jumbo, SBE",Not applicable,Not applicable,Operational,NA
C03/889,889,889,"PROVOR_V - Jumbo, RBR",Not applicable,Not applicable,Operational,NA
C03/890,890,890,"PROVOR_III - Jumbo, SBE",Not applicable,Not applicable,Operational,NA
C03/891,891,891,"PROVOR_III - Jumbo, RBR",Not applicable,Not applicable,Operational,NA
C03/892-899,892-899,892-899,Reserved,,,Operational,NA
C03/900,900,900,Sippican LMP-5 XBT,9.727,-0.0473,Operational,NA
C03/901,901,901,"Ice-tethered Profiler (ITP), SBE CTD",,,Operational,NA
C03/902,902,902,Brooke Ocean Moving Vessel Profiler (MVP),,,Operational,NA
C03/903,903,903,Sea-Bird CTD,,,Operational,NA
C03/904,904,904,AML Oceanographic CTD,,,Operational,NA
C03/905,905,905,Falmouth Scientific CTD,,,Operational,NA
C03/906,906,906,Ocean Sensors CTD,,,Operational,NA
C03/907,907,907,Valeport CTD,,,Operational,NA
C03/908,908,908,Oceanscience MVP,,,Operational,NA
C03/909,909,909,IDRONAUT CTD,,,Operational,NA
C03/910,910,910,Sea-Bird SBE 38,,,Operational,NA
C03/911-994,911-994,911-994,Reserved,,,Operational,NA
C03/995,995,995,Instrument attached to marine mammals,Not applicable,Not applicable,Operational,NA
C03/996,996,996,Instrument attached to animals other than marine mammals,Not applicable,Not applicable,Operational,NA
C03/997-999,997-999,997-999,Reserved,,,Operational,NA
C03/1000-1022,,1000-1022,Reserved,,,Operational,NA
C03/1023,,1023,Missing value,,,Operational,NA
