ID,CodeFigureForI6I6I6,CodeFigureForBUFR,CodeFigureForGRIB2,SatelliteName_en,Status,translation_source
C05/220,220,220,220,LANDSAT 5,Operational,NA
C05/221,221,221,221,LANDSAT 4,Operational,NA
C05/222,222,222,222,LANDSAT 7,Operational,NA
C05/223,223,223,223,NOAA 19,Operational,NA
C05/224,224,224,224,NPP,Operational,NA
C05/225,225,225,225,NOAA 20,Operational,NA
C05/226,226,226,226,NOAA 21,Operational,NA
C05/227,227,227,227,TROPICS-02,Operational,NA
C05/228,228,228,228,TROPICS-03,Operational,NA
C05/229,229,229,229,TROPICS-04,Operational,NA
C05/240,240,240,240,DMSP 7,Operational,NA
C05/241,241,241,241,DMSP 8,Operational,NA
C05/242,242,242,242,DMSP 9,Operational,NA
C05/243,243,243,243,DMSP 10,Operational,NA
C05/244,244,244,244,DMSP 11,Operational,NA
C05/245,245,245,245,DMSP 12,Operational,NA
C05/246,246,246,246,DMSP 13,Operational,NA
C05/247,247,247,247,DMSP 14,Operational,NA
C05/248,248,248,248,DMSP 15,Operational,NA
C05/249,249,249,249,DMSP 16,Operational,NA
C05/250,250,250,250,GOES 6,Operational,NA
C05/251,251,251,251,GOES 7,Operational,NA
C05/252,252,252,252,GOES 8,Operational,NA
C05/253,253,253,253,GOES 9,Operational,NA
C05/254,254,254,254,GOES 10,Operational,NA
C05/255,255,255,255,GOES 11,Operational,NA
C05/256,256,256,256,GOES 12,Operational,NA
C05/257,257,257,257,GOES 13,Operational,NA
C05/258,258,258,258,GOES 14,Operational,NA
C05/259,259,259,259,GOES 15,Operational,NA
C05/260,260,260,260,JASON 1,Operational,NA
C05/261,261,261,261,JASON 2,Operational,NA
C05/262,262,262,262,JASON 3,Operational,NA
C05/263,263,263,263,TROPICS-05,Operational,NA
C05/264,264,264,264,TROPICS-06,Operational,NA
C05/265,265,265,265,GeoOptics CICERO OP1,Operational,NA
C05/266,266,266,266,GeoOptics CICERO OP2,Operational,NA
C05/267,267,267,267,PlanetiQ GNOMES-A,Operational,NA
C05/268,268,268,268,PlanetiQ GNOMES-B,Operational,NA
C05/269,269,269,269,Spire Lemur 3U CubeSat,Operational,NA
C05/270,270,270,270,GOES 16,Operational,NA
C05/271,271,271,271,GOES 17,Operational,NA
C05/272,272,272,272,GOES 18,Operational,NA
C05/273,273,273,273,GOES 19,Operational,NA
C05/280,280,280,280,SWOT,Operational,NA
C05/281,281,281,281,QUIKSCAT,Operational,NA
C05/282,282,282,282,TRMM,Operational,NA
C05/283,283,283,283,CORIOLIS,Operational,NA
C05/284,284,284,284,TROPICS-07,Operational,NA
C05/285,285,285,285,DMSP 17,Operational,NA
C05/286,286,286,286,DMSP 18,Operational,NA
C05/287,287,287,287,DMSP 19,Operational,NA
C05/288,288,288,288,GPM-core,Operational,NA
C05/289,289,289,289,"Orbiting Carbon Observatory - 2 (OCO-2, NASA)",Operational,NA
C05//3,,,,300-399: Numbers allocated to the Russian Federation,Operational,NA
C05/310,310,310,310,GOMS 1,Operational,NA
C05/311,311,311,311,GOMS 2,Operational,NA
C05/320,320,320,320,METEOR 2-21,Operational,NA
C05/321,321,321,321,METEOR 3-5,Operational,NA
C05/322,322,322,322,METEOR 3M-1,Operational,NA
C05/323,323,323,323,METEOR 3M-2,Operational,NA
C05/324,324,324,324,METEOR-M N2,Operational,NA
C05/325,325,325,325,METEOR-M N2 2,Operational,NA
C05/341,341,341,341,RESURS 01-4,Operational,NA
C05//4,,,,400-499: Numbers allocated to India,Operational,NA
C05/410,410,410,410,KALPANA-1,Operational,NA
C05/421,421,421,421,Oceansat-2,Operational,NA
C05/422,422,422,422,ScatSat-1,Operational,NA
C05/423,423,423,423,Oceansat-3,Operational,NA
C05/430,430,430,430,INSAT 1B,Operational,NA
C05/431,431,431,431,INSAT 1C,Operational,NA
C05/432,432,432,432,INSAT 1D,Operational,NA
C05/440,440,440,440,Megha-Tropiques,Operational,NA
C05/441,441,441,441,SARAL,Operational,NA
C05/450,450,450,450,INSAT 2A,Operational,NA
C05/451,451,451,451,INSAT 2B,Operational,NA
C05/452,452,452,452,INSAT 2E,Operational,NA
C05/470,470,470,470,INSAT 3A,Operational,NA
C05/471,471,471,471,INSAT 3D,Operational,NA
C05/472,472,472,472,INSAT 3E,Operational,NA
C05/473,473,473,473,INSAT 3DR,Operational,NA
C05/474,474,474,474,INSAT 3DS,Operational,NA
C05//5,,,,500-599: Numbers allocated to China,Operational,NA
C05/500,500,500,500,FY-1C,Operational,NA
C05/501,501,501,501,FY-1D,Operational,NA
C05/502,502,502,502,"Hai Yang 2A (HY-2A, SOA/NSOAS China)",Operational,NA
C05/503,503,503,503,"Hai Yang 2B (HY-2B, SOA/NSOAS China)",Operational,NA
C05/504,504,504,504,"Hai Yang 2C (HY-2C, SOA/NSOAS China)",Operational,NA
C05/505,505,505,505,"Hai Yang 2D (HY-2D, SOA/NSOAS China)",Operational,NA
C05/506,506,506,506,"Hai Yang 2E (HY-2E, SOA/NSOAS China)",Operational,NA
C05/510,510,510,510,FY-2,Operational,NA
C05/512,512,512,512,FY-2B,Operational,NA
C05/513,513,513,513,FY-2C,Operational,NA
C05/514,514,514,514,FY-2D,Operational,NA
C05/515,515,515,515,FY-2E,Operational,NA
C05/516,516,516,516,FY-2F,Operational,NA
C05/517,517,517,517,FY-2G,Operational,NA
C05/518,518,518,518,FY-2H,Operational,NA
C05/520,520,520,520,FY-3A,Operational,NA
C05/521,521,521,521,FY-3B,Operational,NA
C05/522,522,522,522,FY-3C,Operational,NA
C05/523,523,523,523,FY-3D,Operational,NA
C05/524,524,524,524,FY-3E,Operational,NA
C05/525,525,525,525,FY-3F,Operational,NA
C05/526,526,526,526,FY-3G,Operational,NA
C05/530,530,530,530,FY-4A,Operational,NA
C05/531,531,531,531,FY-4B,Operational,NA
C05/540,540,540,540,Tianmu-1,Operational,NA
C05//6,,,,600-699: Numbers allocated to Europe,Operational,NA
C05//7,,,,700-799: Numbers allocated to the United States,Operational,NA
C05/700,700,700,700,TIROS M (ITOS 1),Operational,NA
C05/701,701,701,701,NOAA 1,Operational,NA
C05/702,702,702,702,NOAA 2,Operational,NA
C05/703,703,703,703,NOAA 3,Operational,NA
C05/704,704,704,704,NOAA 4,Operational,NA
C05/705,705,705,705,NOAA 5,Operational,NA
C05/706,706,706,706,NOAA 6,Operational,NA
C05/707,707,707,707,NOAA 7,Operational,NA
C05/708,708,708,708,TIROS-N,Operational,NA
C05/709,709,709,709,TROPICS-01 (Pathfinder),Operational,NA
C05/710,710,710,710,GOES (SMS 1),Operational,NA
C05/711,711,711,711,GOES (SMS 2),Operational,NA
C05/720,720,720,720,TOPEX,Operational,NA
C05/721,721,721,721,GFO (GEOSAT follow on),Operational,NA
C05/722,722,722,722,GRACE A,Operational,NA
C05/723,723,723,723,GRACE B,Operational,NA
C05/724,724,724,724,COSMIC-2 P1,Operational,NA
C05/725,725,725,725,COSMIC-2 P2,Operational,NA
C05/726,726,726,726,COSMIC-2 P3,Operational,NA
C05/727,727,727,727,COSMIC-2 P4,Operational,NA
C05/728,728,728,728,COSMIC-2 P5,Operational,NA
C05/729,729,729,729,COSMIC-2 P6,Operational,NA
C05/731,731,731,731,GOES 1,Operational,NA
C05/732,732,732,732,GOES 2,Operational,NA
C05/733,733,733,733,GOES 3,Operational,NA
C05/734,734,734,734,GOES 4,Operational,NA
C05/735,735,735,735,GOES 5,Operational,NA
C05/740,740,740,740,COSMIC-1,Operational,NA
C05/741,741,741,741,COSMIC-2,Operational,NA
C05/742,742,742,742,COSMIC-3,Operational,NA
C05/743,743,743,743,COSMIC-4,Operational,NA
C05/744,744,744,744,COSMIC-5,Operational,NA
C05/745,745,745,745,COSMIC-6,Operational,NA
C05/746,746,746,746,DMSP 1,Operational,NA
C05/747,747,747,747,DMSP 2,Operational,NA
C05/748,748,748,748,DMSP 3,Operational,NA
C05/749,749,749,749,DMSP 4,Operational,NA
C05/750,750,750,750,COSMIC-2 E1,Operational,NA
C05/751,751,751,751,COSMIC-2 E2,Operational,NA
C05/752,752,752,752,COSMIC-2 E3,Operational,NA
C05/753,753,753,753,COSMIC-2 E4,Operational,NA
C05/754,754,754,754,COSMIC-2 E5,Operational,NA
C05/755,755,755,755,COSMIC-2 E6,Operational,NA
C05/761,761,761,761,NIMBUS 1,Operational,NA
C05/762,762,762,762,NIMBUS 2,Operational,NA
C05/763,763,763,763,NIMBUS 3,Operational,NA
C05/764,764,764,764,NIMBUS 4,Operational,NA
C05/765,765,765,765,NIMBUS 5,Operational,NA
C05/766,766,766,766,NIMBUS 6,Operational,NA
C05/767,767,767,767,NIMBUS 7,Operational,NA
C05/768,768,768,768,Loft Orbital YAM Longbow,Operational,NA
C05/769,769,769,769,tomorrow.io 6U CubeSat,Operational,NA
C05/780,780,780,780,ERBS,Operational,NA
C05/781,781,781,781,UARS,Operational,NA
C05/782,782,782,782,EARTH PROBE,Operational,NA
C05/783,783,783,783,TERRA,Operational,NA
C05/784,784,784,784,AQUA,Operational,NA
C05/785,785,785,785,AURA,Operational,NA
C05/786,786,786,786,C/NOFS,Operational,NA
C05/787,787,787,787,CALIPSO,Operational,NA
C05/788,788,788,788,CloudSat,Operational,NA
C05/789,789,789,789,SMAP,Operational,NA
C05/790,790,790,790,TEMPO,Operational,NA
C05//8,,,,800-849 Numbers allocated to other satellite operators,Operational,NA
C05/800,800,800,800,SUNSAT,Operational,NA
C05/801,801,801,801,International Space Station (ISS),Operational,NA
C05/802,802,802,802,CFOSAT,Operational,NA
C05/803,803,803,803,GRACE C (GRACE-FO),Operational,NA
C05/804,804,804,804,GRACE D (GRACE-FO),Operational,NA
C05/805,805,805,805,NOAA 22,Operational,NA
C05/806,806,806,806,NOAA 23,Operational,NA
C05/807,807,807,807,QuickSounder,Operational,NA
C05/810,810,810,810,COMS,Operational,NA
C05/811,811,811,811,GEO-KOMPSAT-2A,Operational,NA
C05/812,812,812,812,SCISAT-1,Operational,NA
C05/813,813,813,813,ODIN,Operational,NA
C05/814,814,814,814,GEO-KOMPSAT-2B,Operational,NA
C05/820,820,820,820,SAC-C,Operational,NA
C05/821,821,821,821,SAC-D,Operational,NA
C05/825,825,825,825,KOMPSAT-5,Operational,NA
C05/850,850,850,850,Combination of TERRA and AQUA,Operational,NA
C05/851,851,851,851,Combination of NOAA 16 to NOAA 19,Operational,NA
C05/852,852,852,852,Combination of Metop-1 to Metop-3,Operational,NA
C05/853,853,853,853,Combination of METEOSAT and DMSP,Operational,NA
C05/854,854,854,854,Non-specific mixture of geostationary and low Earth-orbiting satellites,Operational,NA
C05/855,855,855,855,Combination of INSAT 3D and INSAT 3DR,Operational,NA
C05/856,856,856,856,Combination of Sentinel-3 satellites,Operational,NA
C05/870-998,870-998,870-998,870-998,Reserved,Operational,NA
C05/999-1022,999 Missing value,999-1022,999-65534,Reserved,Operational,NA
C05/1023,,1023,65535,Missing value,Operational,NA
