ID,CodeFigureForI6I6I6,CodeFigureForBUFR,CodeFigureForGRIB2,SatelliteName_en,Status,translation_source
C05/0,000,0,0,Reserved,Operational,NA
C05//1,,,,001-099: Numbers allocated to Europe,Operational,NA
C05/1,001,1,1,ERS 1,Operational,NA
C05/2,002,2,2,ERS 2,Operational,NA
C05/3,003,3,3,METOP-1 (Metop-B),Operational,NA
C05/4,004,4,4,METOP-2 (Metop-A),Operational,NA
C05/5,005,5,5,METOP-3 (Metop-C),Operational,NA
C05/6,006,6,6,CO2M-A,Operational,NA
C05/7,007,7,7,CO2M-B,Operational,NA
C05/8,008,8,8,CO2M-C,Operational,NA
C05/20,020,20,20,SPOT1,Operational,NA
C05/21,021,21,21,SPOT2,Operational,NA
C05/22,022,22,22,SPOT3,Operational,NA
C05/23,023,23,23,SPOT4,Operational,NA
C05/24,024,24,24,Metop-D,Operational,NA
C05/25,025,25,25,Metop-E,Operational,NA
C05/26,026,26,26,Metop-F,Operational,NA
C05/27,027,27,27,Metop-G,Operational,NA
C05/28,028,28,28,Metop-H,Operational,NA
C05/29,029,29,29,Metop-I,Operational,NA
C05/40,040,40,40,OERSTED,Operational,NA
C05/41,041,41,41,CHAMP,Operational,NA
C05/42,042,42,42,TerraSAR-X,Operational,NA
C05/43,043,43,43,TanDEM-X,Operational,NA
C05/44,044,44,44,PAZ,Operational,NA
C05/45,045,45,45,ALTIUS,Operational,NA
C05/46,046,46,46,SMOS,Operational,NA
C05/47,047,47,47,CryoSat-2,Operational,NA
C05/48,048,48,48,AEOLUS,Operational,NA
C05/49,049,49,49,EarthCARE,Operational,NA
C05/50,050,50,50,METEOSAT 3,Operational,NA
C05/51,051,51,51,METEOSAT 4,Operational,NA
C05/52,052,52,52,METEOSAT 5,Operational,NA
C05/53,053,53,53,METEOSAT 6,Operational,NA
C05/54,054,54,54,METEOSAT 7,Operational,NA
C05/55,055,55,55,METEOSAT 8,Operational,NA
C05/56,056,56,56,METEOSAT 9,Operational,NA
C05/57,057,57,57,METEOSAT 10,Operational,NA
C05/58,058,58,58,METEOSAT 1,Operational,NA
C05/59,059,59,59,METEOSAT 2,Operational,NA
C05/60,060,60,60,ENVISAT,Operational,NA
C05/61,061,61,61,Sentinel 3A,Operational,NA
C05/62,062,62,62,Sentinel 1A,Operational,NA
C05/63,063,63,63,Sentinel 1B,Operational,NA
C05/64,064,64,64,Sentinel 5P,Operational,NA
C05/65,065,65,65,Sentinel 3B,Operational,NA
C05/66,066,66,66,Sentinel-6A,Operational,NA
C05/67,067,67,67,Sentinel-6B,Operational,NA
C05/68,068,68,68,Sentinel-1C,Operational,NA
C05/69,069,69,69,Sentinel-1D,Operational,NA
C05/70,070,70,70,METEOSAT 11,Operational,NA
C05/71,071,71,71,METEOSAT 12,Operational,NA
C05/72,072,72,72,METEOSAT 13,Operational,NA
C05/73,073,73,73,METEOSAT 14,Operational,NA
C05/74,074,74,74,METEOSAT 15,Operational,NA
C05/75,075,75,75,METEOSAT 16,Operational,NA
C05/76,076,76,76,METEOSAT 17,Operational,NA
C05/80,080,80,80,AWS1,Operational,NA
C05//2,,,,100-199: Numbers allocated to Japan,Operational,NA
C05/120,120,120,120,ADEOS,Operational,NA
C05/121,121,121,121,ADEOS II,Operational,NA
C05/122,122,122,122,GCOM-W1,Operational,NA
C05/123,123,123,123,GCOM-C,Operational,NA
C05/140,140,140,140,GOSAT,Operational,NA
C05/141,141,141,141,GOSAT-2,Operational,NA
C05/142,142,142,142,GOSAT-GW,Operational,NA
C05/150,150,150,150,GMS 3,Operational,NA
C05/151,151,151,151,GMS 4,Operational,NA
C05/152,152,152,152,GMS 5,Operational,NA
C05/153,153,153,153,GMS,Operational,NA
C05/154,154,154,154,GMS 2,Operational,NA
C05/171,171,171,171,MTSAT-1R,Operational,NA
C05/172,172,172,172,MTSAT-2,Operational,NA
C05/173,173,173,173,Himawari-8,Operational,NA
C05/174,174,174,174,Himawari-9,Operational,NA
C05//3,,,,200-299: Numbers allocated to the United States,Operational,NA
C05/200,200,200,200,NOAA 8,Operational,NA
C05/201,201,201,201,NOAA 9,Operational,NA
C05/202,202,202,202,NOAA 10,Operational,NA
C05/203,203,203,203,NOAA 11,Operational,NA
C05/204,204,204,204,NOAA 12,Operational,NA
C05/205,205,205,205,NOAA 14,Operational,NA
C05/206,206,206,206,NOAA 15,Operational,NA
C05/207,207,207,207,NOAA 16,Operational,NA
C05/208,208,208,208,NOAA 17,Operational,NA
C05/209,209,209,209,NOAA 18,Operational,NA
