ID,DateOfAssignment_en,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_en,Status,translation_source
,06/05/2015,21,121,Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea),Operational,NA
,02/05/2012,22,122,"Meisei RS-11G GPS radiosonde w/thermistor, capacitance relative humidity sensor, and derived pressure from GPS height (Japan)",Operational,NA
,03/11/2011,23,123,Vaisala RS41/DigiCORA MW41 (Finland),Operational,NA
,03/11/2011,24,124,Vaisala RS41/AUTOSONDE (Finland),Operational,NA
,03/11/2011,25,125,Vaisala RS41/MARWIN MW32 (Finland),Operational,NA
,07/05/2014,26,126,Meteolabor SRS-C34/Argus 37 (Switzerland),Operational,NA
,,27,127,Not vacant,Operational,NA
,15/09/2011,28,128,AVK - AK2-02 (Russian Federation),Operational,NA
,15/09/2011,29,129,MARL-A or Vektor-M - AK2-02 (Russian Federation),Operational,NA
,01/01/2010,30,130,Meisei RS-06G (Japan),Operational,NA
,03/11/2011,31,131,Taiyuan GTS1-1/GFE(L) (China ),Operational,NA
,03/11/2011,32,132,Shanghai GTS1/GFE(L) (China),Operational,NA
,03/11/2011,33,133,Nanjing GTS1-2/GFE(L) (China),Operational,NA
,06/05/2020,34,134,iMet-4 GPS radiosonde (USA),Operational,NA
,07/05/2014,35,135,"Meisei iMS-100 GPS radiosonde w/thermistor sensor, capacitance relative humidity sensor, and derived pressure from GPS height (Japan)",Operational,NA
,02/05/2018,36,136,"Meisei iMDS-17 GPS dropsonde w/thermistor sensor, capacitance relative humidity sensor, and capacitance pressure sensor (Japan)",Operational,NA
,,37,137,Not vacant,Operational,NA
,21/03/2022,38,138,WEATHEX WxR-301D with derived pressure from GPS (Republic of Korea),Operational,NA
,Needed,39-40,139-140,Vacant,Operational,NA
,03/11/2011,41,141,Vaisala RS41 with pressure derived from GPS height/DigiCORA MW41 (Finland),Operational,NA
,03/11/2011,42,142,Vaisala RS41 with pressure derived from GPS height/AUTOSONDE (Finland),Operational,NA
,07/05/2014,43,143,NanJing Daqiao XGP-3G (China)*,Operational,NA
,07/05/2014,44,144,TianJin HuaYunTianYi GTS(U)1 (China)*,Operational,NA
,07/05/2014,45,145,Beijing Changfeng CF-06 (China)*,Operational,NA
,07/05/2014,46,146,Shanghai Changwang GTS3 (China)*,Operational,NA
,,47,147,Not vacant,Operational,NA
,02/05/2012,48,148,PAZA-22M/MARL-A,Operational,NA
,,49,149,Not vacant,Operational,NA
,02/11/2016,50,150,Meteolabor SRS-C50/Argus (Switzerland),Operational,NA
,,51,151,Not vacant,Operational,NA
,03/11/2011,52,152,Vaisala RS92-NGP/Intermet IMS-2000 (United States),Operational,NA
,06/05/2015,53,153,AVK - I-2012 (Russian Federation),Operational,NA
,15/05/2019,54,154,Graw DFM-17 (Germany),Operational,NA
,,55-59,155-159,Not vacant,Operational,NA
,06/05/2015,60,160,MARL-A or Vektor-M - I-2012 (Russian Federation),Operational,NA
,,61,161,Not vacant,Operational,NA
,06/05/2015,62,162,MARL-A or Vektor-M - MRZ-3MK (Russian Federation),Operational,NA
,07/11/2018,63,163,"Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity sensor, and derived pressure from GPS height (France)",Operational,NA
,07/11/2018,64,164,Modem PilotSonde GPS radiosonde (France),Operational,NA
,15/05/2022,65,165,Meteosis MTS-01 (Turkiye),Operational,NA
,Needed,66,166,Vacant,Operational,NA
,,67-72,167-172,Not vacant,Operational,NA
,02/11/2016,73,173,МARL-A (Russian Federation) - ASPAN-15 (Kazakhstan),Operational,NA
,,74-76,174-176,Not vacant,Operational,NA
,15/03/2010,77,177,Modem GPSonde M10 (France),Operational,NA
,,78-81,178-181,Not vacant,Operational,NA
,07/11/2012,82,182,Lockheed Martin LMS-6 w/chip thermistor; external boom mounted polymer capacitive relative humidity sensor; capacitive pressure sensor and GPS wind,Operational,NA
,07/11/2012,83,183,"Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive pressure sensor, capacitive wire temperature sensor, twin thin-film heated polymer capacitive relative humidity sensor and RDF wind",Operational,NA
,06/11/2019,84,184,iMet-54/iMet-3200/3400 GPS radiosonde with derived pressure from GPS height (South Africa),Operational,NA
