ID,CodeFigure_DataCategories,Name_DataCategories_en,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_en,Status,translation_source
C13/0/0,0,Surface data - land,0,Hourly synoptic observations from fixed land stations (SYNOP),Operational,NA
C13/0/1,0,Surface data - land,1,Intermediate synoptic observations from fixed land stations (SYNOP),Operational,NA
C13/0/2,0,Surface data - land,2,Main synoptic observations from fixed land stations (SYNOP),Operational,NA
C13/0/3,0,Surface data - land,3,Hourly synoptic observations from mobile land stations (SYNOP MOBIL),Operational,NA
C13/0/4,0,Surface data - land,4,Intermediate synoptic observations from mobile land stations (SYNOP MOBIL),Operational,NA
C13/0/5,0,Surface data - land,5,Main synoptic observations from mobile land stations (SYNOP MOBIL),Operational,NA
C13/0/6,0,Surface data - land,6,One-hour observations from automated stations,Operational,NA
C13/0/7,0,Surface data - land,7,n-minute observations from AWS stations,Operational,NA
C13/0/8,0,Surface data - land,8,Radiation observations from one-hour period,Operational,NA
C13/0/9,0,Surface data - land,9,Radiation observations from n-minute period,Operational,NA
C13/0/10,0,Surface data - land,10,Routine aeronautical observations (METAR),Operational,NA
C13/0/11,0,Surface data - land,11,Special aeronautical observations (SPECI),Operational,NA
C13/0/14,0,Surface data - land,14,Ground-based GPS humidity observations (GPSIWV),Operational,NA
C13/0/20,0,Surface data - land,20,Climatological observations (CLIMAT),Operational,NA
C13/0/21,0,Surface data - land,21,Climatological observations (monthly reports of daily climate data),Operational,NA
C13/0/30,0,Surface data - land,30,Sferics locations,Operational,NA
C13/0/40,0,Surface data - land,40,Hydrologic reports,Operational,NA
C13/0/50,0,Surface data - land,50,Hourly synoptic observations with supplementary one-hour data,Operational,NA
C13/0/51,0,Surface data - land,51,Intermediate synoptic observations with supplementary one-hour data,Operational,NA
C13/0/52,0,Surface data - land,52,Main synoptic observations with supplementary one-hour data,Operational,NA
C13/1/0,1,Surface data - sea,0,Synoptic observations (SHIP),Operational,NA
C13/1/6,1,Surface data - sea,6,One-hour observations from automated stations,Operational,NA
C13/1/7,1,Surface data - sea,7,n-minute observations from AWS stations,Operational,NA
C13/1/15,1,Surface data - sea,15,Uncrewed surface vehicle,Operational,NA
C13/1/20,1,Surface data - sea,20,Climatological observations (CLIMAT SHIP),Operational,NA
C13/1/25,1,Surface data - sea,25,Buoy observation (BUOY),Operational,NA
C13/1/30,1,Surface data - sea,30,Tide gauge,Operational,NA
C13/1/31,1,Surface data - sea,31,Observed water level time series,Operational,NA
C13/2/1,2,Vertical soundings (other than satellite),1,Upper-wind reports from fixed land stations (PILOT),Operational,NA
C13/2/2,2,Vertical soundings (other than satellite),2,Upper-wind reports from ships (PILOT SHIP),Operational,NA
C13/2/3,2,Vertical soundings (other than satellite),3,Upper-wind reports from mobile land stations (PILOT MOBIL),Operational,NA
C13/2/4,2,Vertical soundings (other than satellite),4,Upper-level temperature/humidity/wind reports from fixed land stations (TEMP),Operational,NA
C13/2/5,2,Vertical soundings (other than satellite),5,Upper-level temperature/humidity/wind reports from ships (TEMP SHIP),Operational,NA
C13/2/6,2,Vertical soundings (other than satellite),6,Upper-level temperature/humidity/wind report from mobile land stations (TEMP MOBIL),Operational,NA
C13/2/7,2,Vertical soundings (other than satellite),7,Upper-level temperature/humidity/wind reports from dropwinsondes (TEMP DROP),Operational,NA
C13/2/10,2,Vertical soundings (other than satellite),10,Wind profiler reports,Operational,NA
C13/2/11,2,Vertical soundings (other than satellite),11,RASS temperature profiles,Operational,NA
C13/2/14,2,Vertical soundings (other than satellite),14,Upper-level temperature/humidity/wind reports from descent radiosondes originally launched from fixed land stations,Operational,NA
C13/2/15,2,Vertical soundings (other than satellite),15,Upper-level temperature/humidity/wind reports from descent radiosondes originally launched from ships,Operational,NA
C13/2/16,2,Vertical soundings (other than satellite),16,Upper-level temperature/humidity/wind reports from descent radiosondes originally launched from mobile land stations,Operational,NA
C13/2/20,2,Vertical soundings (other than satellite),20,ASDAR/ACARS profiles (AMDAR),Operational,NA
C13/2/21,2,Vertical soundings (other than satellite),21,Profiles of atmospheric constituents concentrations,Operational,NA
C13/2/25,2,Vertical soundings (other than satellite),25,Climatological observations from fixed land stations (CLIMAT TEMP),Operational,NA
