ID,Code,Agency_en,Type_en,InstrumentShortName_en,InstrumentLongName_en,Status,translation_source
C08/7,7,DoD,Infrared radiometer,SSH,Special Sensor H,Operational,NA
C08/8,8,DoD,Radiometer,SSM/T,Special Sensor Microwave-Temperature,Operational,NA
C08/9,9,DoD,Radiometer,SSM/T2,Special Sensor Microwave-Humidity,Operational,NA
C08/10,10,BNSC,Radiometer,AATSR,Advanced along track scanning radiometer,Operational,NA
C08/11,11,BNSC,Radiometer,ATSR,Along track scanning radiometer,Operational,NA
C08/12,12,BNSC,Radiometer,ATSR-2,Along track scanning radiometer-2,Operational,NA
C08/13,13,BNSC,Radiometer,MWR,Microwave radiometer,Operational,NA
C08/14,14,UKSA,Radiometer,PMR,Pressure modulator radiometer,Operational,NA
C08/15,15,UKSA,Radiometer,SCR,Selective Chopper Radiometer,Operational,NA
C08/30,30,CNES,Communications,ARGOS,,Operational,NA
C08/40,40,CNES,Lidar,Laser reflectors,,Operational,NA
C08/41,41,CNES,Lidar,DORIS,Doppler orbitography and radio-positioning integrated by satellite,Operational,NA
C08/42,42,CNES,Lidar,DORIS-NG,Doppler orbitography and radio-positioning integrated by satellite-NG,Operational,NA
C08/47,47,CNES,Radar altimeter,POSEIDON-1 (SSALT1),"Positioning ocean, solid Earth, ice dynamics orbiting navigator (single frequency solid state radar altimeter)",Operational,NA
C08/48,48,CNES,Radar altimeter,POSEIDON-2 (SSALT2),"Positioning ocean, solid Earth, ice dynamics orbiting navigator (double frequency solid state radar altimeter)",Operational,NA
C08/49,49,CNES,Radar altimeter,POSEIDON-3 (SSALT3),"Positioning ocean, solid Earth, ice dynamics orbiting navigator (double frequency solid state radar altimeter)",Operational,NA
C08/50,50,CNES,Imaging radiometer,ATSR/M,ATSR/M,Operational,NA
C08/51,51,CNES,High-resolution optical imager,HRG,,Operational,NA
C08/52,52,CNES,Radiometer,HRV,High-resolution visible,Operational,NA
C08/53,53,CNES,Radiometer,HRVIR,High-resolution visible and infrared,Operational,NA
C08/54,54,CNES,Radiometer,ScaRaB/MV2,Scanner for Earth's radiation budget,Operational,NA
C08/55,55,CNES,Radiometer,POLDER,POLDER,Operational,NA
C08/56,56,CNES,Imaging multi-spectral radiometer,IIR,Imaging Infrared Radiometer,Operational,NA
C08/57,57,ESA/EUMETSAT,Radar altimeter,POSEIDON-4,"High precision altimetry, dual frequency (C- and Ku-band) pulse-width limited radar altimeter, synthetic-aperture processing, interleaved Low Rate and High Rate",Operational,NA
C08/60,60,CNES,Spectrometer,VEGETATION,VEGETATION,Operational,NA
C08/61,61,CNES,Spectrometer,WINDII,WINDII,Operational,NA
C08/62,62,CNES,Altimeter,AltiKa,Ka band Radar Altimeter,Operational,NA
C08/63,63,CNES,Rotating multi-beam altimeter,SWIM,Surface Waves Investigation and Monitoring,Operational,NA
C08/80,80,CSA,Communications,RADARSAT DTT,,Operational,NA
C08/81,81,CSA,Communications,RADARSAT TTC,,Operational,NA
C08/85,85,CSA,Radar,SAR (CSA),Synthetic aperture radar (CSA),Operational,NA
C08/90,90,CSA,Radiometer,MOPITT,Measurements of pollution in the troposphere,Operational,NA
C08/91,91,CSA,Atmospheric chemistry instrument,OSIRIS,Optical spectrograph and Infrared imaging system,Operational,NA
C08/92,92,CSA,Limb-scanning sounder,ACE-FTS,Atmospheric Chemistry Experiment - Fourier Transform Spectrometer,Operational,NA
C08/97,97,CSIRO,Radiometer,Panchromatic imager,,Operational,NA
C08/98,98,CRCSS,Atmospheric temperature and humidity sounder,GPS receiver,,Operational,NA
C08/102,102,DLR,Radiometer,CHAMP GPS sounder,GPS turborogue space receiver (TRSR),Operational,NA
C08/103,103,DLR,Radiometer,IGOR,Integrated GPS and Occultation Receiver,Operational,NA
C08/104,104,NASA,GNSS occultation sounder,Tri-G,"Triple-G (GPS, Galileo, GLONASS)",Operational,NA
