ID,CodeFigure,Meaning_en,ChemicalFormula,Status,translation_source
C14/41,41,Hydrogen sulphide,H2S,Operational,NA
C14/42,42,Sulphur trioxide,SO3,Operational,NA
C14/43,43,Bromine,Br2,Operational,NA
C14/44,44,Hydrofluoric acid,HF,Operational,NA
C14/45,45,Sulphur hexafluoride,SF6,Operational,NA
C14/46,46,Chlorine,Cl2,Operational,NA
C14/47-9999,47-9999,Reserved,,Operational,NA
C14/10000,10000,Hydroxyl radical,HO*,Operational,NA
C14/10001,10001,Methyl peroxy radical,CH3OO*,Operational,NA
C14/10002,10002,Methyl hydroperoxide,CH3OOH,Operational,NA
C14/10004,10004,Methanol,CH3OH,Operational,NA
C14/10005,10005,Formic acid,HCOOH,Operational,NA
C14/10006,10006,Hydrogen cyanide,HCN,Operational,NA
C14/10007,10007,Aceto nitrile,CH3CN,Operational,NA
C14/10008,10008,Ethane,C2H6,Operational,NA
C14/10009,10009,Ethene (= Ethylene),C2H4,Operational,NA
C14/10010,10010,Ethyne (= Acetylene),C2H2,Operational,NA
C14/10011,10011,Ethanol,C2H5OH,Operational,NA
C14/10012,10012,Acetic acid,C2H5OOH,Operational,NA
C14/10013,10013,Peroxyacetyl nitrate,CH3C(O)OONO2,Operational,NA
C14/10014,10014,Propane,C3H8,Operational,NA
C14/10015,10015,Propene,C3H6,Operational,NA
C14/10016,10016,Butane (all isomers),C4H10,Operational,NA
C14/10017,10017,Isoprene,C5H10,Operational,NA
C14/10018,10018,Alpha pinene,C10H16,Operational,NA
C14/10019,10019,Beta pinene,C10H16,Operational,NA
C14/10020,10020,Limonene,C10H16,Operational,NA
C14/10021,10021,Benzene,C6H6,Operational,NA
C14/10022,10022,Toluene,C7H8,Operational,NA
C14/10023,10023,Xylene,C8H10,Operational,NA
C14/10024,10024,Methanesulphonic acid,CH3SO3H,Operational,NA
C14/10025,10025,Methylglyoxal (2-oxopropanal),CH3C(O)CHO,Operational,NA
C14/10026,10026,Peroxyacetyl radical,CH3C(O)OO*,Operational,NA
C14/10027,10027,Methacrylic acid (2-methylprop-2-enoic acid),CH2C(CH3)COOH,Operational,NA
C14/10028,10028,Methacrolein (2-methylprop-2-enal),CH2C(CH3)CHO,Operational,NA
C14/10029,10029,Acetone (propan-2-one),CH3C(O)CH3,Operational,NA
C14/10030,10030,Ethyl dioxidanyl radical,CH3CH2OO*,Operational,NA
C14/10031,10031,"Butadiene (buta-1,3-diene)",(CH2CH)2,Operational,NA
C14/10032,10032,Acetaldehyde (ethanal),CH3CHO,Operational,NA
C14/10033,10033,Glycolaldehyde (hydroxyethanal),HOCH2CHO,Operational,NA
C14/10034,10034,"Cresol (methylphenol), all isomers",CH3C6H4OH,Operational,NA
C14/10035,10035,Peracetic acid (ethaneperoxoic acid),CH3C(O)OOH,Operational,NA
C14/10036,10036,2-hydroxyethyl oxidanyl radical,HOCH2CH2O*,Operational,NA
C14/10037,10037,2-hydroxyethyl dioxidanyl radical,HOCH2CH2OO*,Operational,NA
C14/10038,10038,Glyoxal (oxaldehyde),OCHCHO,Operational,NA
C14/10039,10039,Isopropyl dioxidanyl radical,(CH3)2CHOO*,Operational,NA
C14/10040,10040,Isopropyl hydroperoxide (2-hydroperoxypropane),(CH3)2CHOOH,Operational,NA
C14/10041,10041,Hydroxyacetone (1-hydroxypropan-2-one),CH3C(O)CH2OH,Operational,NA
C14/10042,10042,Peroxyacetic acid (ethaneperoxoic acid),CH3C(O)OOH,Operational,NA
C14/10043,10043,Methyl vinyl ketone (but-3-en-2-one),CH3C(O)CHCH2,Operational,NA
C14/10044,10044,Phenoxy radical,C6H5O*,Operational,NA
C14/10045,10045,Methyl radical,CH3*,Operational,NA
C14/10046,10046,Carbonyl sulphide (carbon oxide sulphide),OCS,Operational,NA
C14/10047,10047,Dibromomethane,CH2Br2,Operational,NA
C14/10048,10048,Methoxy radical,CH3O*,Operational,NA
C14/10049,10049,Tribromomethane,CHBr3,Operational,NA
C14/10050,10050,Formyl radical (oxomethyl radical),HOC*,Operational,NA
C14/10051,10051,Hydroxymethyl dioxidanyl radical,HOCH2OO*,Operational,NA
C14/10052,10052,Ethyl hydroperoxide,CH3CH2OOH,Operational,NA
C14/10053,10053,3-hydroxypropyl dioxidanyl radical,HOCH2CH2CH2OO*,Operational,NA
C14/10054,10054,3-hydroxypropyl hydroperoxide,HOCH2CH2CH2OOH,Operational,NA
C14/10055,10055,Methyl-peroxy-nitrate (nitroperoxy-methane),CH3OONO2,Operational,NA
C14/10056,10056,2-lambda^1-oxidanyloxy-2-methylbut-3-en-1-ol (4-hydroxy-3-methyl-1-butene-3-ylperoxy radical),HOCH2C(CH3)(OO*)CHCH2,Operational,NA
C14/10057,10057,2-lambda^1-oxidanyloxy-3-methylbut-3-en-1-ol (2-hydroxy-1-isopropenylethylperoxy radical),HOCH2CH(OO*)C(CH3)CH2,Operational,NA
C14/10058,10058,(Z)-4-hydroperoxy-2-methyl-2-butenal,CH2(OOH)CHC(CH3)CHO,Operational,NA
C14/10059,10059,(Z)-4-hydroperoxy-3-methyl-2-butenal,CH2(OOH)C(CH3)CHCHO,Operational,NA
C14/10060,10060,Butene,C4H8,Operational,NA
C14/10061,10061,Pentene,C5H10,Operational,NA
C14/10062,10062,Hexene,C6H12,Operational,NA
C14/10063,10063,Heptene,C7H14,Operational,NA
C14/10064,10064,Octene,C8H16,Operational,NA
C14/10065,10065,Pentane,C5H12,Operational,NA
C14/10066,10066,Hexane,C6H14,Operational,NA
C14/10067,10067,Heptane,C7H16,Operational,NA
C14/10068,10068,Octane,C8H18,Operational,NA
C14/10069-10499,10069-10499,"Reserved for other simple organic molecules (e.g. higher aldehydes, alcohols, peroxides, etc.)",,Operational,NA
C14/10500,10500,Dimethyl sulphide,CH3SCH3 (DMS),Operational,NA
C14/10501,10501,DMSO (dimethyl sulfoxide),(CH3)2SO,Operational,NA
C14/10502-20000,10502-20000,Reserved,,Operational,NA
C14/20001,20001,Hydrogen chloride,HCl,Operational,NA
C14/20002,20002,CFC-11 (trichlorofluoromethane),CCl3F,Operational,NA
C14/20003,20003,CFC-12 (dichlorodifluoromethane),CCl2F2,Operational,NA
C14/20004,20004,"CFC-113 (1,1,2-trichloro-1,2,2-trifluoroethane)",Cl2FC-CClF2,Operational,NA
C14/20005,20005,"CFC-113a (1,1,1-trichloro-2,2,2-trifluoroethane)",Cl3C-CF3,Operational,NA
C14/20006,20006,"CFC-114 (1,2-dichloro-1,1,2,2-tetrafluoroethane)",ClF2C-CClF2,Operational,NA
C14/20007,20007,"CFC-115 (1-chloro-1,1,2,2,2-pentafluoroethane)",ClF2C-CF3,Operational,NA
C14/20008,20008,HCFC-22 (chlorodifluoromethane),CHClF2,Operational,NA
C14/20009,20009,"HCFC-141b (1,1-dichloro-1-fluoroethane)",Cl2FC-CH3,Operational,NA
C14/20010,20010,"HCFC-142b (1-chloro-1,1-difluoroethane)",ClF2C-CH3,Operational,NA
C14/20011,20011,Halon-1202 (dibromodifluoromethane),CBr2F2,Operational,NA
C14/20012,20012,Halon-1211 (bromochlorodifluoromethane),CBrClF2,Operational,NA
C14/20013,20013,Halon-1301 (bromotrifluoromethane),CBrF3,Operational,NA
C14/20014,20014,"Halon-2402 (1,2-dibromo-1,1,2,2-tetrafluoroethane)",BrF2C-CBrF2,Operational,NA
C14/20015,20015,HCC-40 (methyl chloride),CH3Cl,Operational,NA
C14/20016,20016,HCC-10 (carbon tetrachloride),CCl4,Operational,NA
C14/20017,20017,"HCC-140a (1,1,1-trichloroethane)",Cl3C-CH3,Operational,NA
C14/20018,20018,HBC-40B1 (methyl bromide),CH3Br,Operational,NA
C14/20019,20019,HCH (hexachlorocyclohexane) all isomers,C6H6Cl6,Operational,NA
C14/20020,20020,alpha-HCH (alpha-hexachlorocyclohexane) both enantiomers,&alpha;-C6H6Cl6,Operational,NA
C14/20021,20021,"PCB-153 (2,2',4,4',5,5'-hexachlorobiphenyl)",(C6H2Cl3)2,Operational,NA
C14/20022,20022,"HCFC-141a (1,1-dichloro-2-fluoroethane)",Cl2HC-CH2F,Operational,NA
C14/20023-29999,20023-29999,Reserved,,Operational,NA
C14/30000,30000,"Radioactive pollutant (tracer, defined by originating centre)",,Operational,NA
C14/30001-30009,30001-30009,Reserved,,Operational,NA
C14/30010,30010,Tritium (Hydrogen 3),H-3,Operational,NA
C14/30011,30011,Tritium organic bounded,H-3o,Operational,NA
C14/30012,30012,Tritium inorganic,H-3a,Operational,NA
C14/30013,30013,Beryllium 7,Be-7,Operational,NA
C14/30014,30014,Beryllium 10,Be-10,Operational,NA
C14/30015,30015,Carbon 14,C-14,Operational,NA
C14/30016,30016,Carbon 14 CO2,C-14CO2,Operational,NA
C14/30017,30017,Carbon 14 other gases,C-14og,Operational,NA
C14/30018,30018,Nitrogen 13,N-13,Operational,NA
C14/30019,30019,Nitrogen 16,N-16,Operational,NA
C14/30020,30020,Fluorine 18,F-18,Operational,NA
C14/30021,30021,Sodium 22,Na-22,Operational,NA
C14/30022,30022,Phosphate 32,P-32,Operational,NA
C14/30023,30023,Phosphate 33,P-33,Operational,NA
C14/30024,30024,Sulphur 35,S-35,Operational,NA
C14/30025,30025,Chlorine 36,Cl-36,Operational,NA
C14/30026,30026,Potassium 40,K-40,Operational,NA
C14/30027,30027,Argon 41,Ar-41,Operational,NA
C14/30028,30028,Calcium 41,Ca-41,Operational,NA
C14/30029,30029,Calcium 45,Ca-45,Operational,NA
C14/30030,30030,Titanium 44,Ti-44,Operational,NA
C14/30031,30031,Scandium 46,Sc-46,Operational,NA
C14/30032,30032,Vanadium 48,V-48,Operational,NA
C14/30033,30033,Vanadium 49,V-49,Operational,NA
C14/30034,30034,Chrome 51,Cr-51,Operational,NA
C14/30035,30035,Manganese 52,Mn-52,Operational,NA
C14/30036,30036,Manganese 54,Mn-54,Operational,NA
C14/30037,30037,Iron 55,Fe-55,Operational,NA
C14/30038,30038,Iron 59,Fe-59,Operational,NA
C14/30039,30039,Cobalt 56,Co-56,Operational,NA
C14/30040,30040,Cobalt 57,Co-57,Operational,NA
C14/30041,30041,Cobalt 58,Co-58,Operational,NA
C14/30042,30042,Cobalt 60,Co-60,Operational,NA
C14/30043,30043,Nickel 59,Ni-59,Operational,NA
C14/30044,30044,Nickel 63,Ni-63,Operational,NA
C14/30045,30045,Zinc 65,Zn-65,Operational,NA
C14/30046,30046,Gallium 67,Ga-67,Operational,NA
C14/30047,30047,Gallium 68,Ga-68,Operational,NA
C14/30048,30048,Germanium 68,Ge-68,Operational,NA
C14/30049,30049,Germanium 69,Ge-69,Operational,NA
C14/30050,30050,Arsenic 73,As-73,Operational,NA
C14/30051,30051,Selenium 75,Se-75,Operational,NA
C14/30052,30052,Selenium 79,Se-79,Operational,NA
C14/30053,30053,Rubidium 81,Rb-81,Operational,NA
C14/30054,30054,Rubidium 83,Rb-83,Operational,NA
C14/30055,30055,Rubidium 84,Rb-84,Operational,NA
C14/30056,30056,Rubidium 86,Rb-86,Operational,NA
C14/30057,30057,Rubidium 87,Rb-87,Operational,NA
C14/30058,30058,Rubidium 88,Rb-88,Operational,NA
C14/30059,30059,Krypton 85,Kr-85,Operational,NA
C14/30060,30060,Krypton 85 metastable,Kr-85m,Operational,NA
C14/30061,30061,Krypton 87,Kr-87,Operational,NA
C14/30062,30062,Krypton 88,Kr-88,Operational,NA
C14/30063,30063,Krypton 89,Kr-89,Operational,NA
C14/30064,30064,Strontium 85,Sr-85,Operational,NA
C14/30065,30065,Strontium 89,Sr-89,Operational,NA
C14/30066,30066,Strontium 89/90,Sr-8990,Operational,NA
C14/30067,30067,Strontium 90,Sr-90,Operational,NA
C14/30068,30068,Strontium 91,Sr-91,Operational,NA
C14/30069,30069,Strontium 92,Sr-92,Operational,NA
C14/30070,30070,Yttrium 87,Y-87,Operational,NA
C14/30071,30071,Yttrium 88,Y-88,Operational,NA
C14/30072,30072,Yttrium 90,Y-90,Operational,NA
C14/30073,30073,Yttrium 91,Y-91,Operational,NA
C14/30074,30074,Yttrium 91 metastable,Y-91m,Operational,NA
C14/30075,30075,Yttrium 92,Y-92,Operational,NA
C14/30076,30076,Yttrium 93,Y-93,Operational,NA
C14/30077,30077,Zirconium 89,Zr-89,Operational,NA
C14/30078,30078,Zirconium 93,Zr-93,Operational,NA
C14/30079,30079,Zirconium 95,Zr-95,Operational,NA
C14/30080,30080,Zirconium 97,Zr-97,Operational,NA
C14/30081,30081,Niobium 93 metastable,Nb-93m,Operational,NA
C14/30082,30082,Niobium 94,Nb-94,Operational,NA
C14/30083,30083,Niobium 95,Nb-95,Operational,NA
