ID,CodeFigure,Meaning_en,ChemicalFormula,Status,translation_source
C14/30295,30295,Carbon-13,C-13,Operational,NA
C14/30296,30296,Lead,Pb,Operational,NA
C14/30297,30297,Tellurium 131,Te-131,Operational,NA
C14/30298,30298,Neodymium 137,Nd-137,Operational,NA
C14/30299,30299,Pseudo radionuclide,,Operational,NA
C14/30300,30300,Silver 112,Ag-112,Operational,NA
C14/30301,30301,Silver 115,Ag-115,Operational,NA
C14/30302,30302,Barium 139,Ba-139,Operational,NA
C14/30303,30303,Barium 141,Ba-141,Operational,NA
C14/30304,30304,Barium 142,Ba-142,Operational,NA
C14/30305,30305,Bromine 84,Br-84,Operational,NA
C14/30306,30306,Cadmium 115,Cd-115,Operational,NA
C14/30307,30307,Cadmium 117,Cd-117,Operational,NA
C14/30308,30308,Cadmium 117 metastable,Cd-117m,Operational,NA
C14/30309,30309,Cerium 145,Ce-145,Operational,NA
C14/30310,30310,Cerium 146,Ce-146,Operational,NA
C14/30311,30311,Cobalt 58 metastable,Co-58m,Operational,NA
C14/30312,30312,Caesium 138,Cs-138,Operational,NA
C14/30313,30313,Caesium 139,Cs-139,Operational,NA
C14/30314,30314,Iodine 130 aerosol,I-130a,Operational,NA
C14/30315,30315,Iodine 130 elementary gaseous,I-130e,Operational,NA
C14/30316,30316,Iodine 130 organic bounded,I-130o,Operational,NA
C14/30317,30317,Iodine 132 metastable,I-132m,Operational,NA
C14/30318,30318,Iodine 134 metastable,I-134m,Operational,NA
C14/30319,30319,Indium 115 metastable,In-115m,Operational,NA
C14/30320,30320,Indium 117 metastable,In-117m,Operational,NA
C14/30321,30321,Krypton 83 metastable,Kr-83m,Operational,NA
C14/30322,30322,Lanthanum 142,La-142,Operational,NA
C14/30323,30323,Lanthanum 143,La-143,Operational,NA
C14/30324,30324,Manganese 56,Mn-56,Operational,NA
C14/30325,30325,Molybdenum 101,Mo-101,Operational,NA
C14/30326,30326,Molybdenum 102,Mo-102,Operational,NA
C14/30327,30327,Neodymium 149,Nd-149,Operational,NA
C14/30328,30328,Neodymium 151,Nd-151,Operational,NA
C14/30329,30329,Palladium 109,Pd-109,Operational,NA
C14/30330,30330,Palladium 112,Pd-112,Operational,NA
C14/30331,30331,Praseodymium 145,Pr-145,Operational,NA
C14/30332,30332,Praseodymium 146,Pr-146,Operational,NA
C14/30333,30333,Praseodymium 147,Pr-147,Operational,NA
C14/30334,30334,Rubidium 89,Rb-89,Operational,NA
C14/30335,30335,Rubidium 90,Rb-90,Operational,NA
C14/30336,30336,Rubidium 90 metastable,Rb-90m,Operational,NA
C14/30337,30337,Rhodium 105 metastable,Rh-105m,Operational,NA
C14/30338,30338,Rhodium 107,Rh-107,Operational,NA
C14/30339,30339,Antimony 128,Sb-128,Operational,NA
C14/30340,30340,Antimony 128 metastable,Sb-128m,Operational,NA
C14/30341,30341,Antimony 129 metastable,Sb-129m,Operational,NA
C14/30342,30342,Antimony 130,Sb-130,Operational,NA
C14/30343,30343,Antimony 130 metastable,Sb-130m,Operational,NA
C14/30344,30344,Antimony 131,Sb-131,Operational,NA
C14/30345,30345,Antimony 132,Sb-132,Operational,NA
C14/30346,30346,Antimony 132 metastable,Sb-132m,Operational,NA
C14/30347,30347,Antimony 133,Sb-133,Operational,NA
C14/30348,30348,Selenium 83,Se-83,Operational,NA
C14/30349,30349,Tin 127,Sn-127,Operational,NA
C14/30350,30350,Tin 127 metastable,Sn-127m,Operational,NA
C14/30351,30351,Tin 128,Sn-128,Operational,NA
C14/30352,30352,Tin 129 metastable,Sn-129m,Operational,NA
C14/30353,30353,Tin 130,Sn-130,Operational,NA
C14/30354,30354,Strontium 93,Sr-93,Operational,NA
C14/30355,30355,Technetium 101,Tc-101,Operational,NA
C14/30356,30356,Technetium 102,Tc-102,Operational,NA
C14/30357,30357,Technetium 104,Tc-104,Operational,NA
C14/30358,30358,Technetium 105,Tc-105,Operational,NA
C14/30359,30359,Tellurium 133,Te-133,Operational,NA
C14/30360,30360,Tellurium 133 metastable,Te-133m,Operational,NA
C14/30361,30361,Tellurium 134,Te-134,Operational,NA
C14/30362,30362,Yttrium 93 metastable,Y-93m,Operational,NA
C14/30363,30363,Yttrium 94,Y-94,Operational,NA
C14/30364,30364,Yttrium 95,Y-95,Operational,NA
C14/30365,30365,Zirconium 96,Zr-96,Operational,NA
C14/30366,30366,Indium 117,In-117,Extension,NA
C14/30367,30367,Lead 203,Pb-203,Extension,NA
C14/30368,30368,Sodium 24,Na-24,Extension,NA
C14/30369,30369,Ruthenium 107,Ru-107,Extension,NA
C14/30370,30370,Uranium 239,U-239,Extension,NA
C14/30371-39999,30371-39999,Reserved,,Operational,NA
C14/40000,40000,Singlet sigma oxygen (dioxygen (sigma singlet)),O2(1&Sigma;+g),Operational,NA
C14/40001,40001,Singlet delta oxygen (dioxygen (delta singlet)),O2(1&Delta;g),Operational,NA
C14/40002,40002,Singlet excited oxygen atom,O(1D),Operational,NA
C14/40003,40003,Triplet ground state oxygen atom,O(3P),Operational,NA
C14/40004-59999,40004-59999,Reserved,,Operational,NA
C14/60000,60000,HOx radical (OH+HO2),HOx*,Operational,NA
C14/60001,60001,Total inorganic and organic peroxy radicals (HOO* + ROO*),ROO*,Operational,NA
C14/60002,60002,Passive Ozone,,Operational,NA
C14/60003,60003,NOx expressed as nitrogen,NOx,Operational,NA
C14/60004,60004,All nitrogen oxides (NOy) expressed as nitrogen,NOy,Operational,NA
C14/60005,60005,Total inorganic chlorine,Clx,Operational,NA
C14/60006,60006,Total inorganic bromine,Brx,Operational,NA
C14/60007,60007,"Total inorganic chlorine except HCl, ClONO2: ClOx",,Operational,NA
C14/60008,60008,"Total inorganic bromine except HBr, BrONO2: BrOx",,Operational,NA
C14/60009,60009,Lumped alkanes,,Operational,NA
C14/60010,60010,Lumped alkenes,,Operational,NA
C14/60011,60011,Lumped aromatic compounds,,Operational,NA
C14/60012,60012,Lumped terpenes,,Operational,NA
C14/60013,60013,Non-methane volatile organic compounds expressed as carbon,NMVOC,Operational,NA
C14/60014,60014,Anthropogenic non-methane volatile organic compounds expressed as carbon,aNMVOC,Operational,NA
C14/60015,60015,Biogenic non-methane volatile organic compounds expressed as carbon,bNMVOC,Operational,NA
C14/60016,60016,Lumped oxygenated hydrocarbons,OVOC,Operational,NA
C14/60017,60017,NOx expressed as nitrogen dioxide (NO2),NOx,Operational,NA
C14/60018,60018,Organic aldehydes,RCHO,Operational,NA
C14/60019,60019,Organic peroxides,ROOH,Operational,NA
C14/60020,60020,Organic nitrates,RNO3,Operational,NA
C14/60021,60021,Ethers,ROR',Operational,NA
C14/60022,60022,Amines,NRR'R'',Operational,NA
C14/60023,60023,Ketones,RC(O)R',Operational,NA
C14/60024,60024,Dicarbonyls unsaturated,RC(O)CH2C(O)R',Operational,NA
C14/60025,60025,Hydroxy dicarbonyls unsaturated,RC(O)CHOHC(O)R',Operational,NA
C14/60026,60026,Hydroxy ketones,RC(OH)C(O)R',Operational,NA
C14/60027,60027,Oxides,Ox,Operational,NA
C14/60028,60028,Peroxyacyl nitrates,RC(O)OONO2,Operational,NA
C14/60029,60029,Aromatic peroxide radical (Aryl dioxydanyl radicals),ArOO*,Operational,NA
C14/60030,60030,Biogenic secondary organic compound,,Operational,NA
C14/60031,60031,Anthropogenic secondary organic compound,,Operational,NA
C14/60032,60032,All hydroxy-peroxides products of the reaction of hydroxy-isoprene adducts with O2,ISOPOOH,Operational,NA
C14/60033,60033,Anthropogenic volatile organic compounds,aVOC,Operational,NA
C14/60034,60034,Biomass burning volatile organic compounds,bbVOC,Operational,NA
C14/60035,60035,Gaseous molecules,,Operational,NA
C14/60036-61999,60036-61999,Reserved,,Operational,NA
C14/62000,62000,Total aerosol,,Operational,NA
C14/62001,62001,Dust dry,,Operational,NA
C14/62002,62002,Water in ambient,,Operational,NA
C14/62003,62003,Ammonium dry,,Operational,NA
C14/62004,62004,Nitrate dry,,Operational,NA
C14/62005,62005,Nitric acid trihydrate,,Operational,NA
C14/62006,62006,Sulphate dry,,Operational,NA
C14/62007,62007,Mercury dry,,Operational,NA
C14/62008,62008,Sea salt dry,,Operational,NA
C14/62009,62009,Black carbon dry,,Operational,NA
C14/62010,62010,Particulate organic matter dry,,Operational,NA
C14/62011,62011,Primary particulate organic matter dry,,Operational,NA
C14/62012,62012,Secondary particulate organic matter dry,,Operational,NA
C14/62013,62013,Black carbon hydrophilic dry,,Operational,NA
C14/62014,62014,Black carbon hydrophobic dry,,Operational,NA
C14/62015,62015,Particulate organic matter hydrophilic dry,,Operational,NA
C14/62016,62016,Particulate organic matter hydrophobic dry,,Operational,NA
C14/62017,62017,Nitrate hydrophilic dry,,Operational,NA
C14/62018,62018,Nitrate hydrophobic dry,,Operational,NA
C14/62019,62019,Reserved,,Operational,NA
C14/62020,62020,Smoke - high absorption,,Operational,NA
C14/62021,62021,Smoke - low absorption,,Operational,NA
C14/62022,62022,Aerosol - high absorption,,Operational,NA
C14/62023,62023,Aerosol - low absorption,,Operational,NA
C14/62024,62024,Reserved,,Operational,NA
C14/62025,62025,Volcanic ash,,Operational,NA
C14/62026,62026,Particulate matter (PM),,Operational,NA
C14/62027,62027,Reserved,,Operational,NA
C14/62028,62028,Total aerosol hydrophilic,,Operational,NA
C14/62029,62029,Total aerosol hydrophobic,,Operational,NA
C14/62030,62030,Primary particulate inorganic matter dry,,Operational,NA
C14/62031,62031,Secondary particulate inorganic matter dry,,Operational,NA
C14/62032,62032,Biogenic secondary organic aerosol,,Operational,NA
C14/62033,62033,Anthropogenic secondary organic aerosol,,Operational,NA
C14/62034,62034,Rain water,H2Orain,Operational,NA
C14/62035,62035,Cloud water,H2Ocloud,Operational,NA
C14/62036,62036,Brown carbon dry,,Operational,NA
C14/62037,62037,Sea salt wet at 80% relative humidity,,Operational,NA
C14/62038-62099,62038-62099,Reserved,,Operational,NA
C14/62100,62100,Alnus (alder) pollen,,Operational,NA
C14/62101,62101,Betula (birch) pollen,,Operational,NA
C14/62102,62102,Castanea (chestnut) pollen,,Operational,NA
C14/62103,62103,Carpinus (hornbeam) pollen,,Operational,NA
C14/62104,62104,Corylus (hazel) pollen,,Operational,NA
C14/62105,62105,Fagus (beech) pollen,,Operational,NA
C14/62106,62106,Fraxinus (ash) pollen,,Operational,NA
C14/62107,62107,Pinus (pine) pollen,,Operational,NA
C14/62108,62108,Platanus (plane) pollen,,Operational,NA
C14/62109,62109,"Populus (cottonwood, poplar) pollen",,Operational,NA
C14/62110,62110,Quercus (oak) pollen,,Operational,NA
C14/62111,62111,Salix (willow) pollen,,Operational,NA
C14/62112,62112,Taxus (yew) pollen,,Operational,NA
C14/62113,62113,"Tilia (lime, linden) pollen",,Operational,NA
C14/62114,62114,Ulmus (elm) pollen,,Operational,NA
C14/62115,62115,Olea (olive) pollen,,Operational,NA
C14/62116-62199,62116-62199,Reserved,,Operational,NA
C14/62200,62200,"Ambrosia (ragweed, burr-ragweed) pollen",,Operational,NA
C14/62201,62201,"Artemisia (sagebrush, wormwood, mugwort) pollen",,Operational,NA
C14/62202,62202,"Brassica (rape, broccoli, Brussels sprouts, cabbage, cauliflower, collards, kale, kohlrabi, mustard, rutabaga) pollen",,Operational,NA
C14/62203,62203,Plantago (plantain) pollen,,Operational,NA
C14/62204,62204,"Rumex (dock, sorrel) pollen",,Operational,NA
C14/62205,62205,Urtica (nettle) pollen,,Operational,NA
C14/62206-62299,62206-62299,Reserved,,Operational,NA
C14/62300,62300,Poaceae (grass family) pollen,,Operational,NA
C14/62301-62999,62301-62999,Reserved,,Operational,NA
C14/63000-65534,63000-65534,For experimental use at local level,,Operational,NA
C14/65535,65535,Missing,,Operational,NA
