ID,CodeFigureForF1F2,CodeFigureForF3F3F3,Octet5GRIB1_Octet6BUFR3,OriginatingGeneratingCentres_en,Status,translation_source
C01/000,00,000,0,WMO Secretariat,Operational,NA
C01//1,,,,01-09: WMCs,Operational,NA
C01/001,01,001,1,Melbourne,Operational,NA
C01/002,02,002,2,Melbourne,Operational,NA
C01/003,03,003,3,),Operational,NA
C01/004,04,004,4,Moscow,Operational,NA
C01/005,05,005,5,Moscow,Operational,NA
C01/006,06,006,6,),Operational,NA
C01/007,07,007,7,US National Weather Service - National Centres for Environmental Prediction (NCEP),Operational,NA
C01/008,08,008,8,US National Weather Service Telecommunications Gateway (NWSTG),Operational,NA
C01/009,09,009,9,US National Weather Service - Other,Operational,NA
C01//2,,,,10-25: Centres in Region I,Operational,NA
C01/010,10,010,10,Cairo (RSMC),Operational,NA
C01/011,11,011,11,),Operational,NA
C01/012,12,012,12,Dakar (RSMC),Operational,NA
C01/013,13,013,13,),Operational,NA
C01/014,14,014,14,Nairobi (RSMC),Operational,NA
C01/015,15,015,15,),Operational,NA
C01/016,16,016,16,Casablanca (RSMC),Operational,NA
C01/017,17,017,17,Tunis (RSMC),Operational,NA
C01/018,18,018,18,Tunis - Casablanca (RSMC),Operational,NA
C01/019,19,019,19,),Operational,NA
C01/020,20,020,20,Las Palmas,Operational,NA
C01/021,21,021,21,Algiers (RSMC),Operational,NA
C01/022,22,022,22,ACMAD,Operational,NA
C01/023,23,023,23,Mozambique (NMC),Operational,NA
C01/024,24,024,24,Pretoria (RSMC),Operational,NA
C01/025,25,025,25,La Reunion (RSMC),Operational,NA
C01//3,,,,26-40: Centres in Region II,Operational,NA
C01/026,26,026,26,Khabarovsk (RSMC),Operational,NA
C01/027,27,027,27,),Operational,NA
C01/028,28,028,28,New Delhi (RSMC),Operational,NA
C01/029,29,029,29,),Operational,NA
C01/030,30,030,30,Novosibirsk (RSMC),Operational,NA
C01/031,31,031,31,),Operational,NA
C01/032,32,032,32,Tashkent (RSMC),Operational,NA
C01/033,33,033,33,Jeddah (RSMC),Operational,NA
C01/034,34,034,34,"Tokyo (RSMC), Japan Meteorological Agency",Operational,NA
C01/035,35,035,35,),Operational,NA
C01/036,36,036,36,Bangkok,Operational,NA
C01/037,37,037,37,Ulaanbaatar,Operational,NA
C01/038,38,038,38,Beijing (RSMC),Operational,NA
C01/039,39,039,39,),Operational,NA
C01/040,40,040,40,Seoul,Operational,NA
C01//4,,,,41-50: Centres in Region III,Operational,NA
C01/041,41,041,41,Buenos Aires (RSMC),Operational,NA
C01/042,42,042,42,),Operational,NA
C01/043,43,043,43,Brasilia (RSMC),Operational,NA
C01/044,44,044,44,),Operational,NA
C01/045,45,045,45,Santiago,Operational,NA
C01/046,46,046,46,Brazilian Space Agency INPE,Operational,NA
C01/047,47,047,47,Colombia (NMC),Operational,NA
C01/048,48,048,48,Ecuador (NMC),Operational,NA
C01/049,49,049,49,Peru (NMC),Operational,NA
C01/050,50,050,50,Venezuela (Bolivarian Republic of) (NMC),Operational,NA
C01//5,,,,51-63: Centres in Region IV,Operational,NA
C01/051,51,051,51,Miami (RSMC),Operational,NA
C01/052,52,052,52,"Miami (RSMC), National Hurricane Centre",Operational,NA
C01/053,53,053,53,MSC Monitoring,Operational,NA
C01/054,54,054,54,Montreal (RSMC),Operational,NA
C01/055,55,055,55,San Francisco,Operational,NA
C01/056,56,056,56,ARINC Centre,Operational,NA
C01/057,57,057,57,US Air Force - Air Force Global Weather Central,Operational,NA
C01/058,58,058,58,"Fleet Numerical Meteorology and Oceanography Center, Monterey, CA, United States",Operational,NA
C01/059,59,059,59,"The NOAA Forecast Systems Laboratory, Boulder, CO, United States",Operational,NA
C01/060,60,060,60,United States National Center for Atmospheric Research (NCAR),Operational,NA
C01/061,61,061,61,Service ARGOS - Landover,Operational,NA
C01/062,62,062,62,US Naval Oceanographic Office,Operational,NA
C01/063,63,063,63,International Research Institute for Climate and Society (IRI),Operational,NA
C01//6,,,,64-73: Centres in Region V,Operational,NA
C01/064,64,064,64,Honolulu (RSMC),Operational,NA
C01/065,65,065,65,Darwin (RSMC),Operational,NA
C01/066,66,066,66,),Operational,NA
C01/067,67,067,67,Melbourne (RSMC),Operational,NA
C01/068,68,068,68,Reserved,Operational,NA
C01/069,69,069,69,Wellington (RSMC),Operational,NA
C01/070,70,070,70,),Operational,NA
C01/071,71,071,71,Nadi (RSMC),Operational,NA
C01/072,72,072,72,Singapore,Operational,NA
C01/073,73,073,73,Malaysia (NMC),Operational,NA
C01//7,,,,74-99: Centres in Region VI,Operational,NA
C01/074,74,074,74,UK Meteorological Office Exeter (RSMC),Operational,NA
C01/075,75,075,75,),Operational,NA
C01/076,76,076,76,Moscow (RSMC),Operational,NA
C01/077,77,077,77,Reserved,Operational,NA
C01/078,78,078,78,Offenbach (RSMC),Operational,NA
C01/079,79,079,79,),Operational,NA
C01/080,80,080,80,Rome (RSMC),Operational,NA
C01/081,81,081,81,),Operational,NA
C01/082,82,082,82,Norrkoping,Operational,NA
C01/083,83,083,83,),Operational,NA
C01/084,84,084,84,Toulouse (RSMC),Operational,NA
C01/085,85,085,85,Toulouse (RSMC),Operational,NA
C01/086,86,086,86,Helsinki,Operational,NA
C01/087,87,087,87,Belgrade,Operational,NA
C01/088,88,088,88,Oslo,Operational,NA
C01/089,89,089,89,Prague,Operational,NA
C01/090,90,090,90,Episkopi,Operational,NA
C01/091,91,091,91,Ankara,Operational,NA
C01/092,92,092,92,Frankfurt/Main,Operational,NA
C01/093,93,093,93,London (WAFC),Operational,NA
C01/094,94,094,94,Copenhagen,Operational,NA
C01/095,95,095,95,Rota,Operational,NA
C01/096,96,096,96,Athens,Operational,NA
C01/097,97,097,97,European Space Agency (ESA),Operational,NA
C01/098,98,098,98,European Centre for Medium-Range Weather Forecasts (ECMWF) (RSMC),Operational,NA
C01/099,99,099,99,De Bilt,Operational,NA
C01//8,,,,Additional Centres,Operational,NA
C01/100,Not applicable,100,100,Brazzaville,Operational,NA
C01/101,Not applicable,101,101,Abidjan,Operational,NA
C01/102,Not applicable,102,102,Libya (NMC),Operational,NA
C01/103,Not applicable,103,103,Madagascar (NMC),Operational,NA
C01/104,Not applicable,104,104,Mauritius (NMC),Operational,NA
C01/105,Not applicable,105,105,Niger (NMC),Operational,NA
C01/106,Not applicable,106,106,Seychelles (NMC),Operational,NA
C01/107,Not applicable,107,107,Uganda (NMC),Operational,NA
C01/108,Not applicable,108,108,United Republic of Tanzania (NMC),Operational,NA
C01/109,Not applicable,109,109,Zimbabwe (NMC),Operational,NA
C01/110,Not applicable,110,110,"Hong-Kong, China",Operational,NA
C01/111,Not applicable,111,111,Afghanistan (NMC),Operational,NA
C01/112,Not applicable,112,112,Bahrain (NMC),Operational,NA
C01/113,Not applicable,113,113,Bangladesh (NMC),Operational,NA
C01/114,Not applicable,114,114,Bhutan (NMC),Operational,NA
C01/115,Not applicable,115,115,Cambodia (NMC),Operational,NA
C01/116,Not applicable,116,116,Democratic People's Republic of Korea (NMC),Operational,NA
C01/117,Not applicable,117,117,Islamic Republic of Iran (NMC),Operational,NA
C01/118,Not applicable,118,118,Iraq (NMC),Operational,NA
C01/119,Not applicable,119,119,Kazakhstan (NMC),Operational,NA
C01/120,Not applicable,120,120,Kuwait (NMC),Operational,NA
C01/121,Not applicable,121,121,Kyrgyzstan (NMC),Operational,NA
C01/122,Not applicable,122,122,Lao People's Democratic Republic (NMC),Operational,NA
C01/123,Not applicable,123,123,"Macao, China",Operational,NA
C01/124,Not applicable,124,124,Maldives (NMC),Operational,NA
C01/125,Not applicable,125,125,Myanmar (NMC),Operational,NA
C01/126,Not applicable,126,126,Nepal (NMC),Operational,NA
C01/127,Not applicable,127,127,Oman (NMC),Operational,NA
C01/128,Not applicable,128,128,Pakistan (NMC),Operational,NA
C01/129,Not applicable,129,129,Qatar (NMC),Operational,NA
C01/130,Not applicable,130,130,Yemen (NMC),Operational,NA
C01/131,Not applicable,131,131,Sri Lanka (NMC),Operational,NA
C01/132,Not applicable,132,132,Tajikistan (NMC),Operational,NA
