ID,GRIB version number,BUFR version number,CREX version number,Effective date,Status,translation_source
C00/0,0,0,0,Experimental,Operational,NA
C00/1,,1,,1 November 1988,Operational,NA
C00/2,,2,,1 November 1993,Operational,NA
C00/3,,3,,2 November 1994,Operational,NA
C00/4,,4,,8 November 1995,Operational,NA
C00/5,,5,,6 November 1996,Operational,NA
C00/6,,6,,5 November 1997,Operational,NA
C00/7,,7,,4 November 1998,Operational,NA
C00/8,,8,1,3 May 2000,Operational,NA
C00/9,,9,,8 November 2000,Operational,NA
C00/10,1,10,2,7 November 2001,Operational,NA
C00/11,2,11,3,5 November 2003,Operational,NA
C00/12,3,12,4,2 November 2005,Operational,NA
C00/13,4,13,5,7 November 2007,Operational,NA
C00/14,5,14,6,4 November 2009,Operational,NA
C00/15,6,15,7,15 September 2010,Operational,NA
C00/16,7,16,16,4 May 2011,Operational,NA
C00/17,8,17,17,2 November 2011,Operational,NA
C00/18,9,18,18,2 May 2012,Operational,NA
C00/19,10,19,19,7 November 2012,Operational,NA
C00/20,11,20,20,8 May 2013,Operational,NA
C00/21,12,21,21,14 November 2013,Operational,NA
C00/22,13,22,22,7 May 2014,Operational,NA
C00/23,14,23,23,5 November 2014,Operational,NA
C00/24,15,24,24,6 May 2015,Operational,NA
C00/25,16,25,25,11 November 2015,Operational,NA
C00/26,17,26,26,4 May 2016,Operational,NA
C00/27,18,27,27,2 November 2016,Operational,NA
C00/28,19,28,28,3 May 2017,Operational,NA
C00/29,20,29,29,8 November 2017,Operational,NA
C00/30,21,30,30,2 May 2018,Operational,NA
C00/31,22,31,31,7 November 2018,Operational,NA
C00/32,23,32,32,15 May 2019,Operational,NA
C00/33,24,33,33,6 November 2019,Operational,NA
C00/34,25,34,34,6 May 2020,Operational,NA
C00/35,26,35,35,16 November 2020,Operational,NA
C00/36,27,36,36,15 June 2021,Operational,NA
C00/37,28,37,37,15 November 2021,Operational,NA
C00/38,29,38,38,15 May 2022,Operational,NA
C00/39,30,39,39,15 Nov 2022,Operational,NA
C00/40,31,40,40,15 June 2023,Operational,NA
C00/41,32,41,41,30 November 2023,Operational,NA
C00/42,33,42,42,28 June 2024,Operational,NA
C00/43,34,43,-,19 November 2024,Operational,NA
C00/44,35,44,-,19 May 2025,Operational,NA
C00/45,36,45,-,17 November 2025,Operational,NA
C00/46-254,37-254,46-254,-,Future versions,Operational,NA
C00/255,255,255,255,Missing,Operational,NA
