ID,CodeFigure,Meaning_es,ChemicalFormula,Status,translation_source
C14/0,0,Ozono,O3,Operational,PDF
C14/1,1,Vapor de agua,H2O,Operational,PDF
C14/2,2,Metano,CH4,Operational,PDF
C14/3,3,Dióxido de carbono,CO2,Operational,PDF
C14/4,4,Monóxido de carbono,CO,Operational,PDF
C14/5,5,Dióxido de nitrógeno,NO2,Operational,PDF
C14/6,6,Monóxido de nitrógeno,N2O,Operational,PDF
C14/7,7,,HCHO,Operational,NA
C14/8,8,Dióxido de azufre,SO2,Operational,PDF
C14/9,9,Amoníaco,NH3,Operational,PDF
C14/10,10,Catión de amonio,NH4+,Operational,PDF
C14/11,11,Monóxido de nitrógeno,NO,Operational,PDF
C14/12,12,Oxígeno atómico,O,Operational,PDF
C14/13,13,Radical nitrato,NO3*,Operational,PDF
C14/14,14,Radical hidroperoxilo,HOO*,Operational,PDF
C14/15,15,Pentóxido de dinitrógeno,N2O5,Operational,PDF
C14/16,16,Ácido nitroso,HONO,Operational,PDF
C14/17,17,Ácido nítrico,HNO3,Operational,PDF
C14/18,18,Ácido peroxinítrico,HO2NO2,Operational,PDF
C14/19,19,Peróxido de hidrógeno,H2O2,Operational,PDF
C14/20,20,Dihidrógeno,H2,Operational,PDF
C14/21,21,Nitrógeno atómico,N,Operational,PDF
C14/22,22,Anión de sulfato,SO42-,Operational,PDF
C14/23,23,Radón atómico,Rn,Operational,PDF
C14/24,24,Vapor de mercurio,Hg(0),Operational,PDF
C14/25,25,Catión de mercurio II,Hg2+,Operational,PDF
C14/26,26,Cloro atómico,Cl,Operational,PDF
C14/27,27,Monóxido de cloro,ClO,Operational,PDF
C14/28,28,Peróxido de dicloruro,Cl2O2,Operational,PDF
C14/29,29,Ácido hipocloroso,HClO,Operational,PDF
C14/30,30,Nitrato de cloro,ClONO2,Operational,PDF
C14/31,31,Dióxido de cloro,ClO2,Operational,PDF
C14/32,32,Bromo atómico,Br,Operational,PDF
C14/33,33,Monóxido de bromo,BrO,Operational,PDF
C14/34,34,Cloruro de bromo,BrCl,Operational,PDF
C14/35,35,Bromuro de hidrógeno,HBr,Operational,PDF
C14/36,36,Ácido hipobromoso,HBrO,Operational,PDF
C14/37,37,Nitrato de bromo,BrONO2,Operational,PDF
C14/38,38,Dioxígeno,O2,Operational,PDF
C14/39,39,Cloruro de nitrilo,NO2Cl,Operational,PDF
C14/40,40,Ácido sulfúrico,H2SO4,Operational,PDF
C14/41,41,Sulfuro de hidrógeno,H2S,Operational,PDF
C14/42,42,Trióxido de azufre,SO3,Operational,PDF
C14/43,43,Bromo,Br2,Operational,PDF
C14/44,44,Ácido fluorhídrico,HF,Operational,PDF
C14/45,45,Hexafluoruro de azufre,SF6,Operational,PDF
C14/46,46,Cloro,Cl2,Operational,PDF
C14/47-9999,47-9999,,,Operational,NA
C14/10000,10000,Radical hidroxilo,HO*,Operational,PDF
C14/10001,10001,Radical peroximetilo,CH3OO*,Operational,PDF
C14/10002,10002,Hiperóxido metilo,CH3OOH,Operational,PDF
C14/10004,10004,Metanol,CH3OH,Operational,PDF
C14/10005,10005,Ácido fórmico,HCOOH,Operational,PDF
C14/10006,10006,Cianuro de hidrógeno,HCN,Operational,PDF
C14/10007,10007,Acetonitrilo,CH3CN,Operational,PDF
C14/10008,10008,Etano,C2H6,Operational,PDF
C14/10009,10009,Eteno (= etileno),C2H4,Operational,PDF
C14/10010,10010,Etino (= acetileno),C2H2,Operational,PDF
C14/10011,10011,Etanol,C2H5OH,Operational,PDF
C14/10012,10012,Ácido acético,C2H5OOH,Operational,PDF
C14/10013,10013,Nitrato de peroxiacetilo,CH3C(O)OONO2,Operational,PDF
C14/10014,10014,Propano,C3H8,Operational,PDF
