ID,CodeFigure,Meaning_es,ChemicalFormula,Status,translation_source
C14/10015,10015,Propeno,C3H6,Operational,PDF
C14/10016,10016,Butanos (todos los isómeros),C4H10,Operational,PDF
C14/10017,10017,Isopreno,C5H10,Operational,PDF
C14/10018,10018,Alfa-pineno,C10H16,Operational,PDF
C14/10019,10019,Beta pineno,C10H16,Operational,PDF
C14/10020,10020,Limoneno,C10H16,Operational,PDF
C14/10021,10021,Benceno,C6H6,Operational,PDF
C14/10022,10022,Tolueno,C7H8,Operational,PDF
C14/10023,10023,Xileno,C8H10,Operational,PDF
C14/10024,10024,Ácido metanosulfónico,CH3SO3H,Operational,PDF
C14/10025,10025,Metilglioxal (2-oxopropanal),CH3C(O)CHO,Operational,PDF
C14/10026,10026,Radical peroxiacetilo,CH3C(O)OO*,Operational,PDF
C14/10027,10027,Ácido metacrílico (ácido 2-metilprop-2-enoico),CH2C(CH3)COOH,Operational,PDF
C14/10028,10028,Metacroleína (2-metilprop-2-enal),CH2C(CH3)CHO,Operational,PDF
C14/10029,10029,Acetona (propan-2-ona),CH3C(O)CH3,Operational,PDF
C14/10030,10030,Radical dioxidanilo etílico,CH3CH2OO*,Operational,PDF
C14/10031,10031,"Butadieno (buta-1,3-dieno)",(CH2CH)2,Operational,PDF
C14/10032,10032,Acetaldehído (etanal),CH3CHO,Operational,PDF
C14/10033,10033,Glicolaldehído (hidroxietanal),HOCH2CHO,Operational,PDF
C14/10034,10034,"Cresol (metilfenol), todos los isómeros",CH3C6H4OH,Operational,PDF
C14/10035,10035,Ácido peracético (ácido etanoperoxoico),CH3C(O)OOH,Operational,PDF
C14/10036,10036,Radical 2-hidroxietiloxidanilo,HOCH2CH2O*,Operational,PDF
C14/10037,10037,Radical 2-hidroxietildioxidanilo,HOCH2CH2OO*,Operational,PDF
C14/10038,10038,Glioxal (oxoaldehído),OCHCHO,Operational,PDF
C14/10039,10039,Radical isopropildioxidanilo,(CH3)2CHOO*,Operational,PDF
C14/10040,10040,Hidroperóxido de isopropilo (2-hidroperoxipropano),(CH3)2CHOOH,Operational,PDF
C14/10041,10041,Hidroxiacetona (1-hidroxipropan-2-ona),CH3C(O)CH2OH,Operational,PDF
C14/10042,10042,Ácido peroxiacético (ácido etanoperoxoico),CH3C(O)OOH,Operational,PDF
C14/10043,10043,Metilvinilcetona (but-3-en-2-ona),CH3C(O)CHCH2,Operational,PDF
C14/10044,10044,Radical fenoxi,C6H5O*,Operational,PDF
C14/10045,10045,Radical metilo,CH3*,Operational,PDF
C14/10046,10046,Sulfuro de carbonilo (oxisulfuro de carbono),OCS,Operational,PDF
C14/10047,10047,Dibromometano,CH2Br2,Operational,PDF
C14/10048,10048,Radical metoxi,CH3O*,Operational,PDF
C14/10049,10049,Tribromometano,CHBr3,Operational,PDF
C14/10050,10050,Radical formilo (radical oxometilo),HOC*,Operational,PDF
C14/10051,10051,Radical hidroximetildioxidanilo,HOCH2OO*,Operational,PDF
C14/10052,10052,Hidroperóxido de etilo,CH3CH2OOH,Operational,PDF
C14/10053,10053,Radical 3-hidroxipropildioxidanilo,HOCH2CH2CH2OO*,Operational,PDF
C14/10054,10054,Hidroperóxido de 3-hidroxipropilo,HOCH2CH2CH2OOH,Operational,PDF
C14/10055,10055,Metil peroxinitrato nitrato (nitroperoxi)metano,CH3OONO2,Operational,PDF
C14/10056,10056,2-λ 1 -oxidaniloxi-2-metilbut-3-en-1-ol (radical 4-hidroxi-3-metilbut-1-en-3-ilperoxi),HOCH2C(CH3)(OO*)CHCH2,Operational,PDF
C14/10057,10057,2-λ 1 -oxidaniloxi-3-metilbut-3-en-1-ol (radical 2-hidroxi-1-isopropeniletilperoxi),HOCH2CH(OO*)C(CH3)CH2,Operational,PDF
C14/10058,10058,(Z)-4-hidroperoxi-2-metil-2-butenal,CH2(OOH)CHC(CH3)CHO,Operational,PDF
C14/10059,10059,(Z)-4-hidroperoxi-3-metil-2-butenal,CH2(OOH)C(CH3)CHCHO,Operational,PDF
C14/10060,10060,,C4H8,Operational,NA
C14/10061,10061,,C5H10,Operational,NA
C14/10062,10062,,C6H12,Operational,NA
C14/10063,10063,,C7H14,Operational,NA
C14/10064,10064,,C8H16,Operational,NA
C14/10065,10065,,C5H12,Operational,NA
C14/10066,10066,,C6H14,Operational,NA
C14/10067,10067,,C7H16,Operational,NA
C14/10068,10068,,C8H18,Operational,NA
C14/10069-10499,10069-10499,,,Operational,NA
C14/10500,10500,Sulfuro de dimetilo,CH3SCH3 (DMS),Operational,PDF
C14/10501,10501,DMSO (sulfóxido de dimetilo),(CH3)2SO,Operational,PDF
C14/10502-20000,10502-20000,,,Operational,NA
C14/20001,20001,Cloruro de hidrógeno,HCl,Operational,PDF
C14/20002,20002,,CCl3F,Operational,NA
C14/20003,20003,,CCl2F2,Operational,NA
C14/20004,20004,,Cl2FC-CClF2,Operational,NA
C14/20005,20005,,Cl3C-CF3,Operational,NA
C14/20006,20006,,ClF2C-CClF2,Operational,NA
C14/20007,20007,,ClF2C-CF3,Operational,NA
C14/20008,20008,,CHClF2,Operational,NA
C14/20009,20009,,Cl2FC-CH3,Operational,NA
C14/20010,20010,,ClF2C-CH3,Operational,NA
C14/20011,20011,Halón-1202 (dibromodifluorometano),CBr2F2,Operational,PDF
C14/20012,20012,Halón-1211 (bromoclorodifluorometano),CBrClF2,Operational,PDF
C14/20013,20013,Halón-1301 (bromotrifluorometano),CBrF3,Operational,PDF
C14/20014,20014,"Halón-2402 (1,2-dibromo-1,1,2,2-tetrafluoroetano)",BrF2C-CBrF2,Operational,PDF
C14/20015,20015,,CH3Cl,Operational,NA
C14/20016,20016,,CCl4,Operational,NA
C14/20017,20017,,Cl3C-CH3,Operational,NA
C14/20018,20018,,CH3Br,Operational,NA
C14/20019,20019,HCH (hexaclorociclohexano) todos los isómeros,C6H6Cl6,Operational,PDF
C14/20020,20020,α HCH ( α -hexaclorociclohexano) ambos enantiómeros,&alpha;-C6H6Cl6,Operational,PDF
C14/20021,20021,"PCB-153 (2,2',4,4',5,5'-hexaclorobifenilo)",(C6H2Cl3)2,Operational,PDF
C14/20022,20022,"HCFC 141a (1,1-dicloro-2-fluoro-etano)",Cl2HC-CH2F,Operational,PDF
C14/20023-29999,20023-29999,,,Operational,NA
C14/30000,30000,"Contaminante radioactivo (trazador, definido por el centro de origen)",,Operational,PDF
C14/30001-30009,30001-30009,,,Operational,NA
C14/30010,30010,Tritio (hidrógeno 3),H-3,Operational,PDF
C14/30011,30011,Tritio orgánico fijado,H-3o,Operational,PDF
C14/30012,30012,Tritio inorgánico,H-3a,Operational,PDF
C14/30013,30013,Berilio 7,Be-7,Operational,PDF
C14/30014,30014,Berilio 10,Be-10,Operational,PDF
C14/30015,30015,,C-14,Operational,NA
C14/30016,30016,,C-14CO2,Operational,NA
C14/30017,30017,,C-14og,Operational,NA
C14/30018,30018,Nitrógeno 13,N-13,Operational,PDF
C14/30019,30019,Nitrógeno 16,N-16,Operational,PDF
C14/30020,30020,Flúor 18,F-18,Operational,PDF
C14/30021,30021,Sodio 22,Na-22,Operational,PDF
C14/30022,30022,Fosfato 32,P-32,Operational,PDF
C14/30023,30023,Fosfato 33,P-33,Operational,PDF
C14/30024,30024,Azufre 35,S-35,Operational,PDF
C14/30025,30025,Cloro 36,Cl-36,Operational,PDF
C14/30026,30026,Potasio 40,K-40,Operational,PDF
C14/30027,30027,Argón 41,Ar-41,Operational,PDF
C14/30028,30028,Calcio 41,Ca-41,Operational,PDF
C14/30029,30029,Calcio 45,Ca-45,Operational,PDF
C14/30030,30030,Titanio 44,Ti-44,Operational,PDF
C14/30031,30031,,Sc-46,Operational,NA
C14/30032,30032,Vanadio 48,V-48,Operational,PDF
C14/30033,30033,Vanadio 49,V-49,Operational,PDF
C14/30034,30034,Cromo 51,Cr-51,Operational,PDF
C14/30035,30035,Manganeso 52,Mn-52,Operational,PDF
C14/30036,30036,Manganeso 54,Mn-54,Operational,PDF
C14/30037,30037,Hierro 55,Fe-55,Operational,PDF
C14/30038,30038,Hierro 59,Fe-59,Operational,PDF
C14/30039,30039,Cobalto 56,Co-56,Operational,PDF
C14/30040,30040,Cobalto 57,Co-57,Operational,PDF
C14/30041,30041,Cobalto 58,Co-58,Operational,PDF
C14/30042,30042,Cobalto 60,Co-60,Operational,PDF
C14/30043,30043,Níquel 59,Ni-59,Operational,PDF
C14/30044,30044,Níquel 63,Ni-63,Operational,PDF
C14/30045,30045,Zinc 65,Zn-65,Operational,PDF
C14/30046,30046,Galio 67,Ga-67,Operational,PDF
C14/30047,30047,Galio 68,Ga-68,Operational,PDF
C14/30048,30048,Germanio 68,Ge-68,Operational,PDF
C14/30049,30049,Germanio 69,Ge-69,Operational,PDF
C14/30050,30050,Arsénico 73,As-73,Operational,PDF
C14/30051,30051,Selenio 75,Se-75,Operational,PDF
C14/30052,30052,Selenio 79,Se-79,Operational,PDF
C14/30053,30053,Rubidio 81,Rb-81,Operational,PDF
C14/30054,30054,Rubidio 83,Rb-83,Operational,PDF
C14/30055,30055,Rubidio 84,Rb-84,Operational,PDF
C14/30056,30056,Rubidio 86,Rb-86,Operational,PDF
C14/30057,30057,Rubidio 87,Rb-87,Operational,PDF
C14/30058,30058,Rubidio 88,Rb-88,Operational,PDF
C14/30059,30059,Criptón 85,Kr-85,Operational,PDF
C14/30060,30060,Criptón 85 metaestable,Kr-85m,Operational,PDF
C14/30061,30061,Criptón 87,Kr-87,Operational,PDF
C14/30062,30062,Criptón 88,Kr-88,Operational,PDF
C14/30063,30063,Criptón 89,Kr-89,Operational,PDF
C14/30064,30064,Estroncio 85,Sr-85,Operational,PDF
C14/30065,30065,Estroncio 89,Sr-89,Operational,PDF
C14/30066,30066,Estroncio 89/90,Sr-8990,Operational,PDF
C14/30067,30067,Estroncio 90,Sr-90,Operational,PDF
C14/30068,30068,Estroncio 91,Sr-91,Operational,PDF
C14/30069,30069,Estroncio 92,Sr-92,Operational,PDF
C14/30070,30070,Itrio 87,Y-87,Operational,PDF
C14/30071,30071,Itrio 88,Y-88,Operational,PDF
C14/30072,30072,Itrio 90,Y-90,Operational,PDF
C14/30073,30073,Itrio 91,Y-91,Operational,PDF
C14/30074,30074,Itrio 91 metaestable,Y-91m,Operational,PDF
C14/30075,30075,Itrio 92,Y-92,Operational,PDF
C14/30076,30076,Itrio 93,Y-93,Operational,PDF
C14/30077,30077,Circonio 89,Zr-89,Operational,PDF
C14/30078,30078,Circonio 93,Zr-93,Operational,PDF
C14/30079,30079,Circonio 95,Zr-95,Operational,PDF
C14/30080,30080,Circonio 97,Zr-97,Operational,PDF
C14/30081,30081,Niobio 93 metaestable,Nb-93m,Operational,PDF
C14/30082,30082,Niobio 94,Nb-94,Operational,PDF
C14/30083,30083,Niobio 95,Nb-95,Operational,PDF
C14/30084,30084,Niobio 95 metaestable,Nb-95m,Operational,PDF
C14/30085,30085,Niobio 97,Nb-97,Operational,PDF
C14/30086,30086,Niobio 97 metaestable,Nb-97m,Operational,PDF
C14/30087,30087,Molibdeno 93,Mo-93,Operational,PDF
C14/30088,30088,Molibdeno 99,Mo-99,Operational,PDF
C14/30089,30089,,Tc-95m,Operational,NA
C14/30090,30090,,Tc-96,Operational,NA
C14/30091,30091,,Tc-99,Operational,NA
C14/30092,30092,,Tc-99m,Operational,NA
C14/30093,30093,Rodio 99,Rh-99,Operational,PDF
C14/30094,30094,Rodio 101,Rh-101,Operational,PDF
C14/30095,30095,Rodio 102 metaestable,Rh-102m,Operational,PDF
C14/30096,30096,Rodio 103 metaestable,Rh-103m,Operational,PDF
C14/30097,30097,Rodio 105,Rh-105,Operational,PDF
C14/30098,30098,Rodio 106,Rh-106,Operational,PDF
C14/30099,30099,Paladio 100,Pd-100,Operational,PDF
C14/30100,30100,Paladio 103,Pd-103,Operational,PDF
C14/30101,30101,Paladio 107,Pd-107,Operational,PDF
C14/30102,30102,Rutenio 103,Ru-103,Operational,PDF
C14/30103,30103,Rutenio 105,Ru-105,Operational,PDF
C14/30104,30104,Rutenio 106,Ru-106,Operational,PDF
C14/30105,30105,Plata 108 metaestable,Ag-108m,Operational,PDF
C14/30106,30106,Plata 110 metaestable,Ag-110m,Operational,PDF
C14/30107,30107,Cadmio 109,Cd-109,Operational,PDF
C14/30108,30108,Cadmio 113 metaestable,Cd-113m,Operational,PDF
C14/30109,30109,Cadmio 115 metaestable,Cd-115m,Operational,PDF
C14/30110,30110,Indio 114 metaestable,In-114m,Operational,PDF
C14/30111,30111,Estaño 113,Sn-113,Operational,PDF
C14/30112,30112,Estaño 119 metaestable,Sn-119m,Operational,PDF
C14/30113,30113,Estaño 121 metaestable,Sn-121m,Operational,PDF
C14/30114,30114,Estaño 122,Sn-122,Operational,PDF
C14/30115,30115,Estaño 123,Sn-123,Operational,PDF
C14/30116,30116,Estaño 126,Sn-126,Operational,PDF
C14/30117,30117,Antimonio 124,Sb-124,Operational,PDF
C14/30118,30118,Antimonio 125,Sb-125,Operational,PDF
C14/30119,30119,Antimonio 126,Sb-126,Operational,PDF
C14/30120,30120,Antimonio 127,Sb-127,Operational,PDF
C14/30121,30121,Antimonio 129,Sb-129,Operational,PDF
C14/30122,30122,Telurio 123 metaestable,Te-123m,Operational,PDF
C14/30123,30123,Telurio 125 metaestable,Te-125m,Operational,PDF
C14/30124,30124,Telurio 127,Te-127,Operational,PDF
C14/30125,30125,Telurio 127 metaestable,Te-127m,Operational,PDF
C14/30126,30126,Telurio 129,Te-129,Operational,PDF
C14/30127,30127,Telurio 129 metaestable,Te-129m,Operational,PDF
C14/30128,30128,Telurio 131 metaestable,Te-131m,Operational,PDF
C14/30129,30129,Telurio 132,Te-132,Operational,PDF
C14/30130,30130,Yodo 123,I-123,Operational,PDF
C14/30131,30131,Yodo 124,I-124,Operational,PDF
C14/30132,30132,Yodo 125,I-125,Operational,PDF
C14/30133,30133,Yodo 126,I-126,Operational,PDF
C14/30134,30134,Yodo 129,I-129,Operational,PDF
C14/30135,30135,Yodo 129 elemental gaseoso,I-129g,Operational,PDF
C14/30136,30136,Yodo 129 orgánico fijado,I-129o,Operational,PDF
C14/30137,30137,Yodo 131,I-131,Operational,PDF
C14/30138,30138,Yodo 131 elemental gaseoso,I-131g,Operational,PDF
C14/30139,30139,Yodo 131 orgánico fijado,I-131o,Operational,PDF
C14/30140,30140,Yodo 131 gaseoso elemental y orgánico fijado,I-131go,Operational,PDF
C14/30141,30141,Yodo 131 aerosol,I-131a,Operational,PDF
C14/30142,30142,Yodo 132,I-132,Operational,PDF
C14/30143,30143,Yodo 132 elemental gaseoso,I-132g,Operational,PDF
C14/30144,30144,Yodo 132 orgánico fijado,I-132o,Operational,PDF
C14/30145,30145,Yodo 132 gaseoso elemental y orgánico fijado,I-132go,Operational,PDF
C14/30146,30146,Yodo 132 aerosol,I-132a,Operational,PDF
C14/30147,30147,Yodo 133,I-133,Operational,PDF
C14/30148,30148,Yodo 133 elemental gaseoso,I-133g,Operational,PDF
C14/30149,30149,Yodo 133 orgánico fijado,I-133o,Operational,PDF
C14/30150,30150,Yodo 133 gaseoso elemental y orgánico fijado,I-133go,Operational,PDF
C14/30151,30151,Yodo 133 aerosol,I-133a,Operational,PDF
C14/30152,30152,Yodo 134,I-134,Operational,PDF
C14/30153,30153,Yodo 134 elemental gaseoso,I-134g,Operational,PDF
C14/30154,30154,Yodo 134 orgánico fijado,I-134o,Operational,PDF
C14/30155,30155,Yodo 135,I-135,Operational,PDF
C14/30156,30156,Yodo 135 elemental gaseoso,I-135g,Operational,PDF
C14/30157,30157,Yodo 135 orgánico fijado,I-135o,Operational,PDF
C14/30158,30158,Yodo 135 gaseoso elemental y orgánico fijado,I-135go,Operational,PDF
C14/30159,30159,Yodo 135 aerosol,I-135a,Operational,PDF
C14/30160,30160,Xenón 131 metaestable,Xe-131m,Operational,PDF
C14/30161,30161,Xenón 133,Xe-133,Operational,PDF
C14/30162,30162,Xenón 133 metaestable,Xe-133m,Operational,PDF
C14/30163,30163,Xenón 135,Xe-135,Operational,PDF
C14/30164,30164,Xenón 135 metaestable,Xe-135m,Operational,PDF
C14/30165,30165,Xenón 137,Xe-137,Operational,PDF
C14/30166,30166,Xenón 138,Xe-138,Operational,PDF
C14/30167,30167,Xenón suma de todos los isótopos de xenón,Xe-sum,Operational,PDF
C14/30168,30168,Cesio 131,Cs-131,Operational,PDF
C14/30169,30169,Cesio 134,Cs-134,Operational,PDF
C14/30170,30170,Cesio 135,Cs-135,Operational,PDF
C14/30171,30171,Cesio 136,Cs-136,Operational,PDF
C14/30172,30172,Cesio 137,Cs-137,Operational,PDF
C14/30173,30173,Bario 133,Ba-133,Operational,PDF
C14/30174,30174,Bario 137 metaestable,Ba-137m,Operational,PDF
C14/30175,30175,Bario 140,Ba-140,Operational,PDF
C14/30176,30176,Cerio 139,Ce-139,Operational,PDF
C14/30177,30177,Cerio 141,Ce-141,Operational,PDF
C14/30178,30178,Cerio 143,Ce-143,Operational,PDF
C14/30179,30179,Cerio 144,Ce-144,Operational,PDF
C14/30180,30180,Lantano 140,La-140,Operational,PDF
C14/30181,30181,Lantano 141,La-141,Operational,PDF
C14/30182,30182,Praseodimio 143,Pr-143,Operational,PDF
C14/30183,30183,Praseodimio 144,Pr-144,Operational,PDF
C14/30184,30184,Praseodimio 144 metaestable,Pr-144m,Operational,PDF
C14/30185,30185,Samario 145,Sm-145,Operational,PDF
C14/30186,30186,Samario 147,Sm-147,Operational,PDF
C14/30187,30187,Samario 151,Sm-151,Operational,PDF
C14/30188,30188,Neodimio 147,Nd-147,Operational,PDF
C14/30189,30189,Prometio 146,Pm-146,Operational,PDF
C14/30190,30190,Prometio 147,Pm-147,Operational,PDF
C14/30191,30191,Prometio 151,Pm-151,Operational,PDF
C14/30192,30192,Europio 152,Eu-152,Operational,PDF
C14/30193,30193,Europio 154,Eu-154,Operational,PDF
C14/30194,30194,Europio 155,Eu-155,Operational,PDF
C14/30195,30195,Gadolinio 153,Gd-153,Operational,PDF
C14/30196,30196,Terbio 160,Tb-160,Operational,PDF
C14/30197,30197,Holmio 166 metaestable,Ho-166m,Operational,PDF
C14/30198,30198,Tulio 170,Tm-170,Operational,PDF
C14/30199,30199,Iterbio 169,Yb-169,Operational,PDF
C14/30200,30200,Hafnio 175,Hf-175,Operational,PDF
C14/30201,30201,Hafnio 181,Hf-181,Operational,PDF
C14/30202,30202,Tantalio 179,Ta-179,Operational,PDF
C14/30203,30203,Tantalio 182,Ta-182,Operational,PDF
C14/30204,30204,Renio 184,Re-184,Operational,PDF
C14/30205,30205,Iridio 192,Ir-192,Operational,PDF
C14/30206,30206,Mercurio 203,Hg-203,Operational,PDF
C14/30207,30207,Talio 204,Tl-204,Operational,PDF
C14/30208,30208,Talio 207,Tl-207,Operational,PDF
C14/30209,30209,Talio 208,Tl-208,Operational,PDF
C14/30210,30210,Talio 209,Tl-209,Operational,PDF
C14/30211,30211,Bismuto 205,Bi-205,Operational,PDF
C14/30212,30212,Bismuto 207,Bi-207,Operational,PDF
C14/30213,30213,Bismuto 210,Bi-210,Operational,PDF
C14/30214,30214,Bismuto 211,Bi-211,Operational,PDF
C14/30215,30215,Bismuto 212,Bi-212,Operational,PDF
C14/30216,30216,Bismuto 213,Bi-213,Operational,PDF
C14/30217,30217,Bismuto 214,Bi-214,Operational,PDF
C14/30218,30218,Polonio 208,Po-208,Operational,PDF
C14/30219,30219,Polonio 210,Po-210,Operational,PDF
C14/30220,30220,Polonio 212,Po-212,Operational,PDF
C14/30221,30221,Polonio 213,Po-213,Operational,PDF
C14/30222,30222,Polonio 214,Po-214,Operational,PDF
C14/30223,30223,Polonio 215,Po-215,Operational,PDF
C14/30224,30224,Polonio 216,Po-216,Operational,PDF
C14/30225,30225,Polonio 218,Po-218,Operational,PDF
C14/30226,30226,Plomo 209,Pb-209,Operational,PDF
C14/30227,30227,Plomo 210,Pb-210,Operational,PDF
C14/30228,30228,Plomo 211,Pb-211,Operational,PDF
C14/30229,30229,Plomo 212,Pb-212,Operational,PDF
C14/30230,30230,Plomo 214,Pb-214,Operational,PDF
C14/30231,30231,Astatino 217,At-217,Operational,PDF
C14/30232,30232,Radón 219,Rn-219,Operational,PDF
C14/30233,30233,Radón 220,Rn-220,Operational,PDF
C14/30234,30234,Radón 222,Rn-222,Operational,PDF
C14/30235,30235,Francio 221,Fr-221,Operational,PDF
C14/30236,30236,Francio 223,Fr-223,Operational,PDF
C14/30237,30237,Radio 223,Ra-223,Operational,PDF
C14/30238,30238,Radio 224,Ra-224,Operational,PDF
C14/30239,30239,Radio 225,Ra-225,Operational,PDF
C14/30240,30240,Radio 226,Ra-226,Operational,PDF
C14/30241,30241,Radio 228,Ra-228,Operational,PDF
C14/30242,30242,,Ac-225,Operational,NA
C14/30243,30243,,Ac-227,Operational,NA
C14/30244,30244,,Ac-228,Operational,NA
C14/30245,30245,Torio 227,Th-227,Operational,PDF
C14/30246,30246,Torio 228,Th-228,Operational,PDF
C14/30247,30247,Torio 229,Th-229,Operational,PDF
C14/30248,30248,Torio 230,Th-230,Operational,PDF
C14/30249,30249,Torio 231,Th-231,Operational,PDF
C14/30250,30250,Torio 232,Th-232,Operational,PDF
C14/30251,30251,Torio 234,Th-234,Operational,PDF
C14/30252,30252,Protactinio 231,Pa-231,Operational,PDF
C14/30253,30253,Protactinio 233,Pa-233,Operational,PDF
C14/30254,30254,Protactinio 234 metaestable,Pa-234m,Operational,PDF
C14/30255,30255,Uranio 232,U-232,Operational,PDF
C14/30256,30256,Uranio 233,U-233,Operational,PDF
C14/30257,30257,Uranio 234,U-234,Operational,PDF
C14/30258,30258,Uranio 235,U-235,Operational,PDF
C14/30259,30259,Uranio 236,U-236,Operational,PDF
C14/30260,30260,Uranio 237,U-237,Operational,PDF
C14/30261,30261,Uranio 238,U-238,Operational,PDF
C14/30262,30262,Plutonio 236,Pu-236,Operational,PDF
C14/30263,30263,Plutonio 238,Pu-238,Operational,PDF
C14/30264,30264,Plutonio 239,Pu-239,Operational,PDF
C14/30265,30265,Plutonio 240,Pu-240,Operational,PDF
C14/30266,30266,Plutonio 241,Pu-241,Operational,PDF
C14/30267,30267,Plutonio 242,Pu-242,Operational,PDF
C14/30268,30268,Plutonio 244,Pu-244,Operational,PDF
C14/30269,30269,Neptunio 237,Np-237,Operational,PDF
C14/30270,30270,Neptunio 238,Np-238,Operational,PDF
C14/30271,30271,Neptunio 239,Np-239,Operational,PDF
C14/30272,30272,Americio 241,Am-241,Operational,PDF
C14/30273,30273,Americio 242,Am-242,Operational,PDF
C14/30274,30274,Americio 242 metaestable,Am-242m,Operational,PDF
C14/30275,30275,Americio 243,Am-243,Operational,PDF
C14/30276,30276,Curio 242,Cm-242,Operational,PDF
C14/30277,30277,Curio 243,Cm-243,Operational,PDF
C14/30278,30278,Curio 244,Cm-244,Operational,PDF
C14/30279,30279,Curio 245,Cm-245,Operational,PDF
C14/30280,30280,Curio 246,Cm-246,Operational,PDF
C14/30281,30281,Curio 247,Cm-247,Operational,PDF
C14/30282,30282,Curio 248,Cm-248,Operational,PDF
C14/30283,30283,Curio 243/244,Cm-243244,Operational,PDF
C14/30284,30284,Plutonio 238/Americio 241,Pu-238Am-241,Operational,PDF
C14/30285,30285,Plutonio 239/240,Pu-239240,Operational,PDF
C14/30286,30286,Berkelio 249,Bk-249,Operational,PDF
C14/30287,30287,Californio 249,Cf-249,Operational,PDF
C14/30288,30288,Californio 250,Cf-250,Operational,PDF
C14/30289,30289,Californio 252,Cf-252,Operational,PDF
C14/30290,30290,Suma de las partículas de aerosoles,SumAer,Operational,PDF
C14/30291,30291,Suma del yodo,SumIod,Operational,PDF
C14/30292,30292,Suma de los gases nobles,SumNG,Operational,PDF
C14/30293,30293,Gas de activación,ActGas,Operational,PDF
C14/30294,30294,Equivalente a Cs-137,EquCs137,Operational,PDF
C14/30295,30295,,C-13,Operational,NA
C14/30296,30296,Plomo,Pb,Operational,PDF
C14/30297,30297,,Te-131,Operational,NA
C14/30298,30298,,Nd-137,Operational,NA
C14/30299,30299,,,Operational,NA
