ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_es,CodeFigure_SubCentres,Name_SubCentres_es,Status,translation_source
C12/173/14,173,Administración Nacional de Aeronáutica y del Espacio (NASA) (EE. UU.),14,Instalaciones de vuelo Wallops,Operational,PDF
C12/176/10,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),10,Tromsø (Noruega),Operational,PDF
C12/176/11,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),11,McMurdo (Antártida),Operational,PDF
C12/176/12,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),12,Sodankyla (Finlandia),Operational,PDF
C12/176/13,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),13,Fairbanks (EE. UU.),Operational,PDF
C12/176/14,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),14,Barrow (EE. UU.),Operational,PDF
C12/176/15,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),15,Rothera (Antártida),Operational,PDF
C12/176/20,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),20,Honolulu (EE. UU.),Operational,PDF
C12/176/21,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),21,Gilmore Creek (EE. UU.),Operational,PDF
C12/176/22,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),22,Madison (EE. UU.),Operational,PDF
C12/176/23,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),23,Miami (EE. UU.),Operational,PDF
C12/176/24,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),24,Mayaguez (Puerto Rico),Operational,PDF
C12/176/25,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),25,Monterrey (EE. UU.),Operational,PDF
C12/176/26,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),26,Guam,Operational,PDF
C12/176/27,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),27,Corvallis (EE. UU.),Operational,PDF
C12/176/28,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),28,Hampton (EE. UU.),Operational,PDF
C12/176/29,176,Instituto Cooperativo de Estudios MeteorológicosSatelitales (CIMSS) EE. UU.),29,Ciudad de New York (EE. UU.),Operational,PDF
C12/177/1,177,Servicio Oceánico Nacional de la NOAA (EE. UU.),1,Centro de productos y servicios,Operational,PDF
C12/177/2,177,Servicio Oceánico Nacional de la NOAA (EE. UU.),2,Laboratorio para el desarrollo del estudio de la costa,Operational,PDF
C12/183/1,183,,1,,Operational,NA
C12/183/2,183,,2,,Operational,NA
C12//6,,,,,Operational,NA
C12/2/201,2,Melbourne,201,,Operational,PDF
C12/2/203,2,Melbourne,203,Davis,Operational,PDF
C12/2/210,2,Melbourne,210,Alice Springs,Operational,PDF
C12/2/211,2,Melbourne,211,Melbourne Crib Point 1,Operational,PDF
C12/2/214,2,Melbourne,214,Darwin,Operational,PDF
C12/2/217,2,Melbourne,217,Perth,Operational,PDF
C12/2/219,2,Melbourne,219,Townsville,Operational,PDF
C12/2/232,2,Melbourne,232,Fiji,Operational,PDF
C12/2/235,2,Melbourne,235,Noumea,Operational,PDF
C12/2/237,2,Melbourne,237,Papeete,Operational,PDF
C12/2/250,2,Melbourne,250,Vladivostock,Operational,PDF
C12/2/251,2,Melbourne,251,Guam,Operational,PDF
