ID,GRIB version number,BUFR version number,CREX version number,Effective date,Status,translation_source
C00/0,0,0,0,Experimental,Operational,PDF
C00/1,,1,,1 de noviembre de 1988,Operational,PDF
C00/2,,2,,1 de noviembre de 1993,Operational,PDF
C00/3,,3,,2 de noviembre de 1994,Operational,PDF
C00/4,,4,,8 de noviembre de 1995,Operational,PDF
C00/5,,5,,6 de noviembre de 1996,Operational,PDF
C00/6,,6,,5 de noviembre de 1997,Operational,PDF
C00/7,,7,,4 de noviembre de 1998,Operational,PDF
C00/8,,8,1,3 de mayo de 2000,Operational,PDF
C00/9,,9,,8 de noviembre de 2000,Operational,PDF
C00/10,1,10,2,7 de noviembre de 2001,Operational,PDF
C00/11,2,11,3,5 de noviembre de 2003,Operational,PDF
C00/12,3,12,4,2 de noviembre 2005,Operational,PDF
C00/13,4,13,5,7 de noviembre de 2007,Operational,PDF
C00/14,5,14,6,4 de noviembre de 2009,Operational,PDF
C00/15,6,15,7,15 de septiembre de 2010,Operational,PDF
C00/16,7,16,16,4 de mayo de 2011,Operational,PDF
C00/17,8,17,17,2 de noviembre de 2011,Operational,PDF
C00/18,9,18,18,2 de mayo de 2012,Operational,PDF
C00/19,10,19,19,7 de noviembre de 2012,Operational,PDF
C00/20,11,20,20,8 de mayo de 2013,Operational,PDF
C00/21,12,21,21,14 de noviembre de 2013,Operational,PDF
C00/22,13,22,22,7 de mayo de 2014,Operational,PDF
C00/23,14,23,23,5 de noviembre de 2014,Operational,PDF
C00/24,15,24,24,6 de mayo de 2015,Operational,PDF
C00/25,16,25,25,11 de noviembre de 2015,Operational,PDF
C00/26,17,26,26,4 de mayo de 2016,Operational,PDF
C00/27,18,27,27,2 de noviembre de 2016,Operational,PDF
C00/28,19,28,28,3 de mayo de 2017,Operational,PDF
C00/29,20,29,29,8 de noviembre de 2017,Operational,PDF
C00/30,21,30,30,2 de mayo de 2018,Operational,PDF
C00/31,22,31,31,7 de noviembre de 2018,Operational,PDF
C00/32,23,32,32,15 de mayo de 2019,Operational,PDF
C00/33,24,33,33,6 de noviembre de 2019,Operational,PDF
C00/34,25,34,34,6 de mayo de 2020,Operational,PDF
C00/35,26,35,35,16 de noviembre de 2020,Operational,PDF
C00/36,27,36,36,15 de junio de 2021,Operational,PDF
C00/37,28,37,37,15 November 2021,Operational,NA
C00/38,29,38,38,15 May 2022,Operational,NA
C00/39,30,39,39,15 Nov 2022,Operational,NA
C00/40,31,40,40,15 June 2023,Operational,NA
C00/41,32,41,41,30 November 2023,Operational,NA
C00/42,33,42,42,28 June 2024,Operational,NA
C00/43,34,43,-,19 November 2024,Operational,NA
C00/44,35,44,-,19 May 2025,Operational,NA
C00/45,36,45,-,17 November 2025,Operational,NA
C00/46-254,37-254,46-254,-,Versiones futuras,Operational,PDF
C00/255,255,255,255,Faltante,Operational,PDF
