ID,Code,Agency_es,Type_es,InstrumentShortName_es,InstrumentLongName_es,Status,translation_source
C08/684,684,NSAU,Productor de imágenes ópticas de alta resolución,SU-VR,Radiómetro visible de alta resolución,Operational,PDF
C08/685,685,NSAU,Radiómetro,TRASSER,,Operational,PDF
C08/686,686,SOA,Dispersómetro,SCAT,Dispersómetro,Operational,PDF
C08/687,687,SOA,Altímetro de radar,ALT,Altímetro de radar,Operational,PDF
C08/688,688,SOA,Radiómetro de microondas MWI,,Radiómetro de microondas,Operational,PDF
C08/689,689,,,,,Operational,NA
C08/700,700,ROSCOSMOS Comunicaciones,,KONDOR-2,Sistema de recopilación y transmisión de datos,Operational,PDF
C08/701,701,ROSCOSMOS Comunicaciones,,BRK,,Operational,PDF
C08/710,710,ROSCOSMOS Lidar,,ALISSA,Lidar de retrodispersión,Operational,PDF
C08/712,712,ROSCOSMOS Lidar,,Balkan-2 lidar,,Operational,PDF
C08/715,715,ROSCOSMOS Lidar,,MK-4,,Operational,PDF
C08/716,716,ROSCOSMOS Lidar,,MK-4M,,Operational,PDF
C08/730,730,ROSCOSMOS Radar,,Greben,Altímetro de radar,Operational,PDF
C08/731,731,ROSCOSMOS Radar,,SAR-10,Radar de abertura sintética,Operational,PDF
C08/732,732,ROSCOSMOS Radar,,SAR-3,Radar de abertura sintética,Operational,PDF
C08/733,733,ROSCOSMOS Radar,,SAR-70,Radar de abertura sintética,Operational,PDF
C08/740,740,ROSCOSMOS Radar,,SLR-3,Radar de orientación lateral,Operational,PDF
C08/745,745,ROSCOSMOS Radar,,Travers SAR,,Operational,PDF
C08/750,750,ROSCOSMOS Radiómetro,,174-K,Perfilador de temperatura y humedad,Operational,PDF
C08/751,751,ROSCOSMOS Radiómetro,,BTVK,Radiómetro de televisión por exploración,Operational,PDF
C08/752,752,ROSCOSMOS Radiómetro,,Chaika,Radiómetro infrarrojo por exploración,Operational,PDF
C08/753,753,ROSCOSMOS Radiómetro,,DELTA-2,Explorador multiespectral en microondas,Operational,PDF
C08/755,755,ROSCOSMOS Radiómetro,,IKAR-D,Explorador multiespectral en microondas,Operational,PDF
C08/756,756,ROSCOSMOS Radiómetro,,IKAR-N,Explorador multiespectral en microondas,Operational,PDF
C08/757,757,ROSCOSMOS Radiómetro,,IKAR-P,Explorador multiespectral en microondas,Operational,PDF
C08/760,760,ROSCOSMOS Radiómetro,,ISP,,Operational,PDF
C08/761,761,ROSCOSMOS Radiómetro,,KFA-1000,Cámara fotográfica,Operational,PDF
C08/762,762,ROSCOSMOS Radiómetro,,KFA-200,Cámara fotográfica,Operational,PDF
C08/763,763,ROSCOSMOS Radiómetro,,KFA-3000,Cámara fotográfica,Operational,PDF
C08/770,770,ROSCOSMOS Radiómetro,,Klimat,Radiómetro infrarrojo por exploración,Operational,PDF
C08/771,771,ROSCOSMOS Radiómetro,,Klimat-2,Radiómetro infrarrojo por exploración,Operational,PDF
C08/775,775,ROSCOSMOS Radiómetro,,MIRAS,,Operational,PDF
C08/776,776,ROSCOSMOS Radiómetro,,MIVZA,,Operational,PDF
C08/777,777,ROSCOSMOS Radiómetro,,MIVZA-M,Radiómetro de exploración en microondas,Operational,PDF
C08/780,780,ROSCOSMOS Radiómetro,,MR-2000,,Operational,PDF
C08/781,781,ROSCOSMOS Radiómetro,,MR-2000M,,Operational,PDF
C08/785,785,ROSCOSMOS Radiómetro,,MR-900,Telefotómetro de exploración,Operational,PDF
C08/786,786,ROSCOSMOS Radiómetro,,MR-900B,Telefotómetro de exploración en banda visual,Operational,PDF
C08/790,790,ROSCOSMOS,,MSU-E,Explorador electrónico multiespectral de alta resolución,Operational,PDF
C08/791,791,ROSCOSMOS,,MSU-E1,Explorador electrónico multiespectral de alta resolución,Operational,PDF
C08/792,792,ROSCOSMOS Radiómetro,,MSU-E2,Explorador electrónico multiespectral de alta resolución,Operational,PDF
C08/793,793,ROSCOSMOS Radiómetro,,MSU-M,,Operational,PDF
C08/794,794,ROSCOSMOS Radiómetro,,MSU-S,Explorador electrónico multiespectral de resolución media,Operational,PDF
C08/795,795,ROSCOSMOS Radiómetro,,MSU-SK,Explorador cónico multiespectral de resolución media,Operational,PDF
C08/796,796,ROSCOSMOS Radiómetro,,MSU-V,Explorador cónico multiespectral de alta resolución,Operational,PDF
C08/810,810,ROSCOSMOS Radiómetro,,MTZA,Radiómetro de microondas por exploración,Operational,PDF
C08/815,815,ROSCOSMOS Radiómetro productor de,imágenes multiespectrales (microondas pasivo),MZOAS,Radiómetro de microondas por exploración,Operational,PDF
C08/820,820,ROSCOSMOS Radiómetro productor de,imágenes multiespectrales (microondas pasivo),R-225,Radiómetro de microondas de canal único,Operational,PDF
C08/821,821,ROSCOSMOS Radiómetro,,R-400,,Operational,PDF
C08/822,822,ROSCOSMOS Radiómetro,,R-600,Radiómetro de microondas de canal único,Operational,PDF
C08/830,830,,,,,Operational,NA
C08/835,835,ROSCOSMOS Radiómetro,,Cámara de TV,,Operational,PDF
C08/836,836,ROSCOSMOS Radiómetro,,SILVA,,Operational,PDF
C08/840,840,ROSCOSMOS Espectrorradiómetro,,SROSMO,Espectrorradiómetro para vigilancia del océano,Operational,PDF
C08/850,850,ROSCOSMOS Espectrómetro,,BUFS-2,Espectrómetro de retrodispersión/2,Operational,PDF
C08/851,851,ROSCOSMOS Espectrómetro,,BUFS-4,Espectrómetro de retrodispersión/4,Operational,PDF
C08/855,855,ROSCOSMOS Espectrómetro,,ISTOK-1,Espectrómetro de infrarrojo,Operational,PDF
C08/856,856,ROSCOSMOS Espectrómetro,,SFM-2,Espectrómetro para medir la radiación solar directa,Operational,PDF
C08/857,857,ROSCOSMOS Espectrómetro,,DOPI,,Operational,PDF
C08/858,858,ROSCOSMOS Espectrómetro,,KGI-4,,Operational,PDF
C08/859,859,ROSCOSMOS Espectrómetro,,Ozon-M,,Operational,PDF
C08/860,860,ROSCOSMOS Espectrómetro,,RMK-2,,Operational,PDF
C08/861,861,ROSCOSMOS Sonda de temperatura y,,MTVZA-GY,Módulo para el sondeo de la temperatura y la,Operational,PDF
C08/862,862,ROSCOSMOS Espectrómetro,,IKFS-2,Espectrómetro infrarrojo por,Operational,PDF
C08/900,900,NOAA,Radiómetro,MAXIE,Experimento de imagenización atmosférica magnetosférica en rayos X,Operational,PDF
C08/901,901,NOAA,Radiómetro,OLS,Sistema de exploración de línea operacional,Operational,PDF
C08/905,905,,,,,Operational,NA
C08/906,906,,,,,Operational,NA
C08/907,907,,,,,Operational,NA
C08/908,908,NOAA,Radiómetro,SSMIS,Sonda de imágenes por microondas con sensor especial,Operational,PDF
C08/909,909,,,,,Operational,NA
C08/910,910,NOAA,Radiómetro,SXI,Imagenizador solar de rayos X,Operational,PDF
C08/930,930,NOAA,Espectrómetro,EHIC,Experimento sobre la composición en iones pesados energéticos,Operational,PDF
C08/931,931,NOAA,Espectrómetro,Material cargado para observaciones astronómicas en rayos X,,Operational,PDF
C08/932,932,NRSCC,Radiómetro productor,IVISSR (FY-2),Radiómetro de exploración visible,Operational,PDF
C08/933,933,NRSCC,Sonda para la temperatura y humedad atmosféricas,IRAS,Sonda atmosférica infrarroja,Operational,PDF
C08/934,934,NRSCC,Sonda para la temperatura y humedad atmosféricas,MWAS,Sonda atmosférica por microondas,Operational,PDF
C08/935,935,NRSCC,Sonda para la temperatura y humedad atmosféricas,IMWAS,Sonda atmosférica por microondas mejorada,Operational,PDF
C08/936,936,NRSCC,Sonda para la temperatura y humedad atmosféricas,MWHS,Sonda de humedad por microondas,Operational,PDF
C08/937,937,NRSCC,Radiómetro productor de,MVIRS,Espectrorradiómetro de obtención de,Operational,PDF
C08/938,938,NRSCC,Radiómetro productor de imágenes multiespectrales (microondas pasivo),MWRI,Imagenizador de radiación por microondas,Operational,PDF
C08/940,940,ROSCOSMOS Sonda para la temperatura,y humedad atmosféricas,MTVZA-OK,Radiómetro de microondas por exploración,Operational,PDF
C08/941,941,CNES,Sonda para la temperatura y humedad atmosféricas,SAPHIR,,Operational,PDF
C08/942,942,CNES,Productor de imágenes,MADRAS,Análisis y detección por microondas de,Operational,PDF
C08/943,943,CNSA,Dispersómetro,SCAT (en CFOSAT),Dispersómetro,Operational,PDF
C08/944,944,NOAA,Altímetro de radar,ALT,Altímetro,Operational,PDF
C08/945,945,NOAA,Radiómetro del balance de radiación de la Tierra,TSIS,Sensor de la irradiancia solar total,Operational,PDF
C08/946,946,NOAA,Radiómetro productor,CMIS,Imagenizador/sonda de microondas por,Operational,PDF
C08/947,947,NOAA,Ozono total y perfil del ozono,OMPS,Serie cartográfica y perfiladora del ozono,Operational,PDF
C08/948,948,NOAA,Sonda para la temperatura,GPSOS,Sensor de ocultación del sistema de,Operational,PDF
C08/949,949,NOAA,"Campo magnético, límite de centelleo de imágenes aurorales",SESS,Serie de sensores del medio espacial,Operational,PDF
C08/950,950,NRSCC,Radiómetro productor,VIRR,Radiómetro de exploración visible e infrarrojo,Operational,PDF
C08/951,951,NRSCC,Ozono total y perfil del ozono,TOM,Cartografía del ozono total,Operational,PDF
C08/952,952,NRSCC,Ozono total y perfil del ozono,OP,Perfilador del ozono,Operational,PDF
C08/953,953,CMA,"Radiómetro de sondeo por microondas, exploración transversal",MWHS-2,Sonda de humedad por microondas-2,Operational,PDF
C08/954,954,CMA,"Radiómetro de sondeo por microondas, exploración transversal",MWTS-2,Sonda de temperatura por microondas 2,Operational,PDF
C08/955,955,CMA,Sonda infrarroja de exploración a través del nadir,HIRAS,Sonda atmosférica infrarroja hiperespectral,Operational,PDF
C08/956,956,CMA,Espectrómetro,SBUS,Sonda ultravioleta de retrodispersión solar,Operational,PDF
C08/957,957,CMA,Espectrómetro,TOU,Unidad de ozono total,Operational,PDF
C08/958,958,CMA,Sonda de ocultación,GNOS,Sistema mundial de navegación por satélite,Operational,PDF
C08/959,959,SNSB,Sonda para la exploración del limbo,SMR,Radiómetro submilimétrico,Operational,PDF
C08/960,960,,Reservada,,,Operational,PDF
C08/961,961,CMA,Radiómetro multiespectral,AGRI,Imagenizador de radiación geoestacionario,Operational,PDF
C08/962,962,CMA,Sonda para la temperatura,GIIRS,Interferómetro geoestacionario de sondeo en,Operational,PDF
C08/963,963,CMA,Generador óptico de imágenes de alta resolución,LMI,Generador de mapas de rayos,Operational,PDF
C08/964,964,CMA,Medio espacial,SEP,Equipo de entorno espacial,Operational,PDF
C08/965,965,,,,,Operational,NA
C08/966,966,,,,,Operational,NA
C08/967,967,,,,,Operational,NA
C08/968,968,,,,,Operational,NA
C08/969,969,,,,,Operational,NA
C08/970,970,,,,,Operational,NA
C08/971,971,,,,,Operational,NA
C08/972,972,,,,,Operational,NA
C08/973,973,,,,,Operational,NA
C08/974,974,,,,,Operational,NA
C08/975,975,,,,,Operational,NA
C08/976,976,,,,,Operational,NA
C08/977,977,,,,,Operational,NA
C08/978-979,978-979,,,,,Operational,NA
C08/980,980,KMA,Reproductor de imágenes AMI,,Reproductor avanzado de imágenes meteorológicas,Operational,PDF
C08/981,981,KMA,Reproductor de imágenes MI,,Reproductor de imágenes meteorológicas espacial,Operational,PDF
C08/982,982,,,,,Operational,NA
C08/983,983,,,,,Operational,NA
C08/984,984,,,,,Operational,NA
C08/985,985,,,,,Operational,NA
C08/986,986,,,,,Operational,NA
C08/987,987,,,,,Operational,NA
C08/988,988,,,,,Operational,NA
C08/989,989,,,,,Operational,NA
C08/990,990,,,,,Operational,NA
C08/991,991,,,,,Operational,NA
C08/992,992,,,,,Operational,NA
C08/993,993,,,,,Operational,NA
C08/994,994,,,,,Operational,NA
C08/995-999,995-999,,,,,Operational,NA
C08/1000-2046,1000-2046,,,,,Operational,NA
C08/2047,2047,,Valor faltante,,,Operational,PDF
