ID,Code,Agency_es,Type_es,InstrumentShortName_es,InstrumentLongName_es,Status,translation_source
C08/178,178,ESA,Altímetro de radar,SRAL,Altímetro de radar de apertura sintética,Operational,PDF
C08/179,179,ESA,Productor de imágenes,OLCI,Productor de imágenes en color oceánicas y,Operational,PDF
C08/180,180,ESA,Productor de imágenes,SLSTR,Radiómetro de temperaturas en los océanos,Operational,PDF
C08/181,181,EUMETSAT,Comunicaciones,Coms. METEOSAT,Paquete de comunicaciones para METEOSAT,Operational,PDF
C08/182,182,EUMETSAT,Comunicaciones,Coms. MSG,Paquete de comunicaciones para MSG,Operational,PDF
C08/190,190,AEE/ EUMETSAT,Dispersómetro,ASCAT,Dispersómetro avanzado,Operational,PDF
C08/200,200,EUMETSAT,Radiómetro,GERB,Balance geoestacionario de radiación terrena,Operational,PDF
C08/202,202,,,,,Operational,NA
C08/203,203,EUMETSAT,Radiómetro,MHS,Sonda de humedad por microondas,Operational,PDF
C08/205,205,EUMETSAT,Radiómetro,MVIRI,Reproductor de imágenes visible e infrarrojo METEOSAT,Operational,PDF
C08/207,207,EUMETSAT,Radiómetro,SEVIRI,Reproductor de imágenes visible e infrarrojo mejorado rotatorio,Operational,PDF
C08/208,208,EUMETSAT,Radiómetro productor de imágenes multiespectrales (vis/IR),VIRI,VIRI,Operational,PDF
C08/209,209,,,,,Operational,NA
C08/210,210,,,,,Operational,NA
C08/211,211,,,,,Operational,NA
C08/212,212,,,,,Operational,NA
C08/213,213,,,,,Operational,NA
C08/214,214,,,,,Operational,NA
C08/215,215,,,,,Operational,NA
C08/216,216,,,,,Operational,NA
C08/220,220,AEE/,Espectrómetro,GOME-2,Experimento de vigilancia del ozono mundial,Operational,PDF
C08/221,221,CNES/,Sonda para la temperatura,IASI,Interferómetro de sondeo atmosférico,Operational,PDF
C08/230,230,,,,,Operational,NA
C08/231,231,,,,,Operational,NA
C08/232,232,,,,,Operational,NA
C08/233,233,,,,,Operational,NA
C08/234,234,,,,,Operational,NA
C08/235,235,,,,,Operational,NA
C08/236,236,,,,,Operational,NA
C08/237,237,,,,,Operational,NA
C08/238,238,,,,,Operational,NA
C08/240,240,,,,,Operational,NA
C08/245,245,CAST,Radiómetro,CCD,Cámara CCD de alta resolución,Operational,PDF
C08/246,246,INPE,Sonda para la temperatura y humedad atmosféricas,HSB,Sonda de humedad/Brasil,Operational,PDF
C08/248,248,INPE,Radiómetro productor de imágenes multiespectrales (vis/IR),OBA,Observador Brasileiro da Amazonia,Operational,PDF
C08/250,250,CAST,Radiómetro,WFI,Reproductor de imágenes de campo extenso,Operational,PDF
C08/255,255,CAST,Espectrómetro,IRMSS,Explorador multiespectral infrarrojo,Operational,PDF
C08/260,260,ISRO,Órbita de precisión,Transpondedores BSS y FSS,,Operational,PDF
C08/261,261,ISRO,Órbita de precisión,DRT-S&R,,Operational,PDF
C08/262,262,,,,,Operational,NA
C08/268,268,ISRO,Productor de imágenes ópticas de alta resolución,HR-PAN,Cámara pancromática de alta resolución,Operational,PDF
C08/269,269,ISRO,Radiómetro productor,MSMR,Radiómetro de microondas por exploración,Operational,PDF
C08/270,270,ISRO,Radiómetro productor de imágenes multiespectrales (vis/IR),VHRR,Radiómetro de muy alta resolución,Operational,PDF
C08/271,271,ISRO,Radiómetro productor de imágenes multiespectrales (vis/IR),WiFS tor,Sensor de campo extenso,Operational,PDF
C08/275,275,ISRO,Productor de imágenes ópticas de alta resolución,AWiFS,Sensor de campo extenso avanzado,Operational,PDF
C08/276,276,ISRO,Productor de imágenes ópticas de alta resolución,LISS-I,Autoexplorador de imagenización lineal - I,Operational,PDF
