ID,CodeFigureForF1F2,CodeFigureForF3F3F3,Octet5GRIB1_Octet6BUFR3,OriginatingGeneratingCentres_es,Status,translation_source
C01/000,00,000,0,Secretaría de la OMM,Operational,PDF
C01//1,,,,,Operational,NA
C01/001,01,001,1,Melbourne,Operational,PDF
C01/002,02,002,2,Melbourne,Operational,PDF
C01/003,03,003,3,),Operational,PDF
C01/004,04,004,4,Moscú,Operational,PDF
C01/005,05,005,5,Moscú,Operational,PDF
C01/006,06,006,6,),Operational,PDF
C01/007,07,007,7,"Servicio Meteorológico Nacional de Estados Unidos, Centros Nacionales de Predicción del Medio Ambiente (CNPMA)",Operational,PDF
C01/008,08,008,8,Centro de Telecomunicaciones del Servicio Meteorológico Nacional de Estados Unidos (NWSTG),Operational,PDF
C01/009,09,009,9,Servicio Meteorológico Nacional de Estados Unidos - Otros,Operational,PDF
C01//2,,,,10-25: Centros de la Región I,Operational,PDF
C01/010,10,010,10,El Cairo (CMRE),Operational,PDF
C01/011,11,011,11,),Operational,PDF
C01/012,12,012,12,Dakar (CMRE),Operational,PDF
C01/013,13,013,13,),Operational,PDF
C01/014,14,014,14,Nairobi (CMRE),Operational,PDF
C01/015,15,015,15,),Operational,PDF
C01/016,16,016,16,Casablanca (CMRE),Operational,PDF
C01/017,17,017,17,Túnez (CMRE),Operational,PDF
C01/018,18,018,18,Túnez-Casablanca (CMRE),Operational,PDF
C01/019,19,019,19,),Operational,PDF
C01/020,20,020,20,Las Palmas,Operational,PDF
C01/021,21,021,21,Argel (CMRE),Operational,PDF
C01/022,22,022,22,ACMAD,Operational,PDF
C01/023,23,023,23,Mozambique (CMN),Operational,PDF
C01/024,24,024,24,Pretoria (CMRE),Operational,PDF
C01/025,25,025,25,La Reunión (CMRE),Operational,PDF
C01//3,,,,,Operational,NA
C01/026,26,026,26,Jabarovsk (CMRE),Operational,PDF
C01/027,27,027,27,),Operational,PDF
C01/028,28,028,28,Nueva Delhi (CMRE),Operational,PDF
C01/029,29,029,29,),Operational,PDF
C01/030,30,030,30,Novosibirsk (CMRE),Operational,PDF
C01/031,31,031,31,),Operational,PDF
C01/032,32,032,32,Tashkent (CMRE),Operational,PDF
C01/033,33,033,33,Yeddah (CMRE),Operational,PDF
C01/034,34,034,34,,Operational,NA
C01/035,35,035,35,),Operational,PDF
C01/036,36,036,36,Bangkok,Operational,PDF
C01/037,37,037,37,Ulaanbaatar,Operational,PDF
C01/038,38,038,38,Beijing (CMRE),Operational,PDF
C01/039,39,039,39,),Operational,PDF
C01/040,40,040,40,Seúl,Operational,PDF
C01//4,,,,41-50: Centros de la Región III,Operational,PDF
C01/041,41,041,41,Buenos Aires (CMRE),Operational,PDF
C01/042,42,042,42,),Operational,PDF
C01/043,43,043,43,Brasilia (CMRE),Operational,PDF
C01/044,44,044,44,),Operational,PDF
C01/045,45,045,45,Santiago,Operational,PDF
C01/046,46,046,46,Agencia Espacial Brasileña - INPE,Operational,PDF
C01/047,47,047,47,Colombia (CMN),Operational,PDF
C01/048,48,048,48,Ecuador (CMN),Operational,PDF
