ID,DateOfAssignment_es,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_es,Status,translation_source
,02/05/2018,36,136,"Radiosonda GPS Meisei iMDS-17 con paracaídas y con sensor de termistor, sensor capacitivo de humedad relativa y sensor de presión capacitivo (Japón)",Operational,PDF
,,37,137,No vacante,Operational,PDF
,,38,138,,Operational,NA
,,39-40,139-140,,Operational,NA
,03/11/2011,41,141,Vaisala RS41 con presión obtenida de la altura mediante GPS/DigiCORA MW41 (Finlandia),Operational,PDF
,03/11/2011,42,142,Vaisala RS41 con presión obtenida de la altura mediante GPS/AUTOSONDE (Finlandia),Operational,PDF
,07/05/2014,43,143,NanJing Daqiao XGP-3G (China),Operational,PDF
,07/05/2014,44,144,TianJin HuaYunTianYi GTS(U)1 (China),Operational,PDF
,07/05/2014,45,145,Beijing Changfeng CF-06 (China),Operational,PDF
,07/05/2014,46,146,Shanghai Changwang GTS3 (China),Operational,PDF
,,47,147,No vacante,Operational,PDF
,02/05/2012,48,148,PAZA-22M/MARL-A,Operational,PDF
,,49,149,No vacante,Operational,PDF
,02/11/2016,50,150,Meteolabor SRS-C50/Argus (Suiza),Operational,PDF
,,51,151,No vacante,Operational,PDF
,03/11/2011,52,152,Vaisala RS92-NGP/Intermet IMS-2000 (Estados Unidos),Operational,PDF
,06/05/2015,53,153,AVK - I-2012 (Federación de Rusia),Operational,PDF
,08/05/2019,54,154,Graw DFM-17 (Alemania),Operational,PDF
,,55-59,155-159,,Operational,NA
,06/05/2015,60,160,MARL-A o Vektor-M - I-2012 (Federación de Rusia),Operational,PDF
,,61,161,No vacante,Operational,PDF
,06/05/2015,62,162,MARL-A o Vektor-M - MRZ-3MK (Federación de Rusia),Operational,PDF
,07/11/2018,63,163,"Radiosonda Modem M20 con sensor de termistor, sensor de humedad relativa por capacitancia y presión obtenida a partir de la altura mediante GPS (Francia)",Operational,PDF
,07/11/2018,64,164,Radiosonda por GPS Modem PilotSonde (Francia),Operational,PDF
,,65,165,,Operational,NA
,Antes,66,166,Vaisala RS80/Autosonde (Finlandia),Operational,PDF
,,67-72,167-172,,Operational,NA
,02/11/2016,73,173,MARL-A (Federación de Rusia) - ASPAN-15 (Kazajstán),Operational,PDF
,,74-76,174-176,,Operational,NA
,15/03/2010,77,177,Módem GPSonde M10 (Francia),Operational,PDF
,,78-81,178-181,,Operational,NA
,07/11/2012,82,182,"Lockheed Martin LMS-6 con termistor de chip; sensor capacitivo de HR, de polímero, sobre soporte móvil externo; sensor capacitivo de presión y sensor de viento mediante GPS",Operational,PDF
,07/11/2012,83,183,"Sensor de presión capacitivo con silicio Vaisala RS92-D/Intermet IMS 1500, sensor de temperatura capacitivo de hilo conductor, sensor de HR capacitivo de polímero calentado y película fina doble y sensor de viento mediante RDF",Operational,PDF
,06/11/2019,84,184,Radiosonda GPS iMet-54/iMet-3200/3400 con presión derivada de la altura del GPS (Sudáfrica),Operational,PDF
,,85-89,185-189,,Operational,NA
,,Not available,190,,Operational,NA
,,Not available,191,,Operational,NA
,,Not available,192,,Operational,NA
,,Not available,193,,Operational,NA
,,Not available,194-196,,Operational,NA
,,97-99,197-199,,Operational,NA
,,Not available,200,,Operational,NA
,,Not available,201,,Operational,NA
,,Not available,202,,Operational,NA
,,Not available,203,,Operational,NA
,,Not available,204,,Operational,NA
,,Not available,205,,Operational,NA
,,Not available,206,,Operational,NA
,,Not available,207,,Operational,NA
,,Not available,208,,Operational,NA
,,Not available,209,,Operational,NA
,,Not available,210-254,,Operational,NA
,,,255,,Operational,NA
