ID,DateOfAssignment_es,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_es,Status,translation_source
,Sin aplicación,00,0,Reservada,Operational,PDF
,,01,1,No vacante,Operational,PDF
,Sin aplicación,02,2,Ausencia de radiosonda - objetivo pasivo (p. ej. reflector),Operational,PDF
,Sin aplicación,03,3,Ausencia de radiosonda - objetivo activo (p. ej. transpondedor),Operational,PDF
,Sin aplicación,04,4,Ausencia de radiosonda - perfilador pasivo de temperaturahumedad,Operational,PDF
,Sin aplicación,05,5,Ausencia de radiosonda - perfilador activo de temperaturahumedad,Operational,PDF
,Sin aplicación,06,6,Ausencia de radiosonda - sonda radioacústica,Operational,PDF
,,07,7,No vacante,Operational,PDF
,Sin aplicación,08,8,Ausencia de radiosonda - . . . (reservada),Operational,PDF
,Sin aplicación,09,9,Ausencia de radiosonda - sistema desconocido o no especificado,Operational,PDF
,01/01/2008,10,10,"Sippican LMS5 con termistor de chip, sensor de humedad relativa instalado en un conducto y presión derivada de la altura del GPS",Operational,PDF
,01/01/2008,11,11,"Sippican LMS6 con termistor de chip, sensor de humedad relativa fijado a un brazo externo y presión derivada de la altura del GPS",Operational,PDF
,06/05/2015,12,12,RSG-20A Jin Yang con presión derivada de la altura del GPS/GL- 5000P (República de Corea),Operational,PDF
,15/09/2010,13,13,Vaisala RS92/MARWIN MW32 (Finlandia),Operational,PDF
,03/11/2011,14,14,Vaisala RS92 / DigiCORA MW41 (Finlandia),Operational,PDF
,01/12/2011,15,15,PAZA-12M/Radioteodolito-UL (Ucrania),Operational,PDF
,01/12/2011,16,16,PAZA-22/AVK-1 (Ucrania),Operational,PDF
,02/05/2012,17,17,Graw DFM-09 (Alemania),Operational,PDF
,,18,18,No vacante,Operational,PDF
,08/05/2019,19,19,Polus-MRZ-N1 (Federación de Rusia),Operational,PDF
,,20,20,No vacante,Operational,PDF
,06/05/2015,21,21,1524LA LORAN-C/GL5000 Jin Yang (República de Corea),Operational,PDF
,Antes,22,22,Meisei RS2-80 (Japón),Operational,PDF
,03/11/2011,23,23,Vaisala RS41/DigiCORA MW41 (Finlandia),Operational,PDF
,03/11/2011,24,24,Vaisala RS41/AUTOSONDE (Finlandia),Operational,PDF
,03/11/2011,25,25,Vaisala RS41/MARWIN MW32 (Finlandia),Operational,PDF
,07/05/2014,26,26,Meteolabor SRS-C34/Argus 37 (Suiza),Operational,PDF
,,27,27,No vacante,Operational,PDF
,15/09/2011,28,28,AVK-AK2-02 (Federación de Rusia),Operational,PDF
,15/09/2011,29,29,MARL-A o Vektor-M-AK2-02 (Federación de Rusia),Operational,PDF
,01/01/2010,30,30,Meisei RS-06G (Japón),Operational,PDF
,03/11/2011,31,31,Taiyuan GTS1-1/GFE(L) (China),Operational,PDF
,03/11/2011,32,32,Shanghai GTS1/GFE(L) (China),Operational,PDF
,03/11/2011,33,33,Nanjing GTS1-2/GFE(L) (China),Operational,PDF
,Necesaria,34,34,Vacante,Operational,PDF
,07/05/2014,35,35,"Radiosonda Meisei iMS-100 GPS con sensor de termistor, sensor de humedad relativa por capacitancia, y presión obtenida a partir de la altura mediante GPS (Japón)",Operational,PDF
,02/05/2018,36,36,"Radiosonda GPS Meisei iMDS-17 con paracaídas y con sensor de termistor, sensor capacitivo de humedad relativa y sensor de presión capacitivo (Japón)",Operational,PDF
,,37,37,No vacante,Operational,PDF
,,38,38,,Operational,NA
,Antes,39,39,Sprenger E076 (Alemania),Operational,PDF
,Antes,40,40,Sprenger E084 (Alemania),Operational,PDF
,03/11/2011,41,41,Vaisala RS41 con presión obtenida de la altura mediante GPS/DigiCORA MW41 (Finlandia),Operational,PDF
,03/11/2011,42,42,Vaisala RS41 con presión obtenida de la altura mediante GPS/AUTOSONDE (Finlandia),Operational,PDF
,07/05/2014,43,43,NanJing Daqiao XGP-3G (China),Operational,PDF
,07/05/2014,44,44,TianJin HuaYunTianYi GTS(U)1 (China),Operational,PDF
,07/05/2014,45,45,Beijing Changfeng CF-06 (China),Operational,PDF
,07/05/2014,46,46,Shanghai Changwang GTS3 (China),Operational,PDF
,,47,47,No vacante,Operational,PDF
,02/05/2012,48,48,PAZA-22M/MARL-A,Operational,PDF
,,49,49,No vacante,Operational,PDF
,02/11/2016,50,50,Meteolabor SRS-C50/Argus (Suiza),Operational,PDF
,,51,51,No vacante,Operational,PDF
,03/11/2011,52,52,Vaisala RS92-NGP/Intermet IMS-2000 (Estados Unidos),Operational,PDF
,06/05/2015,53,53,AVK - I-2012 (Federación de Rusia),Operational,PDF
,08/05/2019,54,54,Graw DFM-17 (Alemania),Operational,PDF
,Antes,55,55,Meisei RS-01G (Japón),Operational,PDF
,Antes,56,56,M2K2 (Francia),Operational,PDF
,Antes,57,57,M2K2 (Francia),Operational,PDF
,Antes,58,58,AVK-BAR (Federación de Rusia),Operational,PDF
,Antes,59,59,Radiosonda módem M2K2-R 1680 MHz RDF con chip sensor de presión (Francia),Operational,PDF
,06/05/2015,60,60,MARL-A o Vektor-M - I-2012 (Federación de Rusia),Operational,PDF
,,61,61,No vacante,Operational,PDF
,06/05/2015,62,62,MARL-A o Vektor-M - MRZ-3MK (Federación de Rusia),Operational,PDF
,07/11/2018,63,63,"Radiosonda Modem M20 con sensor de termistor, sensor de humedad relativa por capacitancia y presión obtenida a partir de la altura mediante GPS (Francia)",Operational,PDF
,07/11/2018,64,64,Radiosonda por GPS Modem PilotSonde (Francia),Operational,PDF
,,65,65,,Operational,NA
,Antes,66,66,Vaisala RS80/Autosonde (Finlandia),Operational,PDF
,Antes,67,67,Vaisala RS80/DigiCora III (Finlandia),Operational,PDF
,Antes,68,68,AVK-RZM-2 (Federación de Rusia),Operational,PDF
,Antes,69,69,MARL-A o Vektor M-RZM-2 (Federación de Rusia),Operational,PDF
,Antes,70,70,Vaisala RS92/Star (Finlandia),Operational,PDF
,Antes,71,71,"Vaisala RS90/Loran/DigiCora I, II o Marwin (Finlandia)",Operational,PDF
,Antes,72,72,Vaisala RS90/PC-Cora (Finlandia),Operational,PDF
,02/11/2016,73,73,MARL-A (Federación de Rusia) - ASPAN-15 (Kazajstán),Operational,PDF
,Antes,74,74,Vaisala RS90/Star (Finlandia),Operational,PDF
,Antes,75,75,AVK-MRZ-ARMA (Federación de Rusia),Operational,PDF
,Antes,76,76,AVK-RF95-ARMA (Federación de Rusia),Operational,PDF
,15/03/2010,77,77,Módem GPSonde M10 (Francia),Operational,PDF
,Antes,78,78,Vaisala RS90/DigiCora III (Finlandia),Operational,PDF
,Antes,79,79,"Vaisala RS92/Digicora I, II o Marwin (Finlandia)",Operational,PDF
,Antes,80,80,Vaisala RS92/Digicora III (Finlandia),Operational,PDF
,Antes,81,81,Vaisala RS92/Autosonda (Finlandia),Operational,PDF
,07/11/2012,82,82,"Lockheed Martin LMS-6 con termistor de chip; sensor capacitivo de HR, de polímero, sobre soporte móvil externo; sensor capacitivo de presión y sensor de viento mediante GPS",Operational,PDF
,07/11/2012,83,83,"Sensor de presión capacitivo con silicio Vaisala RS92-D/Intermet IMS 1500, sensor de temperatura capacitivo de hilo conductor, sensor de HR capacitivo de polímero calentado y película fina doble y sensor de viento mediante RDF",Operational,PDF
,06/11/2019,84,84,Radiosonda GPS iMet-54/iMet-3200/3400 con presión derivada de la altura del GPS (Sudáfrica),Operational,PDF
,Antes,85,85,"Sippican MARK IIA con termistor de chip, elemento de carbón y presión derivada de la altura del GPS",Operational,PDF
,Antes,86,86,"Sippican MARK II con termistor de chip, presión y elemento de carbón",Operational,PDF
,Antes,87,87,"Sippican MARK IIA con termistor de chip, presión y elemento de carbón",Operational,PDF
,Antes,88,88,MARL-A o Vektor-M-MRZ (Federación de Rusia),Operational,PDF
,Antes,89,89,MARL-A o Vektor-M-BAR (Federación de Rusia),Operational,PDF
,Sin aplicación,90,90,Radiosonda no especificada o desconocida,Operational,PDF
,,91,91,,Operational,NA
,,92,92,,Operational,NA
,,93,93,,Operational,NA
,Sin aplicación,94,94,Radiosonda que no mide la presión equipada con un transpondedor,Operational,PDF
,Sin aplicación,95,95,Radiosonda que no mide la presión equipada con un radar reflector,Operational,PDF
,Sin aplicación,96,96,Radiosonda descendente,Operational,PDF
,Antes,97,97,Sistema de radiogoniometría (RDF) por radiosonda iMet-2/ iMet-1500 con chip sensor de presión (Sudáfrica),Operational,PDF
,Antes,98,98,Radiosonda GPS iMet-2/iMet-1500 con presión derivada de la altura del GPS (Sudáfrica),Operational,PDF
,Antes,99,99,Radiosonda GPS iMet-2/iMet-3200 con presión derivada de la altura del GPS (Sudáfrica),Operational,PDF
,,Not available,100,,Operational,NA
,,01,101,No vacante,Operational,PDF
,,Not available,102-106,,Operational,NA
,,07,107,No vacante,Operational,PDF
,,Not available,108-109,,Operational,NA
,01/01/2008,10,110,"Sippican LMS5 con termistor de chip, sensor de humedad relativa instalado en un conducto y presión derivada de la altura del GPS",Operational,PDF
,01/01/2008,11,111,"Sippican LMS6 con termistor de chip, sensor de humedad relativa fijado a un brazo externo y presión derivada de la altura del GPS",Operational,PDF
,06/05/2015,12,112,RSG-20A Jin Yang con presión derivada de la altura del GPS/GL- 5000P (República de Corea),Operational,PDF
,15/09/2010,13,113,Vaisala RS92/MARWIN MW32 (Finlandia),Operational,PDF
,03/11/2011,14,114,Vaisala RS92 / DigiCORA MW41 (Finlandia),Operational,PDF
,01/12/2011,15,115,PAZA-12M/Radioteodolito-UL (Ucrania),Operational,PDF
,01/12/2011,16,116,PAZA-22/AVK-1 (Ucrania),Operational,PDF
,02/05/2012,17,117,Graw DFM-09 (Alemania),Operational,PDF
,,18,118,No vacante,Operational,PDF
,08/05/2019,19,119,Polus-MRZ-N1 (Federación de Rusia),Operational,PDF
,,20,120,No vacante,Operational,PDF
,06/05/2015,21,121,1524LA LORAN-C/GL5000 Jin Yang (República de Corea),Operational,PDF
,Antes,22,122,Meisei RS2-80 (Japón),Operational,PDF
,03/11/2011,23,123,Vaisala RS41/DigiCORA MW41 (Finlandia),Operational,PDF
,03/11/2011,24,124,Vaisala RS41/AUTOSONDE (Finlandia),Operational,PDF
,03/11/2011,25,125,Vaisala RS41/MARWIN MW32 (Finlandia),Operational,PDF
,07/05/2014,26,126,Meteolabor SRS-C34/Argus 37 (Suiza),Operational,PDF
,,27,127,No vacante,Operational,PDF
,15/09/2011,28,128,AVK-AK2-02 (Federación de Rusia),Operational,PDF
,15/09/2011,29,129,MARL-A o Vektor-M-AK2-02 (Federación de Rusia),Operational,PDF
,01/01/2010,30,130,Meisei RS-06G (Japón),Operational,PDF
,03/11/2011,31,131,Taiyuan GTS1-1/GFE(L) (China),Operational,PDF
,03/11/2011,32,132,Shanghai GTS1/GFE(L) (China),Operational,PDF
,03/11/2011,33,133,Nanjing GTS1-2/GFE(L) (China),Operational,PDF
,Necesaria,34,134,Vacante,Operational,PDF
,07/05/2014,35,135,"Radiosonda Meisei iMS-100 GPS con sensor de termistor, sensor de humedad relativa por capacitancia, y presión obtenida a partir de la altura mediante GPS (Japón)",Operational,PDF
