ID,CodeFigureForI6I6I6,CodeFigureForBUFR,CodeFigureForGRIB2,SatelliteName_es,Status,translation_source
C05/223,223,223,223,NOAA 19,Operational,PDF
C05/224,224,224,224,NPP,Operational,PDF
C05/225,225,225,225,NOAA 20,Operational,PDF
C05/226,226,226,226,NOAA 21,Operational,PDF
C05/227,227,227,227,,Operational,NA
C05/228,228,228,228,,Operational,NA
C05/229,229,229,229,,Operational,NA
C05/240,240,240,240,DMSP 7,Operational,PDF
C05/241,241,241,241,DMSP 8,Operational,PDF
C05/242,242,242,242,DMSP 9,Operational,PDF
C05/243,243,243,243,DMSP 10,Operational,PDF
C05/244,244,244,244,DMSP 11,Operational,PDF
C05/245,245,245,245,DMSP 12,Operational,PDF
C05/246,246,246,246,DMSP 13,Operational,PDF
C05/247,247,247,247,DMSP 14,Operational,PDF
C05/248,248,248,248,DMSP 15,Operational,PDF
C05/249,249,249,249,DMSP 16,Operational,PDF
C05/250,250,250,250,GOES 6,Operational,PDF
C05/251,251,251,251,GOES 7,Operational,PDF
C05/252,252,252,252,GOES 8,Operational,PDF
C05/253,253,253,253,GOES 9,Operational,PDF
C05/254,254,254,254,GOES 10,Operational,PDF
C05/255,255,255,255,GOES 11,Operational,PDF
C05/256,256,256,256,GOES 12,Operational,PDF
C05/257,257,257,257,GOES 13,Operational,PDF
C05/258,258,258,258,GOES 14,Operational,PDF
C05/259,259,259,259,GOES 15,Operational,PDF
C05/260,260,260,260,JASON-1,Operational,PDF
C05/261,261,261,261,JASON-2,Operational,PDF
C05/262,262,262,262,JASON-3,Operational,PDF
C05/263,263,263,263,,Operational,NA
C05/264,264,264,264,,Operational,NA
C05/265,265,265,265,GeoOptics CICERO OP1,Operational,PDF
C05/266,266,266,266,GeoOptics CICERO OP2,Operational,PDF
C05/267,267,267,267,PlanetiQ GNOMES-A,Operational,PDF
C05/268,268,268,268,PlanetiQ GNOMES-B,Operational,PDF
C05/269,269,269,269,Spire Lemur 3U CubeSat,Operational,PDF
C05/270,270,270,270,GOES 16,Operational,PDF
C05/271,271,271,271,GOES 17,Operational,PDF
C05/272,272,272,272,GOES 18,Operational,PDF
C05/273,273,273,273,GOES 19,Operational,PDF
C05/280,280,280,280,,Operational,NA
C05/281,281,281,281,QUIKSCAT,Operational,PDF
C05/282,282,282,282,TRMM,Operational,PDF
C05/283,283,283,283,CORIOLIS,Operational,PDF
C05/284,284,284,284,,Operational,NA
C05/285,285,285,285,DMSP 17,Operational,PDF
C05/286,286,286,286,DMSP 18,Operational,PDF
C05/287,287,287,287,DMSP 19,Operational,PDF
C05/288,288,288,288,GPM-core,Operational,PDF
C05/289,289,289,289,"Observatorio en órbita de carbono − 2 (OCO-2, NASA)",Operational,PDF
C05//3,,,,,Operational,NA
C05/310,310,310,310,GOMS 1,Operational,PDF
C05/311,311,311,311,GOMS 2,Operational,PDF
C05/320,320,320,320,METEOR 2-21,Operational,PDF
C05/321,321,321,321,METEOR 3-5,Operational,PDF
C05/322,322,322,322,METEOR 3M-1,Operational,PDF
C05/323,323,323,323,METEOR 3M-2,Operational,PDF
C05/324,324,324,324,METEOR-M N2,Operational,PDF
C05/325,325,325,325,METEOR-M N2 2,Operational,PDF
C05/341,341,341,341,RESURS 01-4,Operational,PDF
C05//4,,,,,Operational,NA
C05/410,410,410,410,KALPANA-1,Operational,PDF
C05/421,421,421,421,Oceansat-2,Operational,PDF
C05/422,422,422,422,ScatSat-1,Operational,PDF
C05/423,423,423,423,Oceansat-3,Operational,PDF
C05/430,430,430,430,INSAT 1B,Operational,PDF
C05/431,431,431,431,INSAT 1C,Operational,PDF
C05/432,432,432,432,INSAT 1D,Operational,PDF
C05/440,440,440,440,Megha-Tropiques,Operational,PDF
C05/441,441,441,441,SARAL,Operational,PDF
C05/450,450,450,450,INSAT 2A,Operational,PDF
C05/451,451,451,451,INSAT 2B,Operational,PDF
C05/452,452,452,452,INSAT 2E,Operational,PDF
C05/470,470,470,470,INSAT 3A,Operational,PDF
C05/471,471,471,471,INSAT 3D,Operational,PDF
C05/472,472,472,472,INSAT 3E,Operational,PDF
C05/473,473,473,473,INSAT 3DR,Operational,PDF
C05/474,474,474,474,INSAT 3DS,Operational,PDF
C05//5,,,,,Operational,NA
C05/500,500,500,500,FY-1C,Operational,PDF
C05/501,501,501,501,FY-1D,Operational,PDF
C05/502,502,502,502,"Hai Yang 2A (HY-2A, SOA/NSOAS China)",Operational,PDF
C05/503,503,503,503,"Hai Yang 2B (HY-2B, SOA/NSOAS China)",Operational,PDF
C05/504,504,504,504,"Hai Yang 2C (HY-2C, SOA/NSOAS China)",Operational,PDF
C05/505,505,505,505,,Operational,NA
C05/506,506,506,506,,Operational,NA
C05/510,510,510,510,FY-2,Operational,PDF
C05/512,512,512,512,FY-2B,Operational,PDF
C05/513,513,513,513,FY-2C,Operational,PDF
C05/514,514,514,514,FY-2D,Operational,PDF
C05/515,515,515,515,FY-2E,Operational,PDF
C05/516,516,516,516,FY-2F,Operational,PDF
C05/517,517,517,517,FY-2G,Operational,PDF
C05/518,518,518,518,FY-2H,Operational,PDF
C05/520,520,520,520,FY-3A,Operational,PDF
C05/521,521,521,521,FY-3B,Operational,PDF
C05/522,522,522,522,FY-3C,Operational,PDF
C05/523,523,523,523,FY-3D,Operational,PDF
C05/524,524,524,524,,Operational,NA
C05/525,525,525,525,,Operational,NA
C05/526,526,526,526,,Operational,NA
C05/530,530,530,530,FY-4A,Operational,PDF
C05/531,531,531,531,,Operational,NA
C05/540,540,540,540,,Operational,NA
C05//6,,,,,Operational,NA
C05//7,,,,,Operational,NA
C05/700,700,700,700,TIROS M (ITOS 1),Operational,PDF
C05/701,701,701,701,NOAA 1,Operational,PDF
C05/702,702,702,702,NOAA 2,Operational,PDF
C05/703,703,703,703,NOAA 3,Operational,PDF
C05/704,704,704,704,NOAA 4,Operational,PDF
C05/705,705,705,705,NOAA 5,Operational,PDF
C05/706,706,706,706,NOAA 6,Operational,PDF
C05/707,707,707,707,NOAA 7,Operational,PDF
C05/708,708,708,708,TIROS-N,Operational,PDF
C05/709,709,709,709,,Operational,NA
C05/710,710,710,710,GOES (SMS 1),Operational,PDF
C05/711,711,711,711,GOES (SMS 2),Operational,PDF
C05/720,720,720,720,TOPEX,Operational,PDF
C05/721,721,721,721,GFO (GEOSAT Follow-On),Operational,PDF
C05/722,722,722,722,GRACE A,Operational,PDF
C05/723,723,723,723,GRACE B,Operational,PDF
C05/724,724,724,724,,Operational,NA
C05/725,725,725,725,,Operational,NA
C05/726,726,726,726,,Operational,NA
C05/727,727,727,727,,Operational,NA
C05/728,728,728,728,,Operational,NA
C05/729,729,729,729,,Operational,NA
C05/731,731,731,731,GOES 1,Operational,PDF
C05/732,732,732,732,GOES 2,Operational,PDF
C05/733,733,733,733,GOES 3,Operational,PDF
C05/734,734,734,734,GOES 4,Operational,PDF
C05/735,735,735,735,GOES 5,Operational,PDF
C05/740,740,740,740,,Operational,NA
C05/741,741,741,741,,Operational,NA
C05/742,742,742,742,,Operational,NA
C05/743,743,743,743,,Operational,NA
C05/744,744,744,744,,Operational,NA
C05/745,745,745,745,,Operational,NA
C05/746,746,746,746,,Operational,NA
C05/747,747,747,747,,Operational,NA
C05/748,748,748,748,,Operational,NA
C05/749,749,749,749,,Operational,NA
C05/750,750,750,750,,Operational,NA
C05/751,751,751,751,,Operational,NA
C05/752,752,752,752,,Operational,NA
C05/753,753,753,753,,Operational,NA
C05/754,754,754,754,,Operational,NA
C05/755,755,755,755,,Operational,NA
C05/761,761,761,761,,Operational,NA
C05/762,762,762,762,,Operational,NA
C05/763,763,763,763,NIMBUS 3,Operational,PDF
C05/764,764,764,764,NIMBUS 4,Operational,PDF
C05/765,765,765,765,NIMBUS 5,Operational,PDF
C05/766,766,766,766,NIMBUS 6,Operational,PDF
C05/767,767,767,767,NIMBUS 7,Operational,PDF
C05/768,768,768,768,,Operational,NA
C05/769,769,769,769,,Operational,NA
C05/780,780,780,780,ERBS,Operational,PDF
C05/781,781,781,781,UARS,Operational,PDF
C05/782,782,782,782,EARTH PROBE,Operational,PDF
C05/783,783,783,783,TERRA,Operational,PDF
C05/784,784,784,784,AQUA,Operational,PDF
C05/785,785,785,785,AURA,Operational,PDF
C05/786,786,786,786,C/NOFS,Operational,PDF
C05/787,787,787,787,CALIPSO,Operational,PDF
C05/788,788,788,788,CloudSat,Operational,PDF
C05/789,789,789,789,,Operational,NA
C05/790,790,790,790,,Operational,NA
C05//8,,,,,Operational,NA
C05/800,800,800,800,SUNSAT,Operational,PDF
C05/801,801,801,801,Estación Espacial Internacional (ISS),Operational,PDF
C05/802,802,802,802,CFOSAT,Operational,PDF
C05/803,803,803,803,GRACE C (GRACE-FO),Operational,PDF
C05/804,804,804,804,GRACE D (GRACE-FO),Operational,PDF
C05/805,805,805,805,,Operational,NA
C05/806,806,806,806,,Operational,NA
C05/807,807,807,807,,Operational,NA
C05/810,810,810,810,COMS,Operational,PDF
C05/811,811,811,811,GEO-hi-2A,Operational,PDF
C05/812,812,812,812,SCISAT-1,Operational,PDF
C05/813,813,813,813,ODIN,Operational,PDF
C05/814,814,814,814,,Operational,NA
C05/820,820,820,820,SAC-C,Operational,PDF
C05/821,821,821,821,SAC-D,Operational,PDF
C05/825,825,825,825,KOMPSAT-5,Operational,PDF
C05/850,850,850,850,Combinación de TERRA y AQUA,Operational,PDF
C05/851,851,851,851,Combinación de NOAA 16 a NOAA 19,Operational,PDF
C05/852,852,852,852,Combinación de Metop-1 a Metop-3,Operational,PDF
C05/853,853,853,853,Combinación de METEOSAT y DMSP,Operational,PDF
C05/854,854,854,854,Combinación no específica de satélites geoestacionarios y en órbita terrestre baja,Operational,PDF
C05/855,855,855,855,Combinación de INSAT 3D e INSAT 3DR,Operational,PDF
C05/856,856,856,856,Combinación de satélites Sentinel-3,Operational,PDF
C05/870-998,870-998,870-998,870-998,,Operational,NA
C05/999-1022,999 Missing value,999-1022,999-65534,,Operational,NA
C05/1023,,1023,65535,,Operational,NA
