ID,CodeFigureForI6I6I6,CodeFigureForBUFR,CodeFigureForGRIB2,SatelliteName_es,Status,translation_source
C05/0,000,0,0,Reservada,Operational,PDF
C05//1,,,,,Operational,NA
C05/1,001,1,1,ERS 1,Operational,PDF
C05/2,002,2,2,ERS 2,Operational,PDF
C05/3,003,3,3,METOP-1 (METOP-B),Operational,PDF
C05/4,004,4,4,METOP-2 (METOP-A),Operational,PDF
C05/5,005,5,5,METOP-3 (METOP-C),Operational,PDF
C05/6,006,6,6,,Operational,NA
C05/7,007,7,7,,Operational,NA
C05/8,008,8,8,,Operational,NA
C05/20,020,20,20,SPOT 1,Operational,PDF
C05/21,021,21,21,SPOT 2,Operational,PDF
C05/22,022,22,22,SPOT 3,Operational,PDF
C05/23,023,23,23,SPOT 4,Operational,PDF
C05/24,024,24,24,,Operational,NA
C05/25,025,25,25,,Operational,NA
C05/26,026,26,26,,Operational,NA
C05/27,027,27,27,,Operational,NA
C05/28,028,28,28,,Operational,NA
C05/29,029,29,29,,Operational,NA
C05/40,040,40,40,OERSTED,Operational,PDF
C05/41,041,41,41,CHAMP,Operational,PDF
C05/42,042,42,42,TerraSAR-X,Operational,PDF
C05/43,043,43,43,TANDEM-X,Operational,PDF
C05/44,044,44,44,PAZ,Operational,PDF
C05/45,045,45,45,,Operational,NA
C05/46,046,46,46,SMOS,Operational,PDF
C05/47,047,47,47,CryoSat-2,Operational,PDF
C05/48,048,48,48,AEOLUS,Operational,PDF
C05/49,049,49,49,,Operational,NA
C05/50,050,50,50,METEOSAT 3,Operational,PDF
C05/51,051,51,51,METEOSAT 4,Operational,PDF
C05/52,052,52,52,METEOSAT 5,Operational,PDF
C05/53,053,53,53,METEOSAT 6,Operational,PDF
C05/54,054,54,54,METEOSAT 7,Operational,PDF
C05/55,055,55,55,METEOSAT 8,Operational,PDF
C05/56,056,56,56,METEOSAT 9,Operational,PDF
C05/57,057,57,57,METEOSAT 10,Operational,PDF
C05/58,058,58,58,METEOSAT 1,Operational,PDF
C05/59,059,59,59,METEOSAT 2,Operational,PDF
C05/60,060,60,60,ENVISAT,Operational,PDF
C05/61,061,61,61,Sentinel 3A,Operational,PDF
C05/62,062,62,62,Sentinel 1A,Operational,PDF
C05/63,063,63,63,Sentinel 1B,Operational,PDF
C05/64,064,64,64,Sentinel 5P,Operational,PDF
C05/65,065,65,65,Sentinel 3B,Operational,PDF
C05/66,066,66,66,Sentinel 6A,Operational,PDF
C05/67,067,67,67,Sentinel 6B,Operational,PDF
C05/68,068,68,68,,Operational,NA
C05/69,069,69,69,,Operational,NA
C05/70,070,70,70,METEOSAT 11,Operational,PDF
C05/71,071,71,71,,Operational,NA
C05/72,072,72,72,,Operational,NA
C05/73,073,73,73,,Operational,NA
C05/74,074,74,74,,Operational,NA
C05/75,075,75,75,,Operational,NA
C05/76,076,76,76,,Operational,NA
C05/80,080,80,80,,Operational,NA
C05//2,,,,,Operational,NA
C05/120,120,120,120,ADEOS,Operational,PDF
C05/121,121,121,121,ADEOS II,Operational,PDF
C05/122,122,122,122,GCOM-W1,Operational,PDF
C05/123,123,123,123,,Operational,NA
C05/140,140,140,140,GOSAT,Operational,PDF
C05/141,141,141,141,,Operational,NA
C05/142,142,142,142,,Operational,NA
C05/150,150,150,150,GMS 3,Operational,PDF
C05/151,151,151,151,GMS 4,Operational,PDF
C05/152,152,152,152,GMS 5,Operational,PDF
C05/153,153,153,153,GMS,Operational,PDF
C05/154,154,154,154,GMS 2,Operational,PDF
C05/171,171,171,171,MTSAT-1R,Operational,PDF
C05/172,172,172,172,MTSAT-2,Operational,PDF
C05/173,173,173,173,Himawari-8,Operational,PDF
C05/174,174,174,174,Himawari-9,Operational,PDF
C05//3,,,,,Operational,NA
C05/200,200,200,200,NOAA 8,Operational,PDF
C05/201,201,201,201,NOAA 9,Operational,PDF
C05/202,202,202,202,NOAA 10,Operational,PDF
C05/203,203,203,203,NOAA 11,Operational,PDF
C05/204,204,204,204,NOAA 12,Operational,PDF
C05/205,205,205,205,NOAA 14,Operational,PDF
C05/206,206,206,206,NOAA 15,Operational,PDF
C05/207,207,207,207,NOAA 16,Operational,PDF
C05/208,208,208,208,NOAA 17,Operational,PDF
C05/209,209,209,209,NOAA 18,Operational,PDF
C05/220,220,220,220,LANDSAT 5,Operational,PDF
C05/221,221,221,221,LANDSAT 4,Operational,PDF
C05/222,222,222,222,LANDSAT 7,Operational,PDF
