ID,CodeFigure_DataCategories,Name_DataCategories_es,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_es,Status,translation_source
C13/1/20,1,Datos de superficie - marinos,20,Perfiles ASDAR/ACARS (AMDAR),Operational,PDF
C13/1/25,1,Datos de superficie - marinos,25,Observaciones climatológicas desde estaciones terrestres fijas (CLIMAT TEMP),Operational,PDF
C13/1/30,1,Datos de superficie - marinos,30,Mareógrafo,Operational,PDF
C13/1/31,1,Datos de superficie - marinos,31,Serie temporal observada al nivel del agua terrestres fijas (PILOT) SHIP) terrestres móviles (PILOT MOBIL),Operational,PDF
C13/3/0,3,Sondeos verticales (por satélite),0,Temperatura (SATEM),Operational,PDF
C13/3/1,3,Sondeos verticales (por satélite),1,TIROS (TOVS),Operational,PDF
C13/3/2,3,Sondeos verticales (por satélite),2,ATOVS,Operational,PDF
C13/3/3,3,Sondeos verticales (por satélite),3,AMSU-A,Operational,PDF
C13/3/4,3,Sondeos verticales (por satélite),4,AMSU-B,Operational,PDF
C13/3/5,3,Sondeos verticales (por satélite),5,HIRS,Operational,PDF
C13/3/6,3,Sondeos verticales (por satélite),6,MHS,Operational,PDF
C13/3/7,3,Sondeos verticales (por satélite),7,IASI,Operational,PDF
C13/3/8,3,Sondeos verticales (por satélite),8,VASS (sistema de sondeo atmosférico vertical),Operational,PDF
C13/3/20,3,Sondeos verticales (por satélite),20,Sondeo de temperatura/humedad por infrarrojos,Operational,PDF
C13/3/30,3,Sondeos verticales (por satélite),30,Sondeo de temperatura/humedad hiperes,Operational,PDF
C13/3/40,3,Sondeos verticales (por satélite),40,Sondeo de temperatura/humedad en microondas,Operational,PDF
C13/3/50,3,Sondeos verticales (por satélite),50,Sondeo de ocultación radio,Operational,PDF
C13/4/0,4,Datos de observaciones en altitud de,0,ASDAR/ACARS (AMDAR),Operational,PDF
C13/4/1,4,Datos de observaciones en altitud de,1,"Manual (AIREP, PIREP)",Operational,PDF
C13/4/2,4,Datos de observaciones en altitud de,2,,Operational,PDF
C13/4/3,4,Datos de observaciones en altitud de,3,,Operational,PDF
C13/5/0,5,Datos de observaciones en altitud de,0,Datos de viento derivados del desplazamiento de las,Operational,PDF
C13/5/1,5,Datos de observaciones en altitud de,1,Propiedades de nubes,Operational,PDF
C13/6/0,6,Datos de radar,0,Datos de reflectividad,Operational,PDF
C13/6/1,6,Datos de radar,1,Perfiles de viento Doppler,Operational,PDF
C13/6/2,6,Datos de radar,2,Productos derivados,Operational,PDF
C13/6/3,6,Datos de radar,3,Observación meteorológica por radar terrestre,Operational,PDF
C13/7/0,7,Características sinópticas,0,Trayectorias previstas de ciclones tropicales obtenidas mediante sistemas de predicción por conjuntos,Operational,PDF
C13/7/1,7,Características sinópticas,1,Línea de turbonada,Operational,PDF
C13/7/2,7,Características sinópticas,2,Predicción de ciclón tropical a partir de sistema determinista,Operational,PDF
C13/7/3,7,Características sinópticas,3,,Operational,PDF
C13/7/4,7,Características sinópticas,4,,Operational,PDF
C13/8/0,8,Componentes físicos/químicos,0,Ozono en superficie,Operational,PDF
C13/8/1,8,Componentes físicos/químicos,1,Sondeo vertical del ozono,Operational,PDF
C13/8/2,8,Componentes físicos/químicos,2,Ozono total,Operational,PDF
C13/8/3,8,Componentes físicos/químicos,3,Lluvia ácida,Operational,PDF
C13/8/4,8,Componentes físicos/químicos,4,,Operational,PDF
C13/9/0,9,Dispersión y transporte,0,"Trayectorias, análisis o predicción",Operational,PDF
C13/10/1,10,Datos radiológicos,1,Observación (RADREP),Operational,PDF
C13/10/2,10,Datos radiológicos,2,Predicción (RADOF),Operational,PDF
C13/12/0,12,Datos de observaciones en superficie,0,Producto UWA-ERS,Operational,PDF
C13/12/1,12,Datos de observaciones en superficie,1,Producto UWI-ERS,Operational,PDF
C13/12/2,12,Datos de observaciones en superficie,2,Producto URA-ERS,Operational,PDF
C13/12/3,12,Datos de observaciones en superficie,3,Producto UAT-ERS,Operational,PDF
C13/12/4,12,Datos de observaciones en superficie,4,Radiómetro SSM/I,Operational,PDF
C13/12/5,12,Datos de observaciones en superficie,5,Quickscat,Operational,PDF
C13/12/6,12,Datos de observaciones en superficie,6,Temperatura/radiación en superficie (SATOB),Operational,PDF
C13/12/7,12,Datos de observaciones en superficie,7,Datos ASCAT,Operational,PDF
C13/12/8,12,Datos de observaciones en superficie,8,Humedad de suelo,Operational,PDF
