ID,DateOfAssignment_ru,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_ru,Status,translation_source
,Неприменимо,00,0,Зарезервировано,Operational,PDF
,,01,1,Занято,Operational,PDF
,Неприменимо,02,2,"Не радиозонд - пассивная цель (например, отражатель)",Operational,PDF
,Неприменимо,03,3,"Не радиозонд - активная цель (например, ретранслятор)",Operational,PDF
,Неприменимо,04,4,Не радиозонд - пассивный профилометр температуры - влажности,Operational,PDF
,Неприменимо,05,5,Не радиозонд - активный профилометр температуры - влажности,Operational,PDF
,Неприменимо,06,6,Не радиозонд - радиоакустический датчик,Operational,PDF
,,07,7,Занято,Operational,PDF
,Неприменимо,08,8,Не радиозонд - . . . (зарезервировано),Operational,PDF
,Неприменимо,09,9,Не радиозонд - система неизвестна или не указана,Operational,PDF
,01.01.2008,10,10,"Sippican LMS5 с термистором с интегральной схемой; ёмкостный датчик относительной влажности, установленный в трубке; без датчика давления, которое рассчитывается по высоте ГСОМ",Operational,PDF
,01.01.2008,11,11,"Sippican LMS6 с термистором с интегральной схемой; емкостный датчик относительной влажности, установленный на внешнем крепеже; без датчика давления, которое рассчитывается по высоте ГСОМ",Operational,PDF
,06.05.2015,12,12,"Jin Yang RSG-20A, давление рассчитывается по высоте ГСОМ/GL-5000P (Республика Корея)",Operational,PDF
,15.09.2010,13,13,"RS92/MARWIN MW32, Вайсала (Финляндия)",Operational,PDF
,03.11.2011,14,14,"RS92/DigiCORA MW41, Вайсала (Финляндия)",Operational,PDF
,01.12.2011,15,15,PAZA-12M/радиотеодолит-УЛ (Украина),Operational,PDF
,01.12.2011,16,16,PAZA-22/АВК-1 (Украина),Operational,PDF
,02.05.2012,17,17,Graw DFM-09 (Германия),Operational,PDF
,,18,18,Занято,Operational,PDF
,08.05.2019,19,19,Полюс-МР3-H1 (Российская Федерация),Operational,PDF
,,20,20,Занято,Operational,PDF
,06.05.2015,21,21,Jin Yang 1524LA LORAN-C/GL5000 (Республика Корея),Operational,PDF
