ID,DateOfAssignment_ru,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_ru,Status,translation_source
,02.05.2012,22,22,"Радиозонд Meisei RS-11G GPS с термистором, емкостным датчиком относительной влажности, без датчика давления, которое рассчитывается по высоте ГСОМ (Япония)",Operational,PDF
,03.11.2011,23,23,"RS41/DigiCORA MW41, Вайсала (Финляндия)",Operational,PDF
,03.11.2011,24,24,"RS41/AUTOSONDE, Вайсала (Финляндия)",Operational,PDF
,03.11.2011,25,25,"RS41/MARWIN MW32, Вайсала (Финляндия)",Operational,PDF
,07.05.2014,26,26,Meteolabor SRS-C34/Argus 37 (Швейцария),Operational,PDF
,,27,27,Занято,Operational,PDF
,15.09.2011,28,28,АВК - AK2-02 (Российская Федерация),Operational,PDF
,15.09.2011,29,29,МАРЛ-А или ВЕКТОР-М (Российская Федерация),Operational,PDF
,01.01.2010,30,30,Meisei RS-06G (Япония),Operational,PDF
,03.11.2011,31,31,Taiyuan GTS1-1/GFE(L) (Китай ),Operational,PDF
,03.11.2011,32,32,Shanghai GTS1/GFE(L) (Китай),Operational,PDF
,03.11.2011,33,33,Nanjing GTS1-2/GFE(L) (Китай),Operational,PDF
,Необходимо,34,34,Свободно,Operational,PDF
,07.05.2014,35,35,"Радиозонд Meisei iMS-100 GPS с терморезистором, емкостным датчиком относительной влажности, без датчика давления, которое рассчитывается по высоте ГСОМ (Япония)",Operational,PDF
,02.05.2018,36,36,"Сбрасываемый радиозонд ГСОМ Meisei iMDS-17 с термисторным датчиком, емкостным датчиком относительной влажности и емкостным датчиком давления (Япония)",Operational,PDF
,,37,37,Занято,Operational,PDF
,До,38,38,VIZ LOCATE Loran-C (США),Operational,PDF
,До,39,39,Sprenger E076 (Германия),Operational,PDF
,До,40,40,Sprenger E084 (Германия),Operational,PDF
,03.11.2011,41,41,"RS41 без датчика давления, которое рассчитывается по высоте ГСОМ/DigiCORA MW41, Вайсала (Финляндия)",Operational,PDF
,03.11.2011,42,42,"RS41 без датчика давления, которое рассчитывается по высоте ГСОМ /AUTOSONDE, Вайсала (Финляндия)",Operational,PDF
,07.05.2014,43,43,NanJing Daqiao XGP-3G (Китай),Operational,PDF
,07.05.2014,44,44,TianJin HuaYunTianYi GTS(U)1 (Китай),Operational,PDF
,07.05.2014,45,45,Beijing Changfeng CF-06 (Китай),Operational,PDF
,07.05.2014,46,46,Shanghai Changwang GTS3 (Китай),Operational,PDF
,,47,47,Занято,Operational,PDF
,02.05.2012,48,48,PAZA-22M/MARL-A,Operational,PDF
,,49,49,Занято,Operational,PDF
,02.11.2016,50,50,Meteolabor SRS-C50/Argus (Швейцария),Operational,PDF
,,51,51,Занято,Operational,PDF
,03.11.2011,52,52,"RS92-NGP/Intermet IMS-2000, Вайсала (США)",Operational,PDF
,06.05.2015,53,53,АВК - И-2012 (Российская Федерация),Operational,PDF
,08.05.2019,54,54,Graw DFM-17 (Германия),Operational,PDF
,До,55,55,Meisei RS-01G (Япония),Operational,PDF
,До,56,56,M2K2 (Франция),Operational,PDF
,До,57,57,Modem M2K2-DC (Франция),Operational,PDF
,До,58,58,АВК-БАР (Российская Федерация),Operational,PDF
,До,59,59,Радиозонд Modem М2К2-R 1680 МГц РДП с чипом для датчика давления (Франция),Operational,PDF
,06.05.2015,60,60,МАРЛ-А или Вектор-М - И-2012 (Российская Федерация),Operational,PDF
,,61,61,Занято,Operational,PDF
,06.05.2015,62,62,МАРЛ-A или Вектор-M - МРЗ-3МК (Российская Федерация),Operational,PDF
,07.11.2018,63,63,"Радиозонд Modem M20 с терморезистором, емкостным датчиком относительной влажности, без датчика давления, которое рассчитывается по высоте ГСОМ (Франция)",Operational,PDF
,07.11.2018,64,64,Радиозонд Modem PilotSonde GPS (Франция),Operational,PDF
,До,65,65,"VIZ ретранслирующий радиозонд, модель номер 1499- 520 (США)",Operational,PDF
,До,66,66,Vaisala RS80/Autosonde (Финляндия),Operational,PDF
,До,67,67,Vaisala RS80/Digicora III (Финляндия),Operational,PDF
,До,68,68,АВК-РЗМ-2 (Российская Федерация),Operational,PDF
,До,69,69,МАРЛ-А или Вектор-М-РЗМ-2 (Российская Федерация),Operational,PDF
,До,70,70,Vaisala RS92/Star (Финляндия),Operational,PDF
,До,71,71,"Vaisala RS90/Digicora I, II или Marwin (Финляндия)",Operational,PDF
,До,72,72,Vaisala RS90/PC-Cora (Финляндия),Operational,PDF
,02.11.2016,73,73,МАРЛ-А (Российская Федерация) - АСПАН-15 (Казахстан),Operational,PDF
,До,74,74,Vaisala RS90/Star (Финляндия),Operational,PDF
,До,75,75,АВК-МРЗ-АРМА (Российская Федерация),Operational,PDF
,До,76,76,АВК-РФ95-АРМА (Российская Федерация),Operational,PDF
,15.03.2010,77,77,Модем GPSonde M10 (Франция),Operational,PDF
,До,78,78,Vaisala RS90/Digicora III (Финляндия),Operational,PDF
,До,79,79,"Vaisala RS92/Digicora I, II или Marwin (Финляндия)",Operational,PDF
,До,80,80,Vaisala RS92/Digicora III (Финляндия),Operational,PDF
,До,81,81,Vaisala RS92/Autosonde (Финляндия),Operational,PDF
,До,82,82,"Sippican MK2 GPS/STAR (США) со стержневым термистором, углеродным элементом и без датчика давления",Operational,PDF
,07.11.2012,83,83,"RS92-D/Intermet IMS 1500 с кремниевым емкостным датчиком давления; емкостным проводным датчиком температуры; спаренным тонкопленочным емкостным полимерным датчиком относительной влажности с подогревом; и системой радиопеленгации ветра, Вайсала",Operational,PDF
,06.11.2019,84,84,"Радиозонд ГСОМ iMet-54/iMet-3200/3400 без датчика давления, которое рассчитывается по высоте ГСОМ (Южная Африка)",Operational,PDF
,До,85,85,"Sippican MARK IIA с термистором с интегральной схемой, углеродным элементом, без датчика давления, которое рассчитывается по высоте ГСОМ",Operational,PDF
,До,86,86,"Sippican MARK II с термистором с интегральной схемой, датчиком давления и углеродным элементом",Operational,PDF
,До,87,87,"Sippican MARK IIA с термистором с интегральной схемой, датчиком давления и углеродным элементом",Operational,PDF
,До,88,88,МАРЛ-A или Вектор-М-МРЗ (Российская Федерация),Operational,PDF
,До,89,89,МАРЛ-A или Вектор-М-БАР (Российская Федерация),Operational,PDF
,Неприменимо,90,90,Радиозонд не указан или неизвестен,Operational,PDF
,Неприменимо,91,91,Радиозонд только для измерения давления,Operational,PDF
,Неприменимо,92,92,Радиозонд только для измерения давления плюс ретранслятор,Operational,PDF
,Неприменимо,93,93,Радиозонд только для измерения давления плюс радиолокационный отражатель,Operational,PDF
,Неприменимо,94,94,"Радиозонд, не измеряющий давление, плюс ретранслятор",Operational,PDF
,Неприменимо,95,95,"Радиозонд, не измеряющий давление, плюс радиолокационный отражатель",Operational,PDF
,Неприменимо,96,96,Спускающийся радиозонд,Operational,PDF
,До,97,97,Радиозонд РДП iMet-2/iMet-1500 с чипом для датчика давления (Южная Африка),Operational,PDF
,До,98,98,"Радиозонд ГСОМ iMet-2/iMet-1500 без датчика давления, которое рассчитывается по высоте ГСОМ (Южная Африка)",Operational,PDF
,До,99,99,"Радиозонд ГСОМ iMet-2/iMet-3200 без датчика давления, которое рассчитывается по высоте ГСОМ (Южная Африка)",Operational,PDF
,,Not available,100,,Operational,NA
,,01,101,Занято,Operational,PDF
,,Not available,102-106,,Operational,NA
,,07,107,Занято,Operational,PDF
,,Not available,108-109,,Operational,NA
,01.01.2008,10,110,"Sippican LMS5 с термистором с интегральной схемой; ёмкостный датчик относительной влажности, установленный в трубке; без датчика давления, которое рассчитывается по высоте ГСОМ",Operational,PDF
,01.01.2008,11,111,"Sippican LMS6 с термистором с интегральной схемой; емкостный датчик относительной влажности, установленный на внешнем крепеже; без датчика давления, которое рассчитывается по высоте ГСОМ",Operational,PDF
,06.05.2015,12,112,"Jin Yang RSG-20A, давление рассчитывается по высоте ГСОМ/GL-5000P (Республика Корея)",Operational,PDF
,15.09.2010,13,113,"RS92/MARWIN MW32, Вайсала (Финляндия)",Operational,PDF
,03.11.2011,14,114,"RS92/DigiCORA MW41, Вайсала (Финляндия)",Operational,PDF
,01.12.2011,15,115,PAZA-12M/радиотеодолит-УЛ (Украина),Operational,PDF
,01.12.2011,16,116,PAZA-22/АВК-1 (Украина),Operational,PDF
,02.05.2012,17,117,Graw DFM-09 (Германия),Operational,PDF
,,18,118,Занято,Operational,PDF
,08.05.2019,19,119,Полюс-МР3-H1 (Российская Федерация),Operational,PDF
,,20,120,Занято,Operational,PDF
,06.05.2015,21,121,Jin Yang 1524LA LORAN-C/GL5000 (Республика Корея),Operational,PDF
,02.05.2012,22,122,"Радиозонд Meisei RS-11G GPS с термистором, емкостным датчиком относительной влажности, без датчика давления, которое рассчитывается по высоте ГСОМ (Япония)",Operational,PDF
,03.11.2011,23,123,"RS41/DigiCORA MW41, Вайсала (Финляндия)",Operational,PDF
,03.11.2011,24,124,"RS41/AUTOSONDE, Вайсала (Финляндия)",Operational,PDF
,03.11.2011,25,125,"RS41/MARWIN MW32, Вайсала (Финляндия)",Operational,PDF
,07.05.2014,26,126,Meteolabor SRS-C34/Argus 37 (Швейцария),Operational,PDF
,,27,127,Занято,Operational,PDF
,15.09.2011,28,128,АВК - AK2-02 (Российская Федерация),Operational,PDF
,15.09.2011,29,129,МАРЛ-А или ВЕКТОР-М (Российская Федерация),Operational,PDF
,01.01.2010,30,130,Meisei RS-06G (Япония),Operational,PDF
,03.11.2011,31,131,Taiyuan GTS1-1/GFE(L) (Китай ),Operational,PDF
,03.11.2011,32,132,Shanghai GTS1/GFE(L) (Китай),Operational,PDF
,03.11.2011,33,133,Nanjing GTS1-2/GFE(L) (Китай),Operational,PDF
,Необходимо,34,134,Свободно,Operational,PDF
,07.05.2014,35,135,"Радиозонд Meisei iMS-100 GPS с терморезистором, емкостным датчиком относительной влажности, без датчика давления, которое рассчитывается по высоте ГСОМ (Япония)",Operational,PDF
,02.05.2018,36,136,"Сбрасываемый радиозонд ГСОМ Meisei iMDS-17 с термисторным датчиком, емкостным датчиком относительной влажности и емкостным датчиком давления (Япония)",Operational,PDF
,,37,137,Занято,Operational,PDF
,До,38,138,VIZ LOCATE Loran-C (США),Operational,PDF
,,39-40,139-140,,Operational,NA
,03.11.2011,41,141,"RS41 без датчика давления, которое рассчитывается по высоте ГСОМ/DigiCORA MW41, Вайсала (Финляндия)",Operational,PDF
,03.11.2011,42,142,"RS41 без датчика давления, которое рассчитывается по высоте ГСОМ /AUTOSONDE, Вайсала (Финляндия)",Operational,PDF
,07.05.2014,43,143,NanJing Daqiao XGP-3G (Китай),Operational,PDF
,07.05.2014,44,144,TianJin HuaYunTianYi GTS(U)1 (Китай),Operational,PDF
,07.05.2014,45,145,Beijing Changfeng CF-06 (Китай),Operational,PDF
,07.05.2014,46,146,Shanghai Changwang GTS3 (Китай),Operational,PDF
,,47,147,Занято,Operational,PDF
,02.05.2012,48,148,PAZA-22M/MARL-A,Operational,PDF
,,49,149,Занято,Operational,PDF
,02.11.2016,50,150,Meteolabor SRS-C50/Argus (Швейцария),Operational,PDF
,,51,151,Занято,Operational,PDF
,03.11.2011,52,152,"RS92-NGP/Intermet IMS-2000, Вайсала (США)",Operational,PDF
,06.05.2015,53,153,АВК - И-2012 (Российская Федерация),Operational,PDF
,08.05.2019,54,154,Graw DFM-17 (Германия),Operational,PDF
,,55-59,155-159,,Operational,NA
,06.05.2015,60,160,МАРЛ-А или Вектор-М - И-2012 (Российская Федерация),Operational,PDF
,,61,161,Занято,Operational,PDF
,06.05.2015,62,162,МАРЛ-A или Вектор-M - МРЗ-3МК (Российская Федерация),Operational,PDF
,07.11.2018,63,163,"Радиозонд Modem M20 с терморезистором, емкостным датчиком относительной влажности, без датчика давления, которое рассчитывается по высоте ГСОМ (Франция)",Operational,PDF
,07.11.2018,64,164,Радиозонд Modem PilotSonde GPS (Франция),Operational,PDF
,До,65,165,"VIZ ретранслирующий радиозонд, модель номер 1499- 520 (США)",Operational,PDF
,До,66,166,Vaisala RS80/Autosonde (Финляндия),Operational,PDF
,,67-72,167-172,,Operational,NA
,02.11.2016,73,173,МАРЛ-А (Российская Федерация) - АСПАН-15 (Казахстан),Operational,PDF
,,74-76,174-176,,Operational,NA
,15.03.2010,77,177,Модем GPSonde M10 (Франция),Operational,PDF
,,78-81,178-181,,Operational,NA
,До,82,182,"Sippican MK2 GPS/STAR (США) со стержневым термистором, углеродным элементом и без датчика давления",Operational,PDF
,07.11.2012,83,183,"RS92-D/Intermet IMS 1500 с кремниевым емкостным датчиком давления; емкостным проводным датчиком температуры; спаренным тонкопленочным емкостным полимерным датчиком относительной влажности с подогревом; и системой радиопеленгации ветра, Вайсала",Operational,PDF
,06.11.2019,84,184,"Радиозонд ГСОМ iMet-54/iMet-3200/3400 без датчика давления, которое рассчитывается по высоте ГСОМ (Южная Африка)",Operational,PDF
,,85-89,185-189,,Operational,NA
,,Not available,190,,Operational,NA
,,Not available,191,,Operational,NA
,,Not available,192,,Operational,NA
,,Not available,193,,Operational,NA
,,Not available,194-196,,Operational,NA
,,97-99,197-199,,Operational,NA
,,Not available,200,,Operational,NA
,,Not available,201,,Operational,NA
,,Not available,202,,Operational,NA
,,Not available,203,,Operational,NA
,,Not available,204,,Operational,NA
,,Not available,205,,Operational,NA
,,Not available,206,,Operational,NA
,,Not available,207,,Operational,NA
,,Not available,208,,Operational,NA
,,Not available,209,,Operational,NA
,,Not available,210-254,,Operational,NA
,,,255,,Operational,NA
