ID,CREX2,GRIB2_BUFR4,OriginatingGeneratingCentre_ru,Status,translation_source
C11/0,00000,0,Секретариат ВМО,Operational,PDF
C11//1,,,00001-00009: ММЦ,Operational,PDF
C11/1,00001,1,Мельбурн,Operational,PDF
C11/2,00002,2,Мельбурн,Operational,PDF
C11/3,00003,3,),Operational,PDF
C11/4,00004,4,Москва,Operational,PDF
C11/5,00005,5,Москва,Operational,PDF
C11/6,00006,6,),Operational,PDF
C11/7,00007,7,"Национальная метеорологическая служба США, национальные центры по прогнозированию окружающей среды (НЦПОС)",Operational,PDF
C11/8,00008,8,Интерфейс телесвязи Национальной метеорологической службы США (NWSTG),Operational,PDF
C11/9,00009,9,Национальная метеорологическая служба США - прочее,Operational,PDF
C11//2,,,00010-00025: Центры в Регионе I,Operational,PDF
C11/10,00010,10,Каир (РСМЦ),Operational,PDF
C11/11,00011,11,),Operational,PDF
C11/12,00012,12,Дакар (РСМЦ),Operational,PDF
C11/13,00013,13,),Operational,PDF
C11/14,00014,14,Найроби (РСМЦ),Operational,PDF
C11/15,00015,15,),Operational,PDF
C11/16,00016,16,Касабланка (РСМЦ),Operational,PDF
C11/17,00017,17,Тунис (РСМЦ),Operational,PDF
C11/18,00018,18,Тунис-Касабланка (РСМЦ),Operational,PDF
C11/19,00019,19,),Operational,PDF
C11/20,00020,20,Лас-Пальмас,Operational,PDF
C11/21,00021,21,Алжир (РСМЦ),Operational,PDF
C11/22,00022,22,АКМАД,Operational,PDF
C11/23,00023,23,Мозамбик (НМЦ),Operational,PDF
C11/24,00024,24,Претория (РСМЦ),Operational,PDF
C11/25,00025,25,Реюньон (РСМЦ),Operational,PDF
C11//3,,,00026-00040: Центры в Регионе II,Operational,PDF
C11/26,00026,26,Хабаровск (РСМЦ),Operational,PDF
C11/27,00027,27,),Operational,PDF
C11/28,00028,28,Нью-Дели (РСМЦ),Operational,PDF
C11/29,00029,29,),Operational,PDF
C11/30,00030,30,Новосибирск (РСМЦ),Operational,PDF
C11/31,00031,31,),Operational,PDF
C11/32,00032,32,Ташкент (РСМЦ),Operational,PDF
C11/33,00033,33,Джидда (РСМЦ),Operational,PDF
C11/34,00034,34,"Токио (РСМЦ), Японское метеорологическое агентство",Operational,PDF
C11/35,00035,35,),Operational,PDF
C11/36,00036,36,Бангкок,Operational,PDF
C11/37,00037,37,Улан-Батор,Operational,PDF
C11/38,00038,38,Пекин (РСМЦ),Operational,PDF
C11/39,00039,39,),Operational,PDF
C11/40,00040,40,Сеул,Operational,PDF
C11//4,,,00041-00050: Центры в Регионе III,Operational,PDF
C11/41,00041,41,Буэнос-Айрес (РСМЦ),Operational,PDF
C11/42,00042,42,),Operational,PDF
C11/43,00043,43,Бразилиа (РСМЦ),Operational,PDF
C11/44,00044,44,),Operational,PDF
C11/45,00045,45,Сантьяго,Operational,PDF
C11/46,00046,46,Бразильское космическое агентство - ИНПЕ,Operational,PDF
C11/47,00047,47,Колумбия (НМЦ),Operational,PDF
C11/48,00048,48,Эквадор (НМЦ),Operational,PDF
C11/49,00049,49,Перу (НМЦ),Operational,PDF
C11/50,00050,50,Венесуэла (Боливарианская Республика) (НМЦ),Operational,PDF
C11//4,,,00051-00063: Центры в Регионе IV,Operational,PDF
C11/51,00051,51,Майами (РСМЦ),Operational,PDF
C11/52,00052,52,"Майами (РСМЦ), Национальный центр по ураганам",Operational,PDF
C11/53,00053,53,МСК - Мониторинг,Operational,PDF
C11/54,00054,54,Монреаль (РСМЦ),Operational,PDF
C11/55,00055,55,Сан-Франциско,Operational,PDF
C11/56,00056,56,Центр АРИНК,Operational,PDF
C11/57,00057,57,Военно-воздушные силы США - Глобальный метеорологический центр ВВС,Operational,PDF
