ID,CodeFigure,Meaning_ru,ChemicalFormula,Status,translation_source
C14/10049,10049,Трибромметан,CHBr3,Operational,PDF
C14/10050,10050,Формил-радикал (оксометил-радикал),HOC*,Operational,PDF
C14/10051,10051,Гидроксиметил-диоксиданил-радикал,HOCH2OO*,Operational,PDF
C14/10052,10052,Гидроперикись этила,CH3CH2OOH,Operational,PDF
C14/10053,10053,3-гидроксипропил-диоксиданил-радикал,HOCH2CH2CH2OO*,Operational,PDF
C14/10054,10054,3-гидроксипропил гидропероксид,HOCH2CH2CH2OOH,Operational,PDF
C14/10055,10055,,CH3OONO2,Operational,NA
C14/10056,10056,,HOCH2C(CH3)(OO*)CHCH2,Operational,NA
C14/10057,10057,,HOCH2CH(OO*)C(CH3)CH2,Operational,NA
C14/10058,10058,,CH2(OOH)CHC(CH3)CHO,Operational,NA
C14/10059,10059,,CH2(OOH)C(CH3)CHCHO,Operational,NA
C14/10060,10060,,C4H8,Operational,NA
C14/10061,10061,,C5H10,Operational,NA
C14/10062,10062,,C6H12,Operational,NA
C14/10063,10063,,C7H14,Operational,NA
C14/10064,10064,,C8H16,Operational,NA
C14/10065,10065,,C5H12,Operational,NA
C14/10066,10066,,C6H14,Operational,NA
C14/10067,10067,,C7H16,Operational,NA
C14/10068,10068,,C8H18,Operational,NA
C14/10069-10499,10069-10499,,,Operational,NA
C14/10500,10500,Диметилсульфид,CH3SCH3 (DMS),Operational,PDF
C14/10501,10501,ДМСО (диметилсульфоксид),(CH3)2SO,Operational,PDF
C14/10502-20000,10502-20000,,,Operational,NA
C14/20001,20001,Хлористый водород,HCl,Operational,PDF
C14/20002,20002,ХФУ-11 (трихлорфторметан),CCl3F,Operational,PDF
C14/20003,20003,ХФУ-12 (дихлордифторметан),CCl2F2,Operational,PDF
C14/20004,20004,"ХФУ-113 (1,1,2-трихлор-1,2,2-трифторэтан)",Cl2FC-CClF2,Operational,PDF
C14/20005,20005,"ХФУ-113a (1,1,1-трихлор -2,2,2-трифторэтан)",Cl3C-CF3,Operational,PDF
C14/20006,20006,"ХФУ-114 (1,2-дихлор-1,1,2,2-тетрафтоэтан)",ClF2C-CClF2,Operational,PDF
C14/20007,20007,"ХФУ-115 (1-хлор-1,1,2,2,2-пентафтоэтан)",ClF2C-CF3,Operational,PDF
C14/20008,20008,ГФХУ-22 (дифтормонохлорметан),CHClF2,Operational,PDF
C14/20009,20009,"ГФХУ-141b (1,1-дихлор-1-фторэтан)",Cl2FC-CH3,Operational,PDF
C14/20010,20010,"ГФХУ-142b (1-хлор-1,1-дифторэтан)",ClF2C-CH3,Operational,PDF
C14/20011,20011,Галон-1202 (дибромдифторметан),CBr2F2,Operational,PDF
C14/20012,20012,Галон-1211 (бромхлордифтометан),CBrClF2,Operational,PDF
C14/20013,20013,Галон-1301 (бромтрифторметан),CBrF3,Operational,PDF
C14/20014,20014,"Галон-2402 (1,2-дибром-1,1,2,2-тетрафторэтан)",BrF2C-CBrF2,Operational,PDF
C14/20015,20015,,CH3Cl,Operational,NA
C14/20016,20016,,CCl4,Operational,NA
C14/20017,20017,,Cl3C-CH3,Operational,NA
C14/20018,20018,,CH3Br,Operational,NA
C14/20019,20019,HCH (гексахлорциклогексан) все изомеры,C6H6Cl6,Operational,PDF
C14/20020,20020,α -HCH ( α -гексахлорциклогексан) оба энантиомера,&alpha;-C6H6Cl6,Operational,PDF
C14/20021,20021,"ПСБ-153 (2,2',4,4',5,5'-гексахлорбифенил)",(C6H2Cl3)2,Operational,PDF
C14/20022,20022,"ГФХУ-141a (1,1-дихлор-2-фторэтан)",Cl2HC-CH2F,Operational,PDF
C14/20023-29999,20023-29999,,,Operational,NA
C14/30000,30000,"Радиоактивное загрязняющее вещество (трассер, определяется центром-поставщиком)",,Operational,PDF
C14/30001-30009,30001-30009,,,Operational,NA
C14/30010,30010,Тритий (водород 3),H-3,Operational,PDF
C14/30011,30011,Тритий связанный органически,H-3o,Operational,PDF
C14/30012,30012,Тритий неорганический,H-3a,Operational,PDF
C14/30013,30013,Бериллий-7,Be-7,Operational,PDF
C14/30014,30014,Бериллий-10,Be-10,Operational,PDF
C14/30015,30015,,C-14,Operational,NA
C14/30016,30016,,C-14CO2,Operational,NA
C14/30017,30017,,C-14og,Operational,NA
C14/30018,30018,Азот-13,N-13,Operational,PDF
C14/30019,30019,Азот-16,N-16,Operational,PDF
C14/30020,30020,Фтор-18,F-18,Operational,PDF
C14/30021,30021,Натрий-22,Na-22,Operational,PDF
C14/30022,30022,Фосфат-32,P-32,Operational,PDF
C14/30023,30023,Фосфат-33,P-33,Operational,PDF
C14/30024,30024,Сера-35,S-35,Operational,PDF
C14/30025,30025,Хлор-36,Cl-36,Operational,PDF
C14/30026,30026,Калий-40,K-40,Operational,PDF
C14/30027,30027,Аргон-41,Ar-41,Operational,PDF
C14/30028,30028,Кальций-41,Ca-41,Operational,PDF
C14/30029,30029,Кальций-45,Ca-45,Operational,PDF
C14/30030,30030,Титан-44,Ti-44,Operational,PDF
C14/30031,30031,,Sc-46,Operational,NA
C14/30032,30032,Ванадий-48,V-48,Operational,PDF
C14/30033,30033,Ванадий-49,V-49,Operational,PDF
C14/30034,30034,Хром-51,Cr-51,Operational,PDF
C14/30035,30035,Марганец-52,Mn-52,Operational,PDF
C14/30036,30036,Марганец-54,Mn-54,Operational,PDF
C14/30037,30037,Железо-55,Fe-55,Operational,PDF
C14/30038,30038,Железо-59,Fe-59,Operational,PDF
C14/30039,30039,Кобальт-56,Co-56,Operational,PDF
C14/30040,30040,Кобальт-57,Co-57,Operational,PDF
C14/30041,30041,Кобальт-58,Co-58,Operational,PDF
C14/30042,30042,Кобальт-60,Co-60,Operational,PDF
C14/30043,30043,Никель-59,Ni-59,Operational,PDF
C14/30044,30044,Никель-63,Ni-63,Operational,PDF
C14/30045,30045,Цинк-65,Zn-65,Operational,PDF
C14/30046,30046,Галлий-67,Ga-67,Operational,PDF
C14/30047,30047,Галлий-68,Ga-68,Operational,PDF
C14/30048,30048,Германий-68,Ge-68,Operational,PDF
C14/30049,30049,Германий-69,Ge-69,Operational,PDF
