ID,GRIB version number,BUFR version number,CREX version number,Effective date,Status,translation_source
C00/0,0,0,0,Экспериментальная,Operational,PDF
C00/1,,1,,1 ноября 1988 г.,Operational,PDF
C00/2,,2,,1 ноября 1993 г.,Operational,PDF
C00/3,,3,,2 ноября 1994 г.,Operational,PDF
C00/4,,4,,8 ноября 1995 г.,Operational,PDF
C00/5,,5,,6 ноября 1996 г.,Operational,PDF
C00/6,,6,,5 ноября 1997 г.,Operational,PDF
C00/7,,7,,4 ноября 1998 г.,Operational,PDF
C00/8,,8,1,3 мая 2000 г.,Operational,PDF
C00/9,,9,,8 ноября 2000 г.,Operational,PDF
C00/10,1,10,2,7 ноября 2001 г.,Operational,PDF
C00/11,2,11,3,5 ноября 2003 г.,Operational,PDF
C00/12,3,12,4,2 ноября 2005 г.,Operational,PDF
C00/13,4,13,5,7 ноября 2007 г.,Operational,PDF
C00/14,5,14,6,4 ноября 2009 г.,Operational,PDF
C00/15,6,15,7,15 сентября 2010 г.,Operational,PDF
C00/16,7,16,16,4 мая 2011 г.,Operational,PDF
C00/17,8,17,17,2 ноября 2011 г.,Operational,PDF
C00/18,9,18,18,2 мая 2012 г.,Operational,PDF
C00/19,10,19,19,7 ноября 2012 г.,Operational,PDF
C00/20,11,20,20,8 мая 2013 г.,Operational,PDF
C00/21,12,21,21,14 ноября 2013 г.,Operational,PDF
C00/22,13,22,22,7 мая 2014 г.,Operational,PDF
C00/23,14,23,23,5 ноября 2014 г.,Operational,PDF
C00/24,15,24,24,6 мая 2015 г.,Operational,PDF
C00/25,16,25,25,11 ноября 2015 г.,Operational,PDF
C00/26,17,26,26,4 мая 2016 г.,Operational,PDF
C00/27,18,27,27,2 ноября 2016 г.,Operational,PDF
C00/28,19,28,28,3 мая 2017 г.,Operational,PDF
C00/29,20,29,29,8 ноября 2017 г.,Operational,PDF
C00/30,21,30,30,2 мая 2018 г.,Operational,PDF
C00/31,22,31,31,7 ноября 2018 г.,Operational,PDF
C00/32,23,32,32,15 мая 2019 г.,Operational,PDF
C00/33,24,33,33,6 ноября 2019 г.,Operational,PDF
C00/34,25,34,34,"Предоперативная версия, подлежащая осуществлению посредством следующей поправки",Operational,PDF
C00/35,26,35,35,16 November 2020,Operational,NA
C00/36,27,36,36,15 June 2021,Operational,NA
C00/37,28,37,37,15 November 2021,Operational,NA
C00/38,29,38,38,15 May 2022,Operational,NA
C00/39,30,39,39,15 Nov 2022,Operational,NA
C00/40,31,40,40,15 June 2023,Operational,NA
C00/41,32,41,41,30 November 2023,Operational,NA
C00/42,33,42,42,28 June 2024,Operational,NA
C00/43,34,43,-,19 November 2024,Operational,NA
C00/44,35,44,-,19 May 2025,Operational,NA
C00/45,36,45,-,17 November 2025,Operational,NA
C00/46-254,37-254,46-254,-,Будущие версии,Operational,PDF
C00/255,255,255,255,Отсутствуют,Operational,PDF
