ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_ru,CodeFigure_SubCentres,Name_SubCentres_ru,Status,translation_source
C12/7/6,7,"Национальная метеорологическая служба США, НЦПОС",6,Центр морских прогнозов,Operational,PDF
C12/7/7,7,"Национальная метеорологическая служба США, НЦПОС",7,Центр климатических прогнозов,Operational,PDF
C12/7/8,7,"Национальная метеорологическая служба США, НЦПОС",8,Центр авиационной метеорологии,Operational,PDF
C12/7/9,7,"Национальная метеорологическая служба США, НЦПОС",9,Центр прогнозирования штормов,Operational,PDF
C12/7/10,7,"Национальная метеорологическая служба США, НЦПОС",10,Национальный центр по ураганам,Operational,PDF
C12/7/11,7,"Национальная метеорологическая служба США, НЦПОС",11,Лаборатория методических разработок НМС,Operational,PDF
C12/7/12,7,"Национальная метеорологическая служба США, НЦПОС",12,Бюро исследований и применений НЕСДИС,Operational,PDF
C12/7/13,7,"Национальная метеорологическая служба США, НЦПОС",13,Федеральное управление гражданской,Operational,PDF
C12/7/14,7,"Национальная метеорологическая служба США, НЦПОС",14,,Operational,PDF
C12/7/15,7,"Национальная метеорологическая служба США, НЦПОС",15,Проект североамериканского регионального ренализа,Operational,PDF
C12/7/16,7,"Национальная метеорологическая служба США, НЦПОС",16,Центр прогнозирования космической погоды,Operational,PDF
C12/7/17,7,"Национальная метеорологическая служба США, НЦПОС",17,Отдел глобальных систем ЕСРЛ,Operational,PDF
C12/160/1,160,НУОА/НЕСДИС США,1,Национальный центр климатических данных,Operational,PDF
C12/160/2,160,НУОА/НЕСДИС США,2,Национальный центр геофизических данных,Operational,PDF
C12/160/3,160,НУОА/НЕСДИС США,3,Национальный центр океанографических данных,Operational,PDF
C12/160/4,160,НУОА/НЕСДИС США,4,Центр спутниковых применений и исследований (СТАР),Operational,PDF
C12/160/5,160,НУОА/НЕСДИС США,5,Объединенная полярная спутниковая система,Operational,PDF
C12/160/10,160,НУОА/НЕСДИС США,10,Тромсё (Норвегия),Operational,PDF
C12/160/11,160,НУОА/НЕСДИС США,11,Мак-Мердо (Антарктида),Operational,PDF
C12/161/1,161,Бюро исследований океана и атмосферы НУОА США (НУОА/БОА),1,Лаборатории экологических исследований,Operational,PDF
C12/161/2,161,Бюро исследований океана и атмосферы НУОА США (НУОА/БОА),2,Научно-исследовательская лаборатория системы Земля,Operational,PDF
C12/161/3,161,Бюро исследований океана и атмосферы НУОА США (НУОА/БОА),3,Атлантическая океанографическая и метеорологическая лаборатория,Operational,PDF
C12/161/4,161,Бюро исследований океана и атмосферы НУОА США (НУОА/БОА),4,Тихоокеанская лаборатория по морской окружающей среде,Operational,PDF
C12/161/5,161,Бюро исследований океана и атмосферы НУОА США (НУОА/БОА),5,Лаборатория ресурсов атмосферы,Operational,PDF
C12/161/6,161,Бюро исследований океана и атмосферы НУОА США (НУОА/БОА),6,Лаборатория геофизической гидродинамики,Operational,PDF
C12/161/7,161,Бюро исследований океана и атмосферы НУОА США (НУОА/БОА),7,Национальная лаборатория исследования сильных штормов,Operational,PDF
C12/173/1,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),1,Исследовательский центр имени Эймса,Operational,PDF
C12/173/2,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),2,Центр летных исследований имени Драйдена,Operational,PDF
C12/173/3,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),3,Исследовательский центр имени Глена,Operational,PDF
C12/173/4,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),4,Центр космических полетов имени Годдарда,Operational,PDF
C12/173/5,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),5,Лаборатория по изучению струйных течений,Operational,PDF
C12/173/6,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),6,Космический центр имени Джонсона,Operational,PDF
C12/173/7,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),7,Космический центр имени Кеннеди,Operational,PDF
C12/173/8,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),8,Исследовательский центр имени Ланглея,Operational,PDF
C12/173/9,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),9,Центр космических полетов имени Маршалла,Operational,PDF
C12/173/10,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),10,Космический центр имени Стенниса,Operational,PDF
C12/173/11,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),11,Институт космических исследований имени Годдарда,Operational,PDF
C12/173/12,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),12,Факультет независимой проверки и валидации,Operational,PDF
C12/173/13,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),13,Центр общего обслуживания НАСА,Operational,PDF
C12/173/14,173,Национальное управление США по аэронавтике и исследованию космического пространства (НАСА),14,Космодром Уоллопс,Operational,PDF
C12/176/10,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",10,Тромсё (Норвегия),Operational,PDF
C12/176/11,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",11,Мак-Мердо (Антарктида),Operational,PDF
C12/176/12,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",12,Соданкюля (Финляндия),Operational,PDF
C12/176/13,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",13,Фэрбанкс (США),Operational,PDF
C12/176/14,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",14,Барроу (США),Operational,PDF
C12/176/15,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",15,Ротера (Антарктида),Operational,PDF
C12/176/20,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",20,Гонолулу (США),Operational,PDF
C12/176/21,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",21,Гилмор Крик (США),Operational,PDF
