ID,CodeFigure_DataCategories,Name_DataCategories_ru,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_ru,Status,translation_source
C13/3/0,3,Вертикальное зондирование,0,Температура (SATEM),Operational,PDF
C13/3/1,3,Вертикальное зондирование,1,TIROS (TOVS),Operational,PDF
C13/3/2,3,Вертикальное зондирование,2,ATOVS,Operational,PDF
C13/3/3,3,Вертикальное зондирование,3,AMSU-A,Operational,PDF
C13/3/4,3,Вертикальное зондирование,4,AMSU-B,Operational,PDF
C13/3/5,3,Вертикальное зондирование,5,HIRS,Operational,PDF
C13/3/6,3,Вертикальное зондирование,6,MHS,Operational,PDF
C13/3/7,3,Вертикальное зондирование,7,IASI,Operational,PDF
C13/3/8,3,Вертикальное зондирование,8,VASS (Система вертикального зондирования атмосферы),Operational,PDF
C13/3/20,3,Вертикальное зондирование,20,Зондирование температуры/влажности в инфракрасном диапазоне,Operational,PDF
C13/3/30,3,Вертикальное зондирование,30,Гиперспектральное зондирование температуры/влажности,Operational,PDF
C13/3/40,3,Вертикальное зондирование,40,Зондирование температуры/влажности в микроволновом диапазоне,Operational,PDF
C13/3/50,3,Вертикальное зондирование,50,Радиозатменное зондирование,Operational,PDF
C13/4/0,4,Аэрологические данные по,0,ASDAR/ACARS (АМДАР),Operational,PDF
C13/4/1,4,Аэрологические данные по,1,Неавтоматизированные наблюдения,Operational,PDF
C13/4/2,4,Аэрологические данные по,2,,Operational,PDF
C13/4/3,4,Аэрологические данные по,3,,Operational,PDF
C13/5/0,5,Аэрологические данные по,0,Данные об облачности/ветре (SATOB),Operational,PDF
C13/5/1,5,Аэрологические данные по,1,Свойства облаков,Operational,PDF
C13/6/0,6,Радиолокационные данные,0,Данные об отражательной способности,Operational,PDF
C13/6/1,6,Радиолокационные данные,1,Доплеровские профили ветра,Operational,PDF
C13/6/2,6,Радиолокационные данные,2,Производная продукция,Operational,PDF
C13/6/3,6,Радиолокационные данные,3,Наземные радиолокационные метеорологические наблюдения (RADOB),Operational,PDF
C13/7/0,7,Синоптические характеристики,0,Прогноз траекторий тропических циклонов,Operational,PDF
C13/7/1,7,Синоптические характеристики,1,Линия шквалов,Operational,PDF
C13/7/2,7,Синоптические характеристики,2,,Operational,PDF
