ID,CodeFigure,UnitType_ru,Meaning_ru,conventional,IA5-ASCII,ITA2,SIDefinition,Note,NoteID,Status,translation_source
C06/001,001,Основные единицы измерения СИ,метр,m,m,M,,(see Note 1),19,Operational,PDF
C06/002,002,Основные единицы измерения СИ,килограмм,kg,kg,KG,,,,Operational,PDF
C06/003,003,Основные единицы измерения СИ,секунда,s,s,S,,,,Operational,PDF
C06/004,004,Основные единицы измерения СИ,ампер,A,A,A,,,,Operational,PDF
C06/005,005,Основные единицы измерения СИ,кельвин,K,K,K,,,,Operational,PDF
C06/006,006,Основные единицы измерения СИ,моль,mol,mol,MOL,,,,Operational,PDF
C06/007,007,Основные единицы измерения СИ,кандела,cd,cd,CD,,,,Operational,PDF
C06/021,021,Производные единицы измерения СИ с особым названием,радиан,rad,rad,RAD,,(see Note 1),19,Operational,PDF
C06/022,022,Производные единицы измерения СИ с особым названием,стерадиан,sr,sr,SR,,,,Operational,PDF
C06/030,030,Производные единицы измерения СИ с особым названием,герц,Hz,Hz,HZ,s-^1,(see Note 1),19,Operational,PDF
C06/031,031,Производные единицы измерения СИ с особым названием,ньютон,N,N,N,kg m s^-2,,,Operational,PDF
C06/032,032,Производные единицы измерения СИ с особым названием,паскаль,Pa,Pa,PAL,kg m^-1 s^-2,,,Operational,PDF
C06/033,033,Производные единицы измерения СИ с особым названием,джоуль,J,J,J,kg m^2 s^-2,,,Operational,PDF
C06/034,034,Производные единицы измерения СИ с особым названием,ватт,W,W,W,kg m^2 s^-3,,,Operational,PDF
C06/035,035,Производные единицы измерения СИ с особым названием,кулон,C,C,C,A s,,,Operational,PDF
C06/036,036,Производные единицы измерения СИ с особым названием,вольт,V,V,V,kg m^2 s^-3 A^-1,,,Operational,PDF
C06/037,037,Производные единицы измерения СИ с особым названием,фарад,F,F,F,kg^-1 m^-2 s^4 A^2,,,Operational,PDF
C06/038,038,Производные единицы измерения СИ с особым названием,ом,Ω,Ohm,OHM,kg m^2 s^-3 A^-2,,,Operational,PDF
C06/039,039,Производные единицы измерения СИ с особым названием,сименс,S,S,SIE,kg^-1 m^-2 s^3 A^2,,,Operational,PDF
C06/040,040,Производные единицы измерения СИ с особым названием,вебер,Wb,Wb,WB,kg m^2 s^-2 A^-1,,,Operational,PDF
C06/041,041,Производные единицы измерения СИ с особым названием,тесла,T,T,T,kg s^-2 A^-1,,,Operational,PDF
C06/042,042,Производные единицы измерения СИ с особым названием,генри,H,H,H,kg m^2 s^-2 A^-2,,,Operational,PDF
C06/060,060,Производные единицы измерения СИ с особым названием,градус Цельсия,˚C,Cel,CEL,K+273.15,,,Operational,PDF
C06/070,070,Производные единицы измерения СИ с особым названием,люмен,lm,lm,LM,cd sr,,,Operational,PDF
C06/071,071,Производные единицы измерения СИ с особым названием,люкс,lx,lx,LX,cd sr m^-2,,,Operational,PDF
C06/080,080,Производные единицы измерения СИ с особым названием,беккерель,Bq,Bq,BQ,s^-1,,,Operational,PDF
C06/081,081,Производные единицы измерения СИ с особым названием,грэй,Gy,Gy,GY,m^2 s^-2,,,Operational,PDF
C06/082,082,Производные единицы измерения СИ с особым названием,зиверт,Sv,Sv,SV,m^2 s^-2,,,Operational,PDF
C06/110,110,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",градус (угол),˚,deg,DEG,,(see Note 4),10,Operational,PDF
C06/111,111,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",минута (угол),',',MNT,,(see Note 10),27,Operational,PDF
C06/112,112,"Другие, не входящие в СИ, единицы измерения, признанные CGPM","секунда (угол)","""","""",SEC,,(see Note 10),27,Operational,PDF
C06/120,120,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",литр,l or L,l or L,L,,,,Operational,PDF
C06/130,130,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",минута (время),min,min,MIN,,,,Operational,PDF
C06/131,131,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",час,h,h,HR,,,,Operational,PDF
C06/132,132,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",сутки,d,d,D,,,,Operational,PDF
C06/150,150,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",тонна,t,t,TNE,,,,Operational,PDF
C06/160,160,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",электронвольт,eV,eV,EV,,,,Operational,PDF
C06/161,161,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",атомная единица массы,u,u,U,,(see Note 11),28,Operational,PDF
C06/170,170,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",астрономическая единица,AU,AU,ASU,,,,Operational,PDF
C06/210,210,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",децибел (6),dB,dB,DB,,(see Note 6),17,Operational,PDF
C06/220,220,"Другие, не входящие в СИ, единицы измерения, признанные CGPM",гектар,ha,ha,HAR,,,,Operational,PDF
C06/171,171,Прочие единицы измерения,парсек,pc,pc,PRS,,(see Note 7),21,Operational,PDF
C06/200,200,Прочие единицы измерения,морская миля,,,,,,,Operational,PDF
C06/201,201,Прочие единицы измерения,узел,kt,kt,KT,,,,Operational,PDF
C06/230,230,Прочие единицы измерения,неделя,,,,,,,Operational,PDF
C06/231,231,Прочие единицы измерения,год,a,a,A,,,,Operational,PDF
C06/300,300,Прочие единицы измерения,процент,%,%,PERCENT,,,,Operational,PDF
C06/301,301,Прочие единицы измерения,промили,‰,0/00,PERTHOU,,,,Operational,PDF
C06/310,310,Прочие единицы измерения,восьмые части облачности,okta,okta,OKTA,,,,Operational,PDF
C06/320,320,Прочие единицы измерения,истинный градус,˚,deg,DEG,,,,Operational,PDF
C06/321,321,Прочие единицы измерения,градус в секунду,degree/s,deg/s,DEG/S,,,,Operational,PDF
C06/350,350,Прочие единицы измерения,градус Цельсия (8),˚C,C,C,,(see Note 8),13,Operational,PDF
C06/351,351,Прочие единицы измерения,градус Цельсия на метр,˚C/m,C/m,C/M,,,,Operational,PDF
C06/352,352,Прочие единицы измерения,градус Цельсия на 100 м,˚C/100 m,C/100 m,C/100 M,,,,Operational,PDF
C06/360,360,Прочие единицы измерения,единица Добсона (9),DU,DU,DU,,(see Note 9),4,Operational,PDF
C06/430,430,Прочие единицы измерения,месяц,mon,mon,MON,,,,Operational,PDF
C06/441,441,Прочие единицы измерения,"в секунду (то же, что и для герца)",s^-1,/s,/S,,,,Operational,PDF
C06/442,442,Прочие единицы измерения,секунда в минус второй степени,s^-2,s-2,,,,,Operational,PDF
C06/501,501,Прочие единицы измерения,узел на 1 000 метров,kt/1000 m,kt/km,KT/KM,,,,Operational,PDF
C06/510,510,Прочие единицы измерения,фут,ft,ft,FT,,,,Operational,PDF
C06/511,511,Прочие единицы измерения,дюйм,in,in,IN,,,,,PDF
C06/520,520,Прочие единицы измерения,деципаскаль в секунду (микробар в секунду),dPa s^-1,dPa/s,DPAL/S,,,,Operational,PDF
C06/521,521,Прочие единицы измерения,сантибар в секунду,cb s^-1,cb/s,CB/S,,,,Operational,PDF
C06/522,522,Прочие единицы измерения,сантибар за 12 часов,cb/12 h,cb/12 h,CB/12 HR,,,,Operational,PDF
C06/523,523,Прочие единицы измерения,декапаскаль,daPa,daPa,DAPAL,,,,Operational,PDF
C06/530,530,Прочие единицы измерения,гектопаскаль,hPa,hPa,HPAL,,,,Operational,PDF
C06/531,531,Прочие единицы измерения,гектопаскаль в секунду,hPa s^-1,hPa/s,HPAL/S,,,,Operational,PDF
C06/532,532,Прочие единицы измерения,гектопаскаль в час,hPa h^-1,hPa/h,HPAL/HR,,,,Operational,PDF
C06/533,533,Прочие единицы измерения,гектопаскаль за 3 часа,hPa/3 h,hPa/3 h,HPAL/3 HR,,,,Operational,PDF
C06/535,535,Прочие единицы измерения,нанобар = гПа . 10 -6,nbar,nbar,NBAR,,,,Operational,PDF
C06/620,620,Прочие единицы измерения,грамм на килограмм,g kg^-1,g/kg,G/KG,,,,Operational,PDF
C06/621,621,Прочие единицы измерения,грамм на килограмм в секунду,g kg^-1 s^-1,g kg-1 s-1,,,,,Operational,PDF
C06/622,622,Прочие единицы измерения,килограмм на килограмм,kg kg^-1,kg/kg,KG/KG,,,,Operational,PDF
C06/623,623,Прочие единицы измерения,килограмм на килограмм в секунду,kg kg^-1 s^-1,kg kg-1 s-1,,,,,Operational,PDF
C06/624,624,Прочие единицы измерения,килограмм на квадратный метр,kg m^-2,kg m-2,,,,,Operational,PDF
C06/630,630,Прочие единицы измерения,ускорение под действием силы тяжести,g,g,,,,,Operational,PDF
C06/631,631,Прочие единицы измерения,геопотенциальный метр,gpm,gpm,,,,,Operational,PDF
C06/710,710,Прочие единицы измерения,миллиметр,mm,mm,MM,,,,Operational,PDF
C06/711,711,Прочие единицы измерения,миллиметр в секунду,mm s^-1,mm/s,MM/S,,,,Operational,PDF
C06/712,712,Прочие единицы измерения,миллиметр в час,mm h^-1,mm/h,MM/HR,,,,Operational,PDF
C06/713,713,Прочие единицы измерения,миллиметр в шестой степени на кубический метр,mm^6 m^-3,mm6 m-3,,,,,Operational,PDF
C06/715,715,Прочие единицы измерения,сантиметр,cm,cm,CM,,,,Operational,PDF
C06/716,716,Прочие единицы измерения,сантиметр в секунду,cm s^-1,cm/s,CM/S,,,,Operational,PDF
C06/717,717,Прочие единицы измерения,сантиметр в час,cm h^-1,cm/h,CM/HR,,,,Operational,PDF
C06/720,720,Прочие единицы измерения,дециметр,dm,dm,DM,,,,Operational,PDF
