ID,CodeFigure_DataCategories,Name_DataCategories_fr,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_fr,Status,translation_source
C13/12/2,12,Données d'observation en surface,2,Produits URA - ERS,Operational,PDF
C13/12/3,12,Données d'observation en surface,3,Produits UAT - ERS,Operational,PDF
C13/12/4,12,Données d'observation en surface,4,Radiomètre SSM/I,Operational,PDF
C13/12/5,12,Données d'observation en surface,5,Température de surface et rayonnement (SATOB),Operational,PDF
C13/12/6,12,Données d'observation en surface,6,QuikSCAT,Operational,PDF
C13/12/7,12,Données d'observation en surface,7,ASCAT,Operational,PDF
C13/12/8,12,Données d'observation en surface,8,Humidité du sol,Operational,PDF
C13/12/9,12,Données d'observation en surface,9,Indice différentiel normalisé de végétation (NDVI),Operational,PDF
C13/12/10,12,Données d'observation en surface,10,Rétrodiffusion radar normalisée,Operational,PDF
C13/12/11,12,Données d'observation en surface,11,Émissivité de la surface,Operational,PDF
C13/12/12,12,Données d'observation en surface,12,Température de la surface de la mer,Operational,PDF
C13/12/13,12,Données d'observation en surface,13,Précipitations,Operational,PDF
C13/21/0,21,Luminance énergétique,0,Bilan radiatif de la Terre,Operational,PDF
C13/21/5,21,Luminance énergétique,5,,Operational,PDF
C13/21/6,21,Luminance énergétique,6,Sondeur hyperfréquence à technologie avancée,Operational,PDF
C13/21/7,21,Luminance énergétique,7,Ensemble de radiomètres imageurs dans le spectre visible et l'infrarouge,Operational,PDF
C13/22/0,22,,0,,Operational,NA
C13/22/1,22,,1,,Operational,NA
C13/23/0,23,,0,,Operational,NA
C13/24/0,24,,0,,Operational,NA
C13/25/0,25,,0,,Operational,NA
C13/26/0,26,,0,,Operational,NA
C13/26/1,26,,1,,Operational,NA
C13/26/2,26,,2,,Operational,NA
C13/26/3,26,,3,,Operational,NA
C13/26/4,26,,4,,Operational,NA
C13/30/0,30,Jeux de données d'étalonnage,0,Sous-ensemble de données,Operational,PDF
C13/30/1,30,Jeux de données d'étalonnage,1,,Operational,PDF
C13/30/2,30,Jeux de données d'étalonnage,2,Données d'étalonnage à bord,Operational,PDF
C13/30/3,30,Jeux de données d'étalonnage,3,Suivi d'erreur systématique,Operational,PDF
C13/30/4,30,Jeux de données d'étalonnage,4,Correction en temps quasi réel,Operational,PDF
C13/30/5,30,Jeux de données d'étalonnage,5,Correction de réanalyse,Operational,PDF
C13/31/0,31,Données océanographiques,0,Observations en surface,Operational,PDF
C13/31/1,31,Données océanographiques,1,"Imagerie hyperfréquences (fréquences intermédiaires), balayage conique",Operational,PDF
C13/31/2,31,Données océanographiques,2,Imagerie hyperfréquences (basses fréquences),Operational,PDF
C13/31/3,31,Données océanographiques,3,Imagerie couleur de l'océan,Operational,PDF
C13/31/4,31,Données océanographiques,4,"Imagerie, géométrie de visée spéciale",Operational,PDF
C13/31/5,31,Données océanographiques,5,Imagerie de la foudre,Operational,PDF
C13/31/6,31,Données océanographiques,6,Imagerie ondes courtes de grande résolution pour l'observation des terres émergées,Operational,PDF
C13/31/7,31,Données océanographiques,7,Données SMOS,Operational,PDF
C13/31/8,31,Données océanographiques,8,,Operational,PDF
C13/32/0,32,,0,,Operational,NA
C13/101/0,101,,0,,Operational,NA
C13/101/1,101,,1,,Operational,NA
C13/101/2,101,,2,,Operational,NA
C13/101/3,101,,3,,Operational,NA
C13/101/4,101,,4,,Operational,NA
C13/101/5,101,,5,,Operational,NA
C13/101/6,101,,6,,Operational,NA
C13/101/7,101,,7,,Operational,NA
