ID,CodeFigureForF1F2,CodeFigureForF3F3F3,Octet5GRIB1_Octet6BUFR3,OriginatingGeneratingCentres_fr,Status,translation_source
C01/000,00,000,0,Secrétariat de l'OMM,Operational,PDF
C01//1,,,,01-09: CMM,Operational,PDF
C01/001,01,001,1,Melbourne,Operational,PDF
C01/002,02,002,2,Melbourne,Operational,PDF
C01/003,03,003,3,),Operational,PDF
C01/004,04,004,4,Moscou,Operational,PDF
C01/005,05,005,5,Moscou,Operational,PDF
C01/006,06,006,6,),Operational,PDF
C01/007,07,007,7,Service météorologique national des États-Unis d'Amérique - Centres nationaux de prévision environnementale (NCEP),Operational,PDF
C01/008,08,008,8,Centre de transit international du Service météorologique national des États-Unis d'Amérique (NWSTG),Operational,PDF
C01/009,09,009,9,Service météorologique national des États-Unis d'Amérique - Autres,Operational,PDF
C01//2,,,,10-25: Centres dans la Région I,Operational,PDF
C01/010,10,010,10,Le Caire (CMRS),Operational,PDF
C01/011,11,011,11,),Operational,PDF
C01/012,12,012,12,Dakar (CMRS),Operational,PDF
C01/013,13,013,13,),Operational,PDF
C01/014,14,014,14,Nairobi (CMRS),Operational,PDF
C01/015,15,015,15,),Operational,PDF
C01/016,16,016,16,Casablanca (CMRS),Operational,PDF
C01/017,17,017,17,Tunis (CMRS),Operational,PDF
C01/018,18,018,18,Tunis-Casablanca (CMRS),Operational,PDF
C01/019,19,019,19,),Operational,PDF
C01/020,20,020,20,Las Palmas,Operational,PDF
C01/021,21,021,21,Alger (CMRS),Operational,PDF
C01/022,22,022,22,ACMAD,Operational,PDF
C01/023,23,023,23,Mozambique (CMN),Operational,PDF
C01/024,24,024,24,Pretoria (CMRS),Operational,PDF
C01/025,25,025,25,La Réunion (CMRS),Operational,PDF
C01//3,,,,26-40: Centres dans la Région II,Operational,PDF
C01/026,26,026,26,Khabarovsk (CMRS),Operational,PDF
C01/027,27,027,27,),Operational,PDF
C01/028,28,028,28,New Delhi (CMRS),Operational,PDF
C01/029,29,029,29,),Operational,PDF
C01/030,30,030,30,Novosibirsk (CMRS),Operational,PDF
C01/031,31,031,31,),Operational,PDF
C01/032,32,032,32,Tachkent (CMRS),Operational,PDF
C01/033,33,033,33,Djedda (CMRS),Operational,PDF
C01/034,34,034,34,"Tokyo (CMRS), Service météorologique japonais",Operational,PDF
C01/035,35,035,35,),Operational,PDF
C01/036,36,036,36,Bangkok,Operational,PDF
C01/037,37,037,37,Oulan-Bator,Operational,PDF
C01/038,38,038,38,Beijing (CMRS),Operational,PDF
C01/039,39,039,39,),Operational,PDF
C01/040,40,040,40,Séoul,Operational,PDF
C01//4,,,,41-50: Centres dans la Région III,Operational,PDF
C01/041,41,041,41,Buenos Aires (CMRS),Operational,PDF
C01/042,42,042,42,),Operational,PDF
C01/043,43,043,43,Brasilia (CMRS),Operational,PDF
C01/044,44,044,44,),Operational,PDF
C01/045,45,045,45,Santiago,Operational,PDF
C01/047,47,047,47,Colombie (CMN),Operational,PDF
C01/048,48,048,48,Équateur (CMN),Operational,PDF
C01/049,49,049,49,Pérou (CMN),Operational,PDF
C01/050,50,050,50,Venezuela (République bolivarienne du) (CMN),Operational,PDF
C01//5,,,,51-63: Centres dans la Région IV,Operational,PDF
C01/051,51,051,51,Miami (CMRS),Operational,PDF
C01/052,52,052,52,"Miami (CMRS), Centre national pour les ouragans",Operational,PDF
C01/053,53,053,53,Centre de surveillance (SMC),Operational,PDF
C01/054,54,054,54,Montréal (CMRS),Operational,PDF
C01/055,55,055,55,San Francisco,Operational,PDF
C01/056,56,056,56,Centre ARINC,Operational,PDF
C01/057,57,057,57,US Air Force - Air Force Global Weather Central,Operational,PDF
C01/058,58,058,58,"Fleet Numerical Meteorology and Oceanography Center, Monterey, CA (États-Unis d'Amérique)",Operational,PDF
C01/059,59,059,59,"Laboratoire des systèmes de prévision de la NOAA, Boulder, CO (États-Unis d'Amérique)",Operational,PDF
C01/060,60,060,60,Centre national de recherche atmosphérique des États-Unis d'Amérique (NCAR),Operational,PDF
C01/061,61,061,61,Service ARGOS-Landover,Operational,PDF
C01/062,62,062,62,Bureau naval océanographique des États-Unis d'Amérique,Operational,PDF
C01//6,,,,64-73: Centres dans la Région V,Operational,PDF
C01/064,64,064,64,Honolulu (CMRS),Operational,PDF
C01/065,65,065,65,Darwin (CMRS),Operational,PDF
C01/066,66,066,66,),Operational,PDF
C01/067,67,067,67,Melbourne (CMRS),Operational,PDF
C01/068,68,068,68,En réserve,Operational,PDF
C01/069,69,069,69,Wellington (CMRS),Operational,PDF
C01/070,70,070,70,),Operational,PDF
C01/071,71,071,71,Nandi (CMRS),Operational,PDF
C01/072,72,072,72,Singapour,Operational,PDF
C01/073,73,073,73,Malaisie (CMN),Operational,PDF
C01//7,,,,74-99: Centres dans la Région VI,Operational,PDF
C01/074,74,074,74,"Service météorologique du Royaume-Uni, Exeter (CMRS)",Operational,PDF
C01/075,75,075,75,),Operational,PDF
C01/076,76,076,76,Moscou (CMRS),Operational,PDF
C01/077,77,077,77,En réserve,Operational,PDF
C01/078,78,078,78,Offenbach (CMRS),Operational,PDF
C01/079,79,079,79,),Operational,PDF
C01/080,80,080,80,Rome (CMRS),Operational,PDF
C01/081,81,081,81,),Operational,PDF
C01/082,82,082,82,Norrköping,Operational,PDF
C01/083,83,083,83,),Operational,PDF
C01/084,84,084,84,Toulouse (CMRS),Operational,PDF
C01/085,85,085,85,Toulouse (CMRS),Operational,PDF
C01/086,86,086,86,Helsinki,Operational,PDF
C01/087,87,087,87,Belgrade,Operational,PDF
C01/088,88,088,88,Oslo,Operational,PDF
C01/089,89,089,89,Prague,Operational,PDF
C01/090,90,090,90,Episkopi,Operational,PDF
C01/091,91,091,91,Ankara,Operational,PDF
C01/092,92,092,92,Francfort/Main,Operational,PDF
C01/093,93,093,93,Londres (WAFC),Operational,PDF
C01/094,94,094,94,Copenhague,Operational,PDF
C01/095,95,095,95,Rota,Operational,PDF
C01/096,96,096,96,Athènes,Operational,PDF
C01/098,98,098,98,Centre européen pour les prévisions météoro logiques à moyen terme (CEPMMT) (CMRS),Operational,PDF
C01/099,99,099,99,De Bilt,Operational,PDF
C01/100,Not applicable,100,100,Brazzaville,Operational,PDF
C01/101,Not applicable,101,101,Abidjan,Operational,PDF
C01/102,Not applicable,102,102,Libye (CMN),Operational,PDF
C01/103,Not applicable,103,103,Madagascar (CMN),Operational,PDF
C01/104,Not applicable,104,104,Maurice (CMN),Operational,PDF
