ID,CREX2,GRIB2_BUFR4,OriginatingGeneratingCentre_fr,Status,translation_source
C11//1,,,00001-00009: CMM,Operational,PDF
C11/1,00001,1,Melbourne,Operational,PDF
C11/2,00002,2,Melbourne,Operational,PDF
C11/3,00003,3,),Operational,PDF
C11/4,00004,4,Moscou,Operational,PDF
C11/5,00005,5,Moscou,Operational,PDF
C11/6,00006,6,),Operational,PDF
C11/7,00007,7,Service météorologique national des états-Unis d'Amérique - Centres nationaux de prévision environnementale (NCEP),Operational,PDF
C11/8,00008,8,Centre de transit international du Service météorologique national des états-Unis d'Amérique (NWSTG),Operational,PDF
C11/9,00009,9,Service météorologique national des états-Unis d'Amérique - Autres,Operational,PDF
C11//2,,,00010-00025: Centres dans la Région I,Operational,PDF
C11/10,00010,10,Le Caire (CMRS),Operational,PDF
C11/11,00011,11,),Operational,PDF
C11/12,00012,12,Dakar (CMRS),Operational,PDF
C11/13,00013,13,),Operational,PDF
C11/14,00014,14,Nairobi (CMRS),Operational,PDF
C11/15,00015,15,),Operational,PDF
C11/16,00016,16,Casablanca (CMRS),Operational,PDF
C11/17,00017,17,Tunis (CMRS),Operational,PDF
C11/18,00018,18,Tunis-Casablanca (CMRS),Operational,PDF
C11/19,00019,19,),Operational,PDF
C11/20,00020,20,Las Palmas,Operational,PDF
C11/21,00021,21,Alger (CMRS),Operational,PDF
C11/22,00022,22,ACMAD,Operational,PDF
C11/23,00023,23,Mozambique (CMN),Operational,PDF
C11/24,00024,24,Pretoria (CMRS),Operational,PDF
C11/25,00025,25,La Réunion (CMRS),Operational,PDF
C11//3,,,00026-00040: Centres dans la Région II,Operational,PDF
C11/26,00026,26,Khabarovsk (CMRS),Operational,PDF
C11/27,00027,27,),Operational,PDF
C11/28,00028,28,New Delhi (CMRS),Operational,PDF
C11/29,00029,29,),Operational,PDF
C11/30,00030,30,Novosibirsk (CMRS),Operational,PDF
C11/31,00031,31,),Operational,PDF
C11/32,00032,32,Tachkent (CMRS),Operational,PDF
C11/33,00033,33,Djedda (CMRS),Operational,PDF
C11/34,00034,34,"Tokyo (CMRS), Service météorologique japonais",Operational,PDF
C11/35,00035,35,),Operational,PDF
C11/36,00036,36,Bangkok,Operational,PDF
C11/37,00037,37,Oulan-Bator,Operational,PDF
C11/38,00038,38,Beijing (CMRS),Operational,PDF
C11/39,00039,39,),Operational,PDF
C11/40,00040,40,Séoul,Operational,PDF
C11//4,,,00041-00050: Centres dans la Région III,Operational,PDF
C11/41,00041,41,Buenos Aires (CMRS),Operational,PDF
C11/42,00042,42,),Operational,PDF
C11/43,00043,43,Brasilia (CMRS),Operational,PDF
C11/44,00044,44,),Operational,PDF
C11/45,00045,45,Santiago,Operational,PDF
C11/47,00047,47,Colombie (CMN),Operational,PDF
C11/48,00048,48,Équateur (CMN),Operational,PDF
C11/49,00049,49,Pérou (CMN),Operational,PDF
C11/50,00050,50,Venezuela (République bolivarienne du) (CMN),Operational,PDF
C11//4,,,00051-00063: Centres dans la Région IV,Operational,PDF
C11/51,00051,51,Miami (CMRS),Operational,PDF
C11/52,00052,52,"Miami (CMRS), Centre national pour les ouragans",Operational,PDF
C11/53,00053,53,Centre de surveillance (SMC),Operational,PDF
C11/54,00054,54,Montréal (CMRS),Operational,PDF
C11/55,00055,55,San Francisco,Operational,PDF
C11/56,00056,56,Centre ARINC,Operational,PDF
C11/57,00057,57,US Air Force - Air Force Global Weather Central,Operational,PDF
C11/58,00058,58,"Fleet Numerical Meteorology and Oceanography Center, Monterey, CA (États-Unis d'Amérique)",Operational,PDF
C11/59,00059,59,"Laboratoire des systèmes de prévision de la NOAA, Boulder, CO (États-Unis d'Amérique)",Operational,PDF
C11/60,00060,60,Centre national de recherche atmosphérique des États-Unis d'Amérique (NCAR),Operational,PDF
C11/61,00061,61,Service ARGOS-Landover,Operational,PDF
C11/62,00062,62,Bureau naval océanographique des États-Unis d'Amérique,Operational,PDF
C11/63,00063,63,Institut international de recherche sur le climat et la société (IRI),Operational,PDF
C11//5,,,00064-00073: Centres dans la Région V,Operational,PDF
C11/64,00064,64,Honolulu (CMRS),Operational,PDF
C11/65,00065,65,Darwin (CMRS),Operational,PDF
C11/66,00066,66,),Operational,PDF
C11/67,00067,67,Melbourne (CMRS),Operational,PDF
C11/68,00068,68,En réserve,Operational,PDF
C11/69,00069,69,Wellington (CMRS),Operational,PDF
C11/70,00070,70,),Operational,PDF
C11/71,00071,71,Nandi (CMRS),Operational,PDF
C11/72,00072,72,Singapour,Operational,PDF
C11/73,00073,73,Malaisie (CMN),Operational,PDF
C11//6,,,00074-00099: Centres dans la Région VI,Operational,PDF
C11/74,00074,74,"Service météorologique du Royaume-Uni, Exeter (CMRS)",Operational,PDF
C11/75,00075,75,),Operational,PDF
C11/76,00076,76,Moscou (CMRS),Operational,PDF
C11/77,00077,77,En réserve,Operational,PDF
C11/78,00078,78,Offenbach (CMRS),Operational,PDF
C11/79,00079,79,),Operational,PDF
C11/80,00080,80,Rome (CMRS),Operational,PDF
C11/81,00081,81,),Operational,PDF
C11/82,00082,82,Norrköping,Operational,PDF
C11/83,00083,83,),Operational,PDF
C11/84,00084,84,Toulouse (CMRS),Operational,PDF
C11/85,00085,85,Toulouse (CMRS),Operational,PDF
C11/86,00086,86,Helsinki,Operational,PDF
C11/87,00087,87,Belgrade,Operational,PDF
C11/88,00088,88,Oslo,Operational,PDF
C11/89,00089,89,Prague,Operational,PDF
C11/90,00090,90,Episkopi,Operational,PDF
C11/91,00091,91,Ankara,Operational,PDF
C11/92,00092,92,Francfort/Main,Operational,PDF
C11/93,00093,93,Londres (WAFC),Operational,PDF
C11/94,00094,94,Copenhague,Operational,PDF
C11/95,00095,95,Rota,Operational,PDF
C11/96,00096,96,Athènes,Operational,PDF
C11/98,00098,98,Centre européen pour les prévisions météorologiques à moyen terme (CEPMMT) (CMRS),Operational,PDF
C11/99,00099,99,De Bilt,Operational,PDF
C11/100,00100,100,Brazzaville,Operational,PDF
C11/101,00101,101,Abidjan,Operational,PDF
C11/102,00102,102,Libye (CMN),Operational,PDF
C11/103,00103,103,Madagascar (CMN),Operational,PDF
C11/104,00104,104,Maurice (CMN),Operational,PDF
C11/105,00105,105,Niger (CMN),Operational,PDF
C11/106,00106,106,Seychelles (CMN),Operational,PDF
C11/107,00107,107,Ouganda (CMN),Operational,PDF
C11/108,00108,108,République-Unie de Tanzanie (CMN),Operational,PDF
C11/109,00109,109,Zimbabwe (CMN),Operational,PDF
C11/110,00110,110,"Hong Kong, Chine",Operational,PDF
C11/111,00111,111,Afghanistan (CMN),Operational,PDF
C11/112,00112,112,Bahreïn (CMN),Operational,PDF
C11/113,00113,113,Bangladesh (CMN),Operational,PDF
C11/114,00114,114,Bhoutan (CMN),Operational,PDF
C11/115,00115,115,Cambodge (CMN),Operational,PDF
C11/116,00116,116,République populaire démocratique de Corée (CMN),Operational,PDF
C11/117,00117,117,République islamique d'Iran (CMN),Operational,PDF
C11/118,00118,118,Iraq (CMN),Operational,PDF
C11/119,00119,119,Kazakhstan (CMN),Operational,PDF
C11/120,00120,120,Koweït (CMN),Operational,PDF
C11/121,00121,121,Kirghizistan (CMN),Operational,PDF
C11/122,00122,122,République démocratique populaire lao (CMN),Operational,PDF
C11/123,00123,123,"Macao, Chine",Operational,PDF
C11/124,00124,124,Maldives (CMN),Operational,PDF
C11/125,00125,125,Myanmar (CMN),Operational,PDF
C11/126,00126,126,Népal (CMN),Operational,PDF
C11/127,00127,127,Oman (CMN),Operational,PDF
C11/128,00128,128,Pakistan (CMN),Operational,PDF
C11/129,00129,129,Qatar (CMN),Operational,PDF
C11/130,00130,130,Yémen (CMN),Operational,PDF
C11/131,00131,131,Sri Lanka (CMN),Operational,PDF
C11/132,00132,132,Tadjikistan (CMN),Operational,PDF
C11/133,00133,133,Turkménistan (CMN),Operational,PDF
C11/134,00134,134,Émirats arabes unis (CMN),Operational,PDF
C11/135,00135,135,Ouzbékistan (CMN),Operational,PDF
C11/136,00136,136,Viet Nam (CMN),Operational,PDF
