ID,CREX2,GRIB2_BUFR4,OriginatingGeneratingCentre_fr,Status,translation_source
C11/140,00140,140,Bolivie (État plurinational de) (CMN),Operational,PDF
C11/141,00141,141,Guyana (CMN),Operational,PDF
C11/143,00143,143,Suriname (CMN),Operational,PDF
C11/144,00144,144,Uruguay (CMN),Operational,PDF
C11/145,00145,145,Guyane française,Operational,PDF
C11/146,00146,146,Centre hydrographique de la marine brésilienne,Operational,PDF
C11/147,00147,147,Commission nationale des activités spatiales (CONAE) - Argentine,Operational,PDF
C11/148,00148,148,Département brésilien du contrôle de l'espace aérien (DECEA),Operational,PDF
C11/149,00149,149,En réserve pour d'autres centres,Operational,PDF
C11/150,00150,150,Antigua-et-Barbuda (CMN),Operational,PDF
C11/151,00151,151,Bahamas (CMN),Operational,PDF
C11/152,00152,152,Barbade (CMN),Operational,PDF
C11/153,00153,153,Belize (CMN),Operational,PDF
C11/154,00154,154,Centre des Territoires britanniques des Caraïbes,Operational,PDF
C11/155,00155,155,San José,Operational,PDF
C11/156,00156,156,Cuba (CMN),Operational,PDF
C11/157,00157,157,Dominique (CMN),Operational,PDF
C11/158,00158,158,République dominicaine (CMN),Operational,PDF
C11/159,00159,159,El Salvador (CMN),Operational,PDF
C11/160,00160,160,NOAA/NESDIS (États-Unis d'Amérique),Operational,PDF
C11/161,00161,161,Office of Oceanic and Atmospheric Research de la NOAA (États-Unis d'Amérique),Operational,PDF
C11/162,00162,162,Guatemala (CMN),Operational,PDF
C11/163,00163,163,Haïti (CMN),Operational,PDF
C11/164,00164,164,Honduras (CMN),Operational,PDF
C11/165,00165,165,Jamaïque (CMN),Operational,PDF
C11/166,00166,166,Mexique,Operational,PDF
C11/167,00167,167,Curaçao et Sint-Maarten (CMN),Operational,PDF
C11/168,00168,168,Nicaragua (CMN),Operational,PDF
C11/169,00169,169,Panama (CMN),Operational,PDF
C11/170,00170,170,Sainte-Lucie (CMN),Operational,PDF
C11/171,00171,171,Trinité-et-Tobago (CMN),Operational,PDF
C11/172,00172,172,Départements français dans la Région IV,Operational,PDF
C11/173,00173,173,Administration américaine pour l'aéronautique et l'espace (NASA),Operational,PDF
C11/174,00174,174,Gestion des données scientifiques intégrées/Service des données sur le milieu marin (GDSI/SDMM) - Canada,Operational,PDF
C11/175,00175,175,Corporation universitaire pour la recherche atmosphérique (UCAR) - États-Unis d'Amérique météorologiques (CIMSS) - États-Unis d'Amérique,Operational,PDF
C11/177,00177,177,National Ocean Service de la NOAA - État-Unis d'Amérique,Operational,PDF
C11/178,00178,178,"Spire Global, Inc.",Operational,PDF
C11/191,00191,191,Polynésie française (CMN),Operational,PDF
C11/192,00192,192,Tonga (CMN),Operational,PDF
C11/193,00193,193,Vanuatu (CMN),Operational,PDF
C11/194,00194,194,Brunéi Darussalam (CMN),Operational,PDF
C11/195,00195,195,Indonésie (CMN),Operational,PDF
C11/196,00196,196,Kiribati (CMN),Operational,PDF
C11/197,00197,197,États fédérés de Micronésie (CMN),Operational,PDF
C11/198,00198,198,Nouvelle-Calédonie (CMN),Operational,PDF
C11/199,00199,199,Nioué,Operational,PDF
C11/200,00200,200,Papouasie-Nouvelle-Guinée (CMN),Operational,PDF
C11/201,00201,201,Philippines (CMN),Operational,PDF
C11/202,00202,202,Samoa (CMN),Operational,PDF
C11/203,00203,203,Îles Salomon (CMN),Operational,PDF
C11/204,00204,204,National Institute of Water and Atmospheric Research (NIWA) - Nouvelle-Zélande,Operational,PDF
C11/210,00210,210,Frascati (ESA/ESRIN),Operational,PDF
C11/211,00211,211,Lannion,Operational,PDF
C11/212,00212,212,Lisbonne,Operational,PDF
C11/213,00213,213,Reykjavik,Operational,PDF
C11/214,00214,214,Madrid,Operational,PDF
C11/215,00215,215,Zurich,Operational,PDF
C11/216,00216,216,Service ARGOS Toulouse,Operational,PDF
C11/217,00217,217,Bratislava,Operational,PDF
C11/218,00218,218,Budapest,Operational,PDF
C11/219,00219,219,Ljubljana,Operational,PDF
C11/220,00220,220,Varsovie,Operational,PDF
C11/221,00221,221,Zagreb,Operational,PDF
C11/222,00222,222,Albanie (CMN),Operational,PDF
C11/223,00223,223,Arménie (CMN),Operational,PDF
C11/224,00224,224,Autriche (CMN),Operational,PDF
C11/225,00225,225,Azerbaïdjan (CMN),Operational,PDF
C11/226,00226,226,Bélarus (CMN),Operational,PDF
C11/227,00227,227,Belgique (CMN),Operational,PDF
C11/228,00228,228,Bosnie-Herzégovine (CMN),Operational,PDF
C11/229,00229,229,Bulgarie (CMN),Operational,PDF
C11/230,00230,230,Chypre (CMN),Operational,PDF
C11/231,00231,231,Estonie (CMN),Operational,PDF
C11/232,00232,232,Géorgie (CMN),Operational,PDF
C11/233,00233,233,Dublin,Operational,PDF
C11/234,00234,234,Israël (CMN),Operational,PDF
C11/235,00235,235,Jordanie (CMN),Operational,PDF
C11/236,00236,236,Lettonie (CMN),Operational,PDF
C11/237,00237,237,Liban (CMN),Operational,PDF
C11/238,00238,238,Lituanie (CMN),Operational,PDF
C11/239,00239,239,Luxembourg,Operational,PDF
C11/240,00240,240,Malte (CMN),Operational,PDF
C11/241,00241,241,Monaco,Operational,PDF
C11/242,00242,242,Roumanie (CMN),Operational,PDF
C11/243,00243,243,République arabe syrienne (CMN),Operational,PDF
C11/244,00244,244,Macédoine du Nord (CMN),Operational,PDF
C11/245,00245,245,Ukraine (CMN),Operational,PDF
C11/246,00246,246,République de Moldova (CMN) obtenues par radar météorologique (OPERA) - EUMETNET,Operational,PDF
C11/248,00248,248,Monténégro (CMN),Operational,PDF
C11/249,00249,249,"Centre de prévision des tempêtes de poussière, Barcelone",Operational,PDF
C11/250,00250,250,Consortium pour la modélisation à petite échelle (COSMO),Operational,PDF
C11/251,00251,251,Coopération météorologique en faveur de la prévision numérique opérationnelle (MetCoOp),Operational,PDF
C11/252,00252,252,Institut de météorologie Max Planck (MPI-M),Operational,PDF
C11/253,00253,253,En réserve pour d'autres centres,Operational,PDF
C11/254,00254,254,Centre d'exploitation d'EUMETSAT,Operational,PDF
C11/255,00255,255,Ne pas utiliser,Operational,PDF
C11/256,00256,256,Angola (CMN),Operational,PDF
C11/257,00257,257,Bénin (CMN),Operational,PDF
C11/258,00258,258,Botswana (CMN),Operational,PDF
C11/259,00259,259,Burkina Faso (CMN),Operational,PDF
C11/260,00260,260,Burundi (CMN),Operational,PDF
C11/261,00261,261,Cameroun (CMN),Operational,PDF
C11/262,00262,262,Cabo Verde (CMN),Operational,PDF
C11/263,00263,263,République centrafricaine (CMN),Operational,PDF
C11/264,00264,264,Tchad (CMN),Operational,PDF
C11/265,00265,265,Comores (CMN),Operational,PDF
C11/266,00266,266,République démocratique du Congo (CMN),Operational,PDF
C11/267,00267,267,Djibouti (CMN),Operational,PDF
C11/268,00268,268,Érythrée (CMN),Operational,PDF
C11/269,00269,269,Éthiopie (CMN),Operational,PDF
C11/270,00270,270,Gabon (CMN),Operational,PDF
C11/272,00272,272,Ghana (CMN),Operational,PDF
C11/273,00273,273,Guinée (CMN),Operational,PDF
C11/274,00274,274,Guinée-Bissau (CMN),Operational,PDF
C11/275,00275,275,Lesotho (CMN),Operational,PDF
C11/276,00276,276,Libéria (CMN),Operational,PDF
C11/277,00277,277,Malawi (CMN),Operational,PDF
C11/278,00278,278,Mali (CMN),Operational,PDF
C11/279,00279,279,Mauritanie (CMN),Operational,PDF
C11/280,00280,280,Namibie (CMN),Operational,PDF
C11/281,00281,281,Nigéria (CMN),Operational,PDF
C11/282,00282,282,Rwanda (CMN),Operational,PDF
C11/283,00283,283,Sao Tomé-et-Principe (CMN),Operational,PDF
C11/284,00284,284,Sierra Leone (CMN),Operational,PDF
C11/285,00285,285,Somalie (CMN),Operational,PDF
C11/286,00286,286,Soudan (CMN),Operational,PDF
C11/287,00287,287,Eswatini (CMN),Operational,PDF
C11/288,00288,288,Togo (CMN),Operational,PDF
C11/289,00289,289,Zambie (CMN),Operational,PDF
C11/290,00290,290,E-Profile (EUMETNET),Operational,PDF
C11/65535,65535,65535,Valeur manquante,Operational,PDF
