ID,CodeFigure,UnitType_fr,Meaning_fr,conventional,IA5-ASCII,ITA2,SIDefinition,Note,NoteID,Status,translation_source
C06/001,001,Unité de base du SI,mètre,m,m,M,,(see Note 1),19,Operational,PDF
C06/002,002,Unité de base du SI,kilogramme,kg,kg,KG,,,,Operational,PDF
C06/003,003,Unité de base du SI,seconde,s,s,S,,,,Operational,PDF
C06/004,004,Unité de base du SI,ampère,A,A,A,,,,Operational,PDF
C06/005,005,Unité de base du SI,kelvin,K,K,K,,,,Operational,PDF
C06/006,006,Unité de base du SI,mole,mol,mol,MOL,,,,Operational,PDF
C06/007,007,Unité de base du SI,candela,cd,cd,CD,,,,Operational,PDF
C06/021,021,Unités dérivées du SI ayant des noms particuliers,radian,rad,rad,RAD,,(see Note 1),19,Operational,PDF
C06/022,022,Unités dérivées du SI ayant des noms particuliers,stéradian,sr,sr,SR,,,,Operational,PDF
C06/030,030,Unités dérivées du SI ayant des noms particuliers,hertz,Hz,Hz,HZ,s-^1,(see Note 1),19,Operational,PDF
C06/031,031,Unités dérivées du SI ayant des noms particuliers,newton,N,N,N,kg m s^-2,,,Operational,PDF
C06/032,032,Unités dérivées du SI ayant des noms particuliers,pascal,Pa,Pa,PAL,kg m^-1 s^-2,,,Operational,PDF
C06/033,033,Unités dérivées du SI ayant des noms particuliers,joule,J,J,J,kg m^2 s^-2,,,Operational,PDF
C06/034,034,Unités dérivées du SI ayant des noms particuliers,watt,W,W,W,kg m^2 s^-3,,,Operational,PDF
C06/035,035,Unités dérivées du SI ayant des noms particuliers,coulomb,C,C,C,A s,,,Operational,PDF
C06/036,036,Unités dérivées du SI ayant des noms particuliers,volt,V,V,V,kg m^2 s^-3 A^-1,,,Operational,PDF
C06/037,037,Unités dérivées du SI ayant des noms particuliers,farad,F,F,F,kg^-1 m^-2 s^4 A^2,,,Operational,PDF
C06/038,038,Unités dérivées du SI ayant des noms particuliers,ohm,Ω,Ohm,OHM,kg m^2 s^-3 A^-2,,,Operational,PDF
