ID,CodeFigure,UnitType_fr,Meaning_fr,conventional,IA5-ASCII,ITA2,SIDefinition,Note,NoteID,Status,translation_source
C06/039,039,Unités dérivées du SI ayant des noms particuliers,siemens,S,S,SIE,kg^-1 m^-2 s^3 A^2,,,Operational,PDF
C06/040,040,Unités dérivées du SI ayant des noms particuliers,weber,Wb,Wb,WB,kg m^2 s^-2 A^-1,,,Operational,PDF
C06/041,041,Unités dérivées du SI ayant des noms particuliers,tesla,T,T,T,kg s^-2 A^-1,,,Operational,PDF
C06/042,042,Unités dérivées du SI ayant des noms particuliers,henry,H,H,H,kg m^2 s^-2 A^-2,,,Operational,PDF
C06/060,060,Unités dérivées du SI ayant des noms particuliers,degré Celsius,˚C,Cel,CEL,K+273.15,,,Operational,PDF
C06/070,070,Unités dérivées du SI ayant des noms particuliers,lumen,lm,lm,LM,cd sr,,,Operational,PDF
C06/071,071,Unités dérivées du SI ayant des noms particuliers,lux,lx,lx,LX,cd sr m^-2,,,Operational,PDF
C06/080,080,Unités dérivées du SI ayant des noms particuliers,becquerel,Bq,Bq,BQ,s^-1,,,Operational,PDF
C06/081,081,Unités dérivées du SI ayant des noms particuliers,grey,Gy,Gy,GY,m^2 s^-2,,,Operational,PDF
C06/082,082,Unités dérivées du SI ayant des noms particuliers,sievert,Sv,Sv,SV,m^2 s^-2,,,Operational,PDF
C06/110,110,Autres unités n’appartenant pas au SI reconnues par la CGPM,degré (angle),˚,deg,DEG,,(see Note 4),10,Operational,PDF
C06/111,111,Autres unités n’appartenant pas au SI reconnues par la CGPM,minute (angle),',',MNT,,(see Note 10),27,Operational,PDF
C06/112,112,Autres unités n’appartenant pas au SI reconnues par la CGPM,"seconde (angle)","""","""",SEC,,(see Note 10),27,Operational,PDF
C06/120,120,Autres unités n’appartenant pas au SI reconnues par la CGPM,litre,l or L,l or L,L,,,,Operational,PDF
C06/130,130,Autres unités n’appartenant pas au SI reconnues par la CGPM,minute (temps),min,min,MIN,,,,Operational,PDF
C06/131,131,Autres unités n’appartenant pas au SI reconnues par la CGPM,heure,h,h,HR,,,,Operational,PDF
C06/132,132,Autres unités n’appartenant pas au SI reconnues par la CGPM,jour,d,d,D,,,,Operational,PDF
C06/150,150,Autres unités n’appartenant pas au SI reconnues par la CGPM,tonne,t,t,TNE,,,,Operational,PDF
C06/160,160,Autres unités n’appartenant pas au SI reconnues par la CGPM,électronvolt,eV,eV,EV,,,,Operational,PDF
C06/161,161,Autres unités n’appartenant pas au SI reconnues par la CGPM,unité de masse atomique,u,u,U,,(see Note 11),28,Operational,PDF
C06/170,170,Autres unités n’appartenant pas au SI reconnues par la CGPM,unité astronomique,AU,AU,ASU,,,,Operational,PDF
C06/210,210,Autres unités n’appartenant pas au SI reconnues par la CGPM,décibel,dB,dB,DB,,(see Note 6),17,Operational,PDF
C06/220,220,Autres unités n’appartenant pas au SI reconnues par la CGPM,hectare,ha,ha,HAR,,,,Operational,PDF
C06/171,171,Autres unités,parsec,pc,pc,PRS,,(see Note 7),21,Operational,PDF
C06/200,200,Autres unités,mille marin,,,,,,,Operational,PDF
C06/201,201,Autres unités,nœud,kt,kt,KT,,,,Operational,PDF
C06/230,230,Autres unités,semaine,,,,,,,Operational,PDF
C06/231,231,Autres unités,année,a,a,A,,,,Operational,PDF
C06/300,300,Autres unités,pourcentage,%,%,PERCENT,,,,Operational,PDF
C06/301,301,Autres unités,partie par millier,‰,0/00,PERTHOU,,,,Operational,PDF
C06/310,310,Autres unités,huitième de la voûte céleste,okta,okta,OKTA,,,,Operational,PDF
C06/320,320,Autres unités,degré vrai,˚,deg,DEG,,,,Operational,PDF
C06/321,321,Autres unités,degré par seconde,degree/s,deg/s,DEG/S,,,,Operational,PDF
C06/350,350,Autres unités,degré Celsius,˚C,C,C,,(see Note 8),13,Operational,PDF
C06/351,351,Autres unités,degré Celsius par mètre,˚C/m,C/m,C/M,,,,Operational,PDF
C06/352,352,Autres unités,degré Celsius par 100 mètres,˚C/100 m,C/100 m,C/100 M,,,,Operational,PDF
C06/360,360,Autres unités,Dobson,DU,DU,DU,,(see Note 9),4,Operational,PDF
C06/430,430,Autres unités,mois,mon,mon,MON,,,,Operational,PDF
C06/441,441,Autres unités,par seconde (identique à hertz),s^-1,/s,/S,,,,Operational,PDF
C06/442,442,Autres unités,par seconde carrée,s^-2,s-2,,,,,Operational,PDF
C06/501,501,Autres unités,nœud par 1000 mètres,kt/1000 m,kt/km,KT/KM,,,,Operational,PDF
C06/510,510,Autres unités,pied,ft,ft,FT,,,,Operational,PDF
C06/511,511,Autres unités,pouce,in,in,IN,,,,,PDF
C06/520,520,Autres unités,décipascal par seconde (microbar par seconde),dPa s^-1,dPa/s,DPAL/S,,,,Operational,PDF
C06/521,521,Autres unités,centibar par seconde,cb s^-1,cb/s,CB/S,,,,Operational,PDF
C06/522,522,Autres unités,centibar par 12 heures,cb/12 h,cb/12 h,CB/12 HR,,,,Operational,PDF
C06/523,523,Autres unités,décapascal,daPa,daPa,DAPAL,,,,Operational,PDF
C06/530,530,Autres unités,hectopascal,hPa,hPa,HPAL,,,,Operational,PDF
C06/531,531,Autres unités,hectopascal par seconde,hPa s^-1,hPa/s,HPAL/S,,,,Operational,PDF
C06/532,532,Autres unités,hectopascal par heure,hPa h^-1,hPa/h,HPAL/HR,,,,Operational,PDF
C06/533,533,Autres unités,hectopascal par 3 heures,hPa/3 h,hPa/3 h,HPAL/3 HR,,,,Operational,PDF
C06/535,535,Autres unités,nanobar = hPa 10 -6,nbar,nbar,NBAR,,,,Operational,PDF
C06/620,620,Autres unités,gramme par kilogramme,g kg^-1,g/kg,G/KG,,,,Operational,PDF
C06/621,621,Autres unités,gramme par kilogramme par seconde,g kg^-1 s^-1,g kg-1 s-1,,,,,Operational,PDF
C06/622,622,Autres unités,kilogramme par kilogramme,kg kg^-1,kg/kg,KG/KG,,,,Operational,PDF
C06/623,623,Autres unités,kilogramme par kilogramme par seconde,kg kg^-1 s^-1,kg kg-1 s-1,,,,,Operational,PDF
C06/624,624,Autres unités,kilogramme par mètre carré,kg m^-2,kg m-2,,,,,Operational,PDF
C06/630,630,Autres unités,accélération de la pesanteur,g,g,,,,,Operational,PDF
C06/631,631,Autres unités,mètre géopotentiel,gpm,gpm,,,,,Operational,PDF
C06/710,710,Autres unités,millimètre,mm,mm,MM,,,,Operational,PDF
C06/711,711,Autres unités,millimètre par seconde,mm s^-1,mm/s,MM/S,,,,Operational,PDF
C06/712,712,Autres unités,millimètre par heure,mm h^-1,mm/h,MM/HR,,,,Operational,PDF
C06/713,713,Autres unités,millimètre puissance six par mètre cube,mm^6 m^-3,mm6 m-3,,,,,Operational,PDF
C06/715,715,Autres unités,centimètre,cm,cm,CM,,,,Operational,PDF
C06/716,716,Autres unités,centimètre par seconde,cm s^-1,cm/s,CM/S,,,,Operational,PDF
C06/717,717,Autres unités,centimètre par heure,cm h^-1,cm/h,CM/HR,,,,Operational,PDF
C06/720,720,Autres unités,décimètre,dm,dm,DM,,,,Operational,PDF
C06/731,731,Autres unités,mètre par seconde,m s^-1,m/s,M/S,,,,Operational,PDF
C06/732,732,Autres unités,mètre par seconde par mètre,m s^-1/m,m s-1/m,,,,,Operational,PDF
C06/733,733,Autres unités,mètre par seconde par 1000 mètres,m s^-1/1000 m,m s-1/km,,,,,Operational,PDF
C06/734,734,Autres unités,mètre carré,m^2,m2,M2,,,,Operational,PDF
C06/735,735,Autres unités,mètre carré par seconde,m^2 s^-1,m2/s,M2/S,,,,Operational,PDF
C06/740,740,Autres unités,kilomètre,km,km,KM,,,,Operational,PDF
C06/741,741,Autres unités,kilomètre par heure,km h^-1,km/h,KM/HR,,,,Operational,PDF
C06/742,742,Autres unités,kilomètre par jour,km/d,km/d,KM/D,,,,Operational,PDF
C06/743,743,Autres unités,par mètre,m^-1,m-1,/M,,,,Operational,PDF
C06/750,750,Autres unités,becquerel par litre,Bq l^-1,Bq/l,BQ/L,,,,Operational,PDF
C06/751,751,Autres unités,becquerel par mètre carré,Bq m^-2,Bq m-2,BQ/M2,,,,Operational,PDF
C06/752,752,Autres unités,becquerel par mètre cube,Bq m^-3,Bq m-3,BQ/M3,,,,Operational,PDF
C06/753,753,Autres unités,millisievert,mSv,mSv,MSV,,,,Operational,PDF
C06/760,760,Autres unités,mètre par seconde carrée,m s^-2,m s-2,,,,,Operational,PDF
C06/761,761,Autres unités,mètre carré-seconde,m^2 s,m2 s,,,,,Operational,PDF
C06/762,762,Autres unités,mètre carré par seconde carrée,m^2 s^-2,m2 s-2,,,,,Operational,PDF
C06/763,763,Autres unités,mètre carré par radianseconde,m^2 rad^-1 s,m2 rad-1 s,,,,,Operational,PDF
C06/764,764,Autres unités,mètre carré par hertz,m^2 Hz^-1,m2/Hz,,,,,Operational,PDF
C06/765,765,Autres unités,mètre cube,m^3,m3,,,,,Operational,PDF
C06/766,766,Autres unités,mètre cube par seconde,m^3 s^-1,m3/s,,,,,Operational,PDF
C06/767,767,Autres unités,mètre cube par mètre cube,m^3 m^-3,m3 m-3,,,,,Operational,PDF
C06/768,768,Autres unités,mètre puissance quatre,m^4,m4,,,,,Operational,PDF
C06/769,769,Autres unités,mètre puissance deux tiers par seconde,m^2/3 s^-1,m2/3 s-1,,,,,Operational,PDF
C06/772,772,Autres unités,logarithme par mètre,log (m^-1),log (m-1),,,,,Operational,PDF
C06/773,773,Autres unités,logarithme par mètre carré,log (m^-2),log (m-2),,,,,Operational,PDF
C06/775,775,Autres unités,kilogramme par mètre,km m^-1,kg/m,,,,,Operational,PDF
C06/776,776,Autres unités,kilogramme par mètre carré par seconde,kg m^-2 s^-1,kg m-2 s-1,,,,,Operational,PDF
C06/777,777,Autres unités,kilogramme par mètre cube,kg m^-3,kg m-3,,,,,Operational,PDF
C06/778,778,Autres unités,par kilogramme carré par seconde,kg^-2 s^-1,kg-2 s-1,,,,,Operational,PDF
C06/779,779,Autres unités,seconde par mètre,s m^-1,s/m,,,,,Operational,PDF
C06/785,785,Autres unités,mètre-kelvin par seconde,K m s^-1,K m s-1,,,,,Operational,PDF
C06/786,786,Autres unités,kelvin par mètre,K m^-1,K/m,,,,,Operational,PDF
C06/787,787,Autres unités,mètre carré-kelvin par kilogramme par seconde,K m^2 kg^-1 s^-1,K m2 kg-1 s-1,,,,,Operational,PDF
C06/788,788,Autres unités,mole par mole, mol mol^-1,mol/mol,,,,,Operational,PDF
C06/790,790,Autres unités,radian par mètre,rad m^-1,rad/m,,,,,Operational,PDF
C06/795,795,Autres unités,newton par mètre carré,N m^-2,N m-2,,,,,Operational,PDF
C06/800,800,Autres unités,pascal par seconde,Pa s^-1,Pa/s,,,,,Operational,PDF
C06/801,801,Autres unités,kilopascal,kPa,kPa,,,,,Operational,PDF
C06/805,805,Autres unités,joule par mètre carré,J m^-2,J m-2,,,,,Operational,PDF
C06/806,806,Autres unités,joule par kilogramme,J kg^-1,J/kg,,,,,Operational,PDF
C06/810,810,Autres unités,watt par mètre par stéradian,W m^-1 sr^-1,W m-1 sr-1,,,,,Operational,PDF
C06/811,811,Autres unités,watt par mètre carré,W m^-2,W m-2,,,,,Operational,PDF
C06/812,812,Autres unités,watt par mètre carré par stéradian,W m^-2 sr^-1,W m-2 sr-1,,,,,Operational,PDF
C06/813,813,Autres unités,watt par mètre carré par stéradian centimètre,W m^-2 sr^-1 cm,W m-2 sr-1 cm,,,,,Operational,PDF
C06/814,814,Autres unités,watt par mètre carré par stéradian mètre,W m^-2 sr^-1 m,W m-2 sr-1 m,,,,,Operational,PDF
C06/815,815,Autres unités,watt par mètre cube par stéradian,W m^-3 sr^-1,W m-3 sr-1,,,,,Operational,PDF
C06/820,820,Autres unités,siemens par mètre,S m^-1,S/m,,,,,Operational,PDF
C06/825,825,Autres unités,degré carré,degrees^2,deg2,,,,,Operational,PDF
C06/830,830,Autres unités,becquerel-seconde par mètre cube,Bq s m^-3,Bq s m-3,,,,,Operational,PDF
C06/835,835,Autres unités,décibel par mètre,dB m^-1,dB/m,,,(see Note 6),17,Operational,PDF
C06/836,836,Autres unités,décibel par degré,dB degree^-1,dB/deg,,,(see Note 6),17,Operational,PDF
C06/841,841,Autres unités,unité pH,pH unit,pH unit,,,,,Operational,PDF
C06/842,842,Autres unités,unité N,N units,N units,,,,,Operational,PDF
C06/843,843,Autres unités,Unité de turbidité néphélométrique,NTU,,,,,,Operational,PDF
C06/844,844,Autres unités,Unité de contenu total d'électrons,TECU,,,10^16 Electrons m^-2,,,,PDF
