ID,CodeFigure,Meaning_fr,ChemicalFormula,Status,translation_source
C14/20004,20004,,Cl2FC-CClF2,Operational,NA
C14/20005,20005,,Cl3C-CF3,Operational,NA
C14/20006,20006,,ClF2C-CClF2,Operational,NA
C14/20007,20007,,ClF2C-CF3,Operational,NA
C14/20008,20008,,CHClF2,Operational,NA
C14/20009,20009,,Cl2FC-CH3,Operational,NA
C14/20010,20010,,ClF2C-CH3,Operational,NA
C14/20011,20011,Halon-1202 (dibromodifluorométhane),CBr2F2,Operational,PDF
C14/20012,20012,Halon-1211 (bromochlorodifluorométhane),CBrClF2,Operational,PDF
C14/20013,20013,Halon-1301 (bromotrifluorométhane),CBrF3,Operational,PDF
C14/20014,20014,"Halon-2402 (1,2-dibromo-1,1,2,2-tétrafluoroéthane)",BrF2C-CBrF2,Operational,PDF
C14/20015,20015,,CH3Cl,Operational,NA
C14/20016,20016,,CCl4,Operational,NA
C14/20017,20017,,Cl3C-CH3,Operational,NA
C14/20018,20018,,CH3Br,Operational,NA
C14/20019,20019,HCH (hexachlorocyclohexane) tous isomères,C6H6Cl6,Operational,PDF
C14/20020,20020,α-HCH (α-hexachlorocyclohexane) deux énantiomères,&alpha;-C6H6Cl6,Operational,PDF
C14/20021,20021,"PCB-153 (2,2',4,4',5,5'-hexachlorobiphenyle)",(C6H2Cl3)2,Operational,PDF
C14/20022,20022,,Cl2HC-CH2F,Operational,NA
C14/20023-29999,20023-29999,,,Operational,NA
C14/30000,30000,"Polluant radioactif (traceur, défini par le centre d'origine)",,Operational,PDF
C14/30001-30009,30001-30009,,,Operational,NA
C14/30010,30010,Tritium (Hydrogène 3),H-3,Operational,PDF
C14/30011,30011,Tritium organique lié,H-3o,Operational,PDF
C14/30012,30012,Tritium inorganique,H-3a,Operational,PDF
C14/30013,30013,Béryllium 7,Be-7,Operational,PDF
C14/30014,30014,Béryllium 10,Be-10,Operational,PDF
C14/30015,30015,,C-14,Operational,NA
C14/30016,30016,,C-14CO2,Operational,NA
C14/30017,30017,,C-14og,Operational,NA
C14/30018,30018,Azote 13,N-13,Operational,PDF
C14/30019,30019,Azote 16,N-16,Operational,PDF
C14/30020,30020,Fluor 18,F-18,Operational,PDF
C14/30021,30021,Sodium 22,Na-22,Operational,PDF
C14/30022,30022,Phosphate 32,P-32,Operational,PDF
C14/30023,30023,Phosphate 33,P-33,Operational,PDF
C14/30024,30024,Soufre 35,S-35,Operational,PDF
C14/30025,30025,Chlore 36,Cl-36,Operational,PDF
C14/30026,30026,Potassium 40,K-40,Operational,PDF
C14/30027,30027,Argon 41,Ar-41,Operational,PDF
C14/30028,30028,Calcium 41,Ca-41,Operational,PDF
C14/30029,30029,Calcium 45,Ca-45,Operational,PDF
C14/30030,30030,Titane 44,Ti-44,Operational,PDF
C14/30031,30031,,Sc-46,Operational,NA
C14/30032,30032,Vanadium 48,V-48,Operational,PDF
C14/30033,30033,Vanadium 49,V-49,Operational,PDF
C14/30034,30034,Chrome 51,Cr-51,Operational,PDF
C14/30035,30035,Manganèse 52,Mn-52,Operational,PDF
C14/30036,30036,Manganèse 54,Mn-54,Operational,PDF
C14/30037,30037,Fer 55,Fe-55,Operational,PDF
C14/30038,30038,Fer 59,Fe-59,Operational,PDF
C14/30039,30039,Cobalt 56,Co-56,Operational,PDF
C14/30040,30040,Cobalt 57,Co-57,Operational,PDF
C14/30041,30041,Cobalt 58,Co-58,Operational,PDF
C14/30042,30042,Cobalt 60,Co-60,Operational,PDF
C14/30043,30043,Nickel 59,Ni-59,Operational,PDF
C14/30044,30044,Nickel 63,Ni-63,Operational,PDF
C14/30045,30045,Zinc 65,Zn-65,Operational,PDF
C14/30046,30046,Gallium 67,Ga-67,Operational,PDF
C14/30047,30047,Gallium 68,Ga-68,Operational,PDF
C14/30048,30048,Germanium 68,Ge-68,Operational,PDF
C14/30049,30049,Germanium 69,Ge-69,Operational,PDF
C14/30050,30050,Arsenic 73,As-73,Operational,PDF
C14/30051,30051,Sélénium 75,Se-75,Operational,PDF
C14/30052,30052,Sélénium 79,Se-79,Operational,PDF
C14/30053,30053,Rubidium 81,Rb-81,Operational,PDF
C14/30054,30054,Rubidium 83,Rb-83,Operational,PDF
C14/30055,30055,Rubidium 84,Rb-84,Operational,PDF
C14/30056,30056,Rubidium 86,Rb-86,Operational,PDF
C14/30057,30057,Rubidium 87,Rb-87,Operational,PDF
C14/30058,30058,Rubidium 88,Rb-88,Operational,PDF
C14/30059,30059,Krypton 85,Kr-85,Operational,PDF
C14/30060,30060,Krypton 85 métastable,Kr-85m,Operational,PDF
C14/30061,30061,Krypton 87,Kr-87,Operational,PDF
C14/30062,30062,Krypton 88,Kr-88,Operational,PDF
C14/30063,30063,Krypton 89,Kr-89,Operational,PDF
C14/30064,30064,Strontium 85,Sr-85,Operational,PDF
C14/30065,30065,Strontium 89,Sr-89,Operational,PDF
C14/30066,30066,Strontium 89/90,Sr-8990,Operational,PDF
C14/30067,30067,Strontium 90,Sr-90,Operational,PDF
C14/30068,30068,Strontium 91,Sr-91,Operational,PDF
C14/30069,30069,Strontium 92,Sr-92,Operational,PDF
C14/30070,30070,Yttrium 87,Y-87,Operational,PDF
C14/30071,30071,Yttrium 88,Y-88,Operational,PDF
C14/30072,30072,Yttrium 90,Y-90,Operational,PDF
C14/30073,30073,Yttrium 91,Y-91,Operational,PDF
C14/30074,30074,Yttrium 91 métastable,Y-91m,Operational,PDF
C14/30075,30075,Yttrium 92,Y-92,Operational,PDF
C14/30076,30076,Yttrium 93,Y-93,Operational,PDF
C14/30077,30077,Zirconium 89,Zr-89,Operational,PDF
C14/30078,30078,Zirconium 93,Zr-93,Operational,PDF
C14/30079,30079,Zirconium 95,Zr-95,Operational,PDF
C14/30080,30080,Zirconium 97,Zr-97,Operational,PDF
C14/30081,30081,Niobium 93 métastable,Nb-93m,Operational,PDF
C14/30082,30082,Niobium 94,Nb-94,Operational,PDF
C14/30083,30083,Niobium 95,Nb-95,Operational,PDF
C14/30084,30084,Niobium 95 métastable,Nb-95m,Operational,PDF
C14/30085,30085,Niobium 97,Nb-97,Operational,PDF
C14/30086,30086,Niobium 97 métastable,Nb-97m,Operational,PDF
C14/30087,30087,Molybdène 93,Mo-93,Operational,PDF
C14/30088,30088,Molybdène 99,Mo-99,Operational,PDF
C14/30089,30089,,Tc-95m,Operational,NA
C14/30090,30090,,Tc-96,Operational,NA
C14/30091,30091,,Tc-99,Operational,NA
C14/30092,30092,,Tc-99m,Operational,NA
C14/30093,30093,Rhodium 99,Rh-99,Operational,PDF
C14/30094,30094,Rhodium 101,Rh-101,Operational,PDF
C14/30095,30095,Rhodium 102 métastable,Rh-102m,Operational,PDF
C14/30096,30096,Rhodium 103 métastable,Rh-103m,Operational,PDF
C14/30097,30097,Rhodium 105,Rh-105,Operational,PDF
C14/30098,30098,Rhodium 106,Rh-106,Operational,PDF
C14/30099,30099,Palladium 100,Pd-100,Operational,PDF
C14/30100,30100,Palladium 103,Pd-103,Operational,PDF
C14/30101,30101,Palladium 107,Pd-107,Operational,PDF
C14/30102,30102,Ruthénium 103,Ru-103,Operational,PDF
C14/30103,30103,Ruthénium 105,Ru-105,Operational,PDF
C14/30104,30104,Ruthénium 106,Ru-106,Operational,PDF
C14/30105,30105,Argent 108 métastable,Ag-108m,Operational,PDF
C14/30106,30106,Argent 110 métastable,Ag-110m,Operational,PDF
C14/30107,30107,Cadmium 109,Cd-109,Operational,PDF
C14/30108,30108,Cadmium 113 métastable,Cd-113m,Operational,PDF
C14/30109,30109,Cadmium 115 métastable,Cd-115m,Operational,PDF
C14/30110,30110,Indium 114 métastable,In-114m,Operational,PDF
C14/30111,30111,Étain 113,Sn-113,Operational,PDF
C14/30112,30112,Étain 119 métastable,Sn-119m,Operational,PDF
C14/30113,30113,Étain 121 métastable,Sn-121m,Operational,PDF
C14/30114,30114,Étain 122,Sn-122,Operational,PDF
C14/30115,30115,Étain 123,Sn-123,Operational,PDF
C14/30116,30116,Étain 126,Sn-126,Operational,PDF
C14/30117,30117,Antimoine 124,Sb-124,Operational,PDF
C14/30118,30118,Antimoine 125,Sb-125,Operational,PDF
C14/30119,30119,Antimoine 126,Sb-126,Operational,PDF
C14/30120,30120,Antimoine 127,Sb-127,Operational,PDF
C14/30121,30121,Antimoine 129,Sb-129,Operational,PDF
C14/30122,30122,Tellure 123 métastable,Te-123m,Operational,PDF
C14/30123,30123,Tellure 125 métastable,Te-125m,Operational,PDF
C14/30124,30124,Tellure 127,Te-127,Operational,PDF
C14/30125,30125,Tellure 127 métastable,Te-127m,Operational,PDF
C14/30126,30126,Tellure 129,Te-129,Operational,PDF
C14/30127,30127,Tellure 129 métastable,Te-129m,Operational,PDF
C14/30128,30128,Tellure 131 métastable,Te-131m,Operational,PDF
C14/30129,30129,Tellure 132,Te-132,Operational,PDF
C14/30130,30130,Iode 123,I-123,Operational,PDF
C14/30131,30131,Iode 124,I-124,Operational,PDF
C14/30132,30132,Iode 125,I-125,Operational,PDF
C14/30133,30133,Iode 126,I-126,Operational,PDF
C14/30134,30134,Iode 129,I-129,Operational,PDF
C14/30135,30135,Iode 129 élémentaire gazeux,I-129g,Operational,PDF
C14/30136,30136,Iode 129 organique lié,I-129o,Operational,PDF
C14/30137,30137,Iode 131,I-131,Operational,PDF
C14/30138,30138,Iode 131 élémentaire gazeux,I-131g,Operational,PDF
C14/30139,30139,Iode 131 organique lié,I-131o,Operational,PDF
C14/30140,30140,Iode 131 élémentaire gazeux et organique lié,I-131go,Operational,PDF
C14/30141,30141,Iode 131 aérosol,I-131a,Operational,PDF
C14/30142,30142,Iode 132,I-132,Operational,PDF
C14/30143,30143,Iode 132 élémentaire gazeux,I-132g,Operational,PDF
C14/30144,30144,Iode 132 organique lié,I-132o,Operational,PDF
C14/30145,30145,Iode 132 élémentaire gazeux et organique lié,I-132go,Operational,PDF
C14/30146,30146,Iode 132 aérosol,I-132a,Operational,PDF
C14/30147,30147,Iode 133,I-133,Operational,PDF
C14/30148,30148,Iode 133 élémentaire gazeux,I-133g,Operational,PDF
C14/30149,30149,Iode 133 organique lié,I-133o,Operational,PDF
C14/30150,30150,Iode 133 élémentaire gazeux et organique lié,I-133go,Operational,PDF
C14/30151,30151,Iode 133 aérosol,I-133a,Operational,PDF
C14/30152,30152,Iode 134,I-134,Operational,PDF
C14/30153,30153,Iode 134 élémentaire gazeux,I-134g,Operational,PDF
C14/30154,30154,Iode 134 organique lié,I-134o,Operational,PDF
C14/30155,30155,Iode 135,I-135,Operational,PDF
C14/30156,30156,Iode 135 élémentaire gazeux,I-135g,Operational,PDF
C14/30157,30157,Iode 135 organique lié,I-135o,Operational,PDF
C14/30158,30158,Iode 135 élémentaire gazeux et organique lié,I-135go,Operational,PDF
C14/30159,30159,Iode 135 aérosol,I-135a,Operational,PDF
C14/30160,30160,Xénon 131 métastable,Xe-131m,Operational,PDF
C14/30161,30161,Xénon 133,Xe-133,Operational,PDF
C14/30162,30162,Xénon 133 métastable,Xe-133m,Operational,PDF
C14/30163,30163,Xénon 135,Xe-135,Operational,PDF
C14/30164,30164,Xénon 135 métastable,Xe-135m,Operational,PDF
C14/30165,30165,Xénon 137,Xe-137,Operational,PDF
C14/30166,30166,Xénon 138,Xe-138,Operational,PDF
C14/30167,30167,"Xénon, somme de tous les isotopes de xénon",Xe-sum,Operational,PDF
C14/30168,30168,Césium 131,Cs-131,Operational,PDF
C14/30169,30169,Césium 134,Cs-134,Operational,PDF
C14/30170,30170,Césium 135,Cs-135,Operational,PDF
C14/30171,30171,Césium 136,Cs-136,Operational,PDF
C14/30172,30172,Césium 137,Cs-137,Operational,PDF
C14/30173,30173,Baryum 133,Ba-133,Operational,PDF
C14/30174,30174,Baryum 137 métastable,Ba-137m,Operational,PDF
C14/30175,30175,Baryum 140,Ba-140,Operational,PDF
C14/30176,30176,Cérium 139,Ce-139,Operational,PDF
C14/30177,30177,Cérium 141,Ce-141,Operational,PDF
C14/30178,30178,Cérium 143,Ce-143,Operational,PDF
C14/30179,30179,Cérium 144,Ce-144,Operational,PDF
C14/30180,30180,Lanthane 140,La-140,Operational,PDF
C14/30181,30181,Lanthane 141,La-141,Operational,PDF
C14/30182,30182,Praséodyme 143,Pr-143,Operational,PDF
C14/30183,30183,Praséodyme 144,Pr-144,Operational,PDF
C14/30184,30184,Praséodyme 144 métastable,Pr-144m,Operational,PDF
C14/30185,30185,Samarium 145,Sm-145,Operational,PDF
C14/30186,30186,Samarium 147,Sm-147,Operational,PDF
C14/30187,30187,Samarium 151,Sm-151,Operational,PDF
C14/30188,30188,Néodyme 147,Nd-147,Operational,PDF
C14/30189,30189,Prométhium 146,Pm-146,Operational,PDF
C14/30190,30190,Prométhium 147,Pm-147,Operational,PDF
C14/30191,30191,Prométhium 151,Pm-151,Operational,PDF
C14/30192,30192,Europium 152,Eu-152,Operational,PDF
C14/30193,30193,Europium 154,Eu-154,Operational,PDF
C14/30194,30194,Europium 155,Eu-155,Operational,PDF
C14/30195,30195,Gadolinium 153,Gd-153,Operational,PDF
C14/30196,30196,Terbium 160,Tb-160,Operational,PDF
