ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_fr,CodeFigure_SubCentres,Name_SubCentres_fr,Status,translation_source
C12/2/201,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,201,C asey,Operational,PDF
C12/2/203,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,203,Davis,Operational,PDF
C12/2/210,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,210,Alice Springs,Operational,PDF
C12/2/211,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,211,Melbourne Crib Point 1,Operational,PDF
C12/2/214,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,214,Darwin,Operational,PDF
C12/2/217,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,217,Perth,Operational,PDF
C12/2/219,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,219,Townsville,Operational,PDF
C12/2/232,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,232,Fidji,Operational,PDF
C12/2/235,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,235,Nouméa,Operational,PDF
C12/2/237,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,237,Papeete,Operational,PDF
C12/2/250,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,250,,Operational,PDF
C12/2/251,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,251,Guam,Operational,PDF
C12/2/252,2,Melbourne C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Melbourne,252,Honolulu,Operational,PDF
C12/69/204,69,Wellington (CMRS),204,National Institute of Water and Atmospheric Research (NIWA - Nouvelle-Zélande),Operational,PDF
C12/69/205,69,Wellington (CMRS),205,Nioué,Operational,PDF
C12/69/206,69,Wellington (CMRS),206,Rarotonga (Îles Cook),Operational,PDF
C12/69/207,69,Wellington (CMRS),207,Apia (Samoa),Operational,PDF
C12/69/208,69,Wellington (CMRS),208,Tonga,Operational,PDF
C12/69/209,69,Wellington (CMRS),209,Tuvalu,Operational,PDF
C12/69/210,69,Wellington (CMRS),210,Kiribati,Operational,PDF
C12/69/211,69,Wellington (CMRS),211,Tokélaou,Operational,PDF
C12/69/243,69,Wellington (CMRS),243,Kelburn,Operational,PDF
C12/72/249,72,Singapour,249,Singapour,Operational,PDF
C12/191/1,191,Polynésie française (CMN),1,Station RARS de Tahiti (Polynésie française),Operational,PDF
C12/204/101,204,National Institute of Water and Atmospheric Research (NIWA) - Nouvelle-Zélande,101,Maupia,Operational,PDF
C12/204/102,204,National Institute of Water and Atmospheric Research (NIWA) - Nouvelle-Zélande,102,Lauder,Operational,PDF
C12//7,,,,,Operational,NA
C12/74/1,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",1,Shanwick Oceanic Area Control Centre,Operational,PDF
C12/74/2,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",2,Fucino,Operational,PDF
C12/74/3,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",3,Gatineau,Operational,PDF
C12/74/4,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",4,Maspalomas (Espagne),Operational,PDF
C12/74/5,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",5,ESA ERS Central Facility,Operational,PDF
C12/74/6,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",6,Prince Albert,Operational,PDF
C12/74/7,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",7,West Freugh,Operational,PDF
C12/74/13,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",13,Troms/o,Operational,PDF
C12/74/21,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",21,Agenzia Spaziale Italiana (Italie),Operational,PDF
C12/74/22,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",22,Centre national de la recherche scientifique (France),Operational,PDF
C12/74/23,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",23,GeoForschungs Zentrum (Allemagne),Operational,PDF
C12/74/24,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",24,Geodetic Observatory Pecny (Tchéquie),Operational,PDF
C12/74/25,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",25,Institut d'Estudis Espacials de Catalunya (Espagne),Operational,PDF
C12/74/26,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",26,,Operational,PDF
C12/74/27,74,"Met Office du Royaume-Uni, Exeter (CMRS) C entres d ' origine Octet 5 de la Section 1 du code BUFR (édition 3) Octets 7-8 de la Section 1 du code BUFR (édition 4) Octet 26 de la Section 1 du code GRIB (édition 1) Octets 8-9 de la Section 1 du code GRIB (édition 2) ppp dans le Groupe Poooooppp de la Section 1 du code CREX (édition 2) Met Office du Royaume-Uni, Exeter (CMRS)",27,Nordic Commission of Geodesy (Norvège),Operational,PDF
