noteID,note_ru
2,Все неприсвоенные номера зарезервированы для дальнейшего использования.
3,Номера 8—15 версии эталонной таблицы CREX не используются.
4,"Единица Добсона = ЕД. Одна единица Добсона соответствует слою в 0,01 мм чистого озона, если весь атмосферный столб сжат при Р=1013 гПа, а Т = 0 °С."
5,"Определения подцентров, предоставленные в Секретариат ВМО, см. в общей кодовой таблице С-12."
6,В случае BUFR и CREX эти номера версий применяются в отношении эталонной таблицы 0.
7,"Введение Общей кодовой таблицы C–0 — это правовая инициатива. Члены ВМО и другие пользователи ТОКФ могут на практике пользоваться номерами версии так же, как и раньше, до тех пор, пока их программное обеспечение не позволит им обращаться к общей кодовой таблице."
8,"Сокращения, не используемые обычно ВМО, с ограниченными наборами символов взяты из ISO 2955-1983. Другие сокращения предположительно должны соответствовать этой классификации."
9,"Предложены, но пока еще не утверждены приставки до эксы и после атто. Использование приставок гекто, дека, деци и санти не рекомендуется."
10,"Обычно приставки не должны использоваться с единицами, имеющими недесятичные множители и подмножители, такие как единица времени и угла, или с узлами и морскими милями."
11,"Названия стран, указанные в скобках, относятся скорее к месту производства радиозондов, чем к стране использования."
12,"Некоторые из перечисленных радиозондов больше не используются, но оставлены в списках для архивных целей."
13,"Сокращение для градусов Цельсия, предлагаемое для использования ВМО, С, можно спутать с кулонами. В этом случае вместо С используются ампер-секунды."
14,"В буквенно-цифровом кодовом формате указываются только две цифры, а первая цифра для BUFR определяется по дате: первая цифра будет 0, если радиозонд был внедрен для наблюдений до 30 июня 2007 г., в противном случае — 1. Записи во второй части таблицы (после 99), обозначенные как «свободные», могут использоваться для новых радиозондов, поскольку двухзначные числа первоначально присваивались зондам, которые более не используются. Данная система была принята в целях удовлетворения потребностей в подготовке сводок в традиционном буквенно-цифровом формате TEMP до тех пор, пока не будет полностью использоваться BUFR для сводок радиозондов."
15,"Знак закрытой скобки «)» означает, что соответствующая кодовая цифра зарезервирована для названного выше центра."
16,"Знак закрытой скобки « ) » означает, что соответствующая кодовая цифра зарезервирована для названного выше центра."
17,"Децибел — это одна десятая бела и представляет собой десятичный логарифм отношения двух мощностей. Часто для указания информации об одной из этих мощностей добавляются суффиксы, такие как дБ (мВт), дБм, dBZ, дБВт, дБмВт, дБ (уВ/м). Рекомендуется использовать только дБ с полным значением объясняемого отношения, включая уровни отсчета."
18,"Глубина рассчитывается по коэффициентам a и b и времени t следующим образом: z = at + 10⁻³bt²."
19,"Международная система единиц СИ (Système International d'Unités (SI)) была учреждена одиннадцатой Генеральной конференцией по мерам и весам в 1960 г. и расширена на конференции 1980 г. Имеются семь базовых единиц, две безразмерные дополнительные единицы и набор приставок для десятичной шкалы. Их можно сочетать для получения составных единиц. Некоторые составные единицы имеют особые названия и называются производными единицами."
20,Величины a и b представляются только для информации.
21,"Этот список состоит из единиц, которые ранее не упоминались и которые встречаются в существующих наставлениях ВМО."
22,"При написании составных единиц СИ каждое обозначение для каждой базовой единицы отделяется от других пробелом. Между единицей и какой-либо приставкой или показателем степени пробел отсутствует. Любая приставка образует новую единицу, к которой применяется какой-либо показатель степени (например, км² = (км)² = м⁶, но не к(м²) = м⁵). Приставки должны быть в особой литере. Полное название единицы не должно начинаться с прописной буквы. Если используется дробная черта (/), то должна быть одна черта. Ни до черты, ни после нее не должно быть пробелов."
23,"Для указания того, является ли центр-поставщик/производитель подцентром или нет, в кодах GRIB или BUFR следует применять нижеследующую процедуру: В GRIB, издание 1, использовать октет 26 раздела 1 или в BUFR, издание 3, использовать октет 5 раздела 1 со следующим значением: Кодовая цифра 0 — Не является подцентром; центр-поставщик/производитель является центром, определяемым октетом 5 раздела 1 GRIB, издание 1, или октетом 6 раздела 1 BUFR, издание 3. 1–254 — Указатель подцентра, являющегося центром-поставщиком/производителем. Указатель подцентра размещен ассоциированным центром, который определен октетом 5 раздела 1 GRIB, издание 1, или октетом 6 раздела 1 BUFR, издание 3. Указатели подцентра(ов) должны быть предоставлены ассоциированным(и) центром(центрами) в Секретариат ВМО для опубликования."
24,"Для указания того, является ли центр-поставщик/производитель подцентром или нет, в кодах GRIB или BUFR следует применять нижеследующую процедуру: В GRIB, издание 2, использовать октеты 8–9 раздела 1 или в BUFR, издание 4, использовать октеты 7–8 раздела 1 со следующим значением: Кодовая цифра 0 — Не является подцентром; центр-поставщик/производитель является центром, определяемым октетами 6–7 в разделе 1 GRIB, издание 2, или октетами 5–6 в разделе 1 BUFR, издание 4. 1–254 — Указатель подцентра, являющегося центром-поставщиком/производителем. Указатель подцентра размещен ассоциированным центром, который определен октетами 6–7 в разделе 1 GRIB, издание 2, или октетами 5–6 в разделе 1 BUFR, издание 4. Указатели подцентров должны быть предоставлены ассоциированным(и) центром(центрами) в Секретариат ВМО для опубликования."
25,"В пределах от 000 до 849 и от 870 до 998 четные цифры десятков указывают на полярно-орбитальные спутники, а нечетные — на геостационарные спутники. Диапазон от 850 до 869 должен использоваться для указания на сочетание спутников, таким образом вышеупомянутое правило в отношении десятков не применяется к числовым значениям в данном диапазоне."
